line id verse number,urdu transliteration text,english translation text
,"YA ALI ALI YA ALIEnglish Transliteration
@HujjatELC
Ya Ali Ali Ya Ali",
,"YA ALI ALI!  YA ALI!
@HujjatELC
Ya Ali Ali Ya Ali",
,"Roze asheera taba ghadeer e khum mehfooz hai yeh manzar
Zaamin e azme payghambar the misle abu talib haider
Baat jamal sifeen ki ho ya khandaq ho chahe khaybar
Shahe madina shahe najaf ko dete sada the ye kehkar
@HujjatELC
Ya Ali Ali Ya Ali","FROM THE DAY OF ASHEERA UNTIL GHADEER E KHUM, THE SCENE HAS BEEN SET
HAIDER IS THE PROTECTOR OF THE HONOUR OF THE PROPHET AS WAS ABU TALIB
WHETHER IT IS SIFEEN, KHANDAQ OR KHAYBER
THE KING OF MADINA WOULD CALL OUT TO THE KING OF NAJAF SAYING THIS"
,"YA ALI ALI!  YA ALI!
@HujjatELC
Ya Ali Ali Ya Ali",
,"Beshak har imdad jahan me janibe rab e akbar hai
Naam magar imdad e khuda ka ghaur karo to haider hai
Koi nabi ho koi wali ho sab ka ali hi yawar hai
Adam se qayim tak yehi baat har ek ke lab per hai
@HujjatELC
Ya Ali Ali Ya Ali","IT IS WITHOUT A DOUBT THAT HELP IS GIVEN BY THE GREAT LORD
IF YOU PONDER ON CALLING OUT GOD'S NAME , IT IS IN FACT 'HAIDER’
WHETHER IT IS A WALI, OR A NABI, ALI IS EVERYONE'S HELPER
FROM ADAM TILL QA'IM THIS IS ON EVERYONE'S TONGUES"
,"YA ALI ALI!  YA ALI!
@HujjatELC
Ya Ali Ali Ya Ali",
,"Gham yeh magar hai jisne sada imdad har ek insaan ki ki
Uske hi kunbe ki imdad ki khatir na aya hai koi
Bete pe khanjar hai chala aur beti ki chadar na rahi
Karke najaf ki samt nazar dete the sadaein aale nabi
@HujjatELC
Ya Ali Ali Ya Ali","IT IS SAD TO SEE THAT THE ONE THAT WOULD HELP EVERYONE
NO ONE CAME TO HELP HIS FAMILY WHEN THEY NEEDED IT
HIS SON WAS ATTACKED BY A DAGGER, AND HIS DAUGHTER'S VEIL WAS SNATCHED
LOOKING TOWARDS NAJAF, THE FAMILY OF THE PROPHET WOULD SAY"
,"YA ALI ALI!  YA ALI!
@HujjatELC
Ya Ali Ali Ya Ali",
,"Aale nabi ko darya pe bhi ummat ne  pyasa rakha
Shame ghareeban bughze ali me ghar hai jalaya zahra ka
daman jalta tha poti ka koi bhujane na aya
Dada ko deti thi sadaei bali sakina har lamha
@HujjatELC
Ya Ali Ali Ya Ali","THE NATION KEPT THE FAMILY OF THE PROPHET THIRSTY NEAR THE RIVER
ON SHAAME GHAREEBAN IN THE HATRED OF ALI THEY BURNT THE HOUSE OF THE FAMILY OF ZAHRA
HIS GRANDDAUGHTER'S CLOTHES WERE BURNING, NO ONE PUT THE FLAMES OUT
SAKINA WAS CALLING OUT TO HER GRANDFATHER SAYING"
,"YA ALI ALI!  YA ALI!
@HujjatELC
Ya Ali Ali Ya Ali",
,"Binte ali ko bazar o darbar phiraya jata tha
Kehte the zalim ke liya hai badr ohad ka ye badla
Aake tamasha aale nabi ka dekhle ye sari dunya
Aabid ki aankhon se lahoo ke har qatre ne gir ke kaha
@HujjatELC
Ya Ali Ali Ya Ali","THEY PARADED THE DAUGHTER OF ALI THROUGH THE MARKETS AND COURTS
THE OPPRESSORS WOULD SAY, 'WE ARE TAKING REVENGE FOR BADR AND OHAD’
LET THE WORLD COME AND SEE WHAT IS THE STATE OF THE FAMILY OF THE PROPHET
EVERY TEAR OF BLOOD WOULD DROP FROM THE EYES OF SAJJAD AND SAY"
,"YA ALI ALI!  YA ALI!
@HujjatELC
Ya Ali Ali Ya Ali",
,"Hum ne to salman yehi aaghosh se ma ki sikha hai
Naam e ali har mushkil me har ek ko sahara deta hai
Dunya to kya cheez bhala yeh qabr bhi roshan karta hai
Qabr se aage barzakh mehshar yehi zabaan pe rehta hai
@HujjatELC
Ya Ali Ali Ya Ali","SALMAN, WE HAVE LEARNT THIS FROM THE LAP OF OUR MOTHER
THE NAME OF ALI HELPS EVERYONE IN ANY SORT OF TROUBLE
NOT JUST THIS WORLD, THIS ALSO ENLIGHTENS THE GRAVE
IN ADDITION TO THE GRAVE, THIS WILL STAY ON OUR TONGUES IN THE HEREAFTER"
,"YA ALI ALI!  YA ALI!
@HujjatELC
Ya Ali Ali Ya Ali",
