line id verse number,urdu transliteration text,english translation text
,@HujjatELC,Ya rab koi masooma zindaan may na tanha hoOh Lord! may no innocent child ever be alone in a prisonEnglish Transliteration
,"Ya rab koi masooma zindaan may na tanha hopaband na ho aahein, ronay pe na pehra ho
@HujjatELC","Oh Lord, may no innocent child ever be alone in a prison,
May the child not be stopped from crying while remembering her loved ones"
,"Ya rab koi masooma zindaan may na tanha ho
@HujjatELC",Oh Lord! may no innocent child ever be alone in a prison
,"thi jis ko neend aati shabbir ke seene parzindaan dare zindaan, uske liye kazaa ho
@HujjatELC","The one who used to sleep on Husain's chest,
To be alive in a prison, is like death for her"
,"Ya rab koi masooma zindaan may na tanha ho
@HujjatELC",Oh Lord! may no innocent child ever be alone in a prison
,"zindaano se aati thi awaaz sisaknay kijaise ke sakina ko, har zindaan ro raha ho
@HujjatELC","The sounds of crying used to come from the prisons,
As if every prison was crying for Sakina"
,"Ya rab koi masooma zindaan may na tanha ho
@HujjatELC",Oh Lord! may no innocent child ever be alone in a prison
,"takraye na wo kyon kar zindaan ki diwaaro sebhai se aur phuphi se, jisko juda kiya ho
@HujjatELC","Why should she not throw herself against the walls of the prison,
when she has been separated from her brother and aunt"
,"Ya rab koi masooma zindaan may na tanha ho
@HujjatELC",Oh Lord! may no innocent child ever be alone in a prison
,"zindaan may ahmad bhi yaad aayi sakina kidil roro keh raha hai, ab na ujaala ho
@HujjatELC","When I remember Sakina in the prison, my heart cries and says, let there be no more light"
,"Ya rab koi masooma zindaan may na tanha ho
@HujjatELC",Oh Lord! may no innocent child ever be alone in a prison
