line id verse number,urdu transliteration text,english translation text
,Ya Rabbal Hussein,Oh Lord of Hussein
,"Ya rabbal Hussein, be haqqil Hussein,
ishfe sadril Hussein, bi zuhuril hujjat
Marshia Translations | ISIJ of Toronto","Oh Lord of Hussain, for the sake of Hussain, cure the heart of Hussain with the appearance of the Hujjah"
,"Ya rabb tujhe Hussein ke zakhmo ka waasta,Ya rabb tujhe Hussein ke bachon ka waasta,
Marshia Translations | ISIJ of Toronto","O Lord, for the sake of Hussein’s wounds,
O Lord, for the sake of Hussein’s children"
,"Deti hun waasta tujhe qabre Hussein ka,Qayam rahe ye majlis-o-matam ka silsila
Marshia Translations | ISIJ of Toronto","For the sake of Hussein’s grave,
May this congregation and mourning continue on."
,"Ya rabbal Hussein, be haqqil Hussein,
ishfe sadril Hussein, bi zuhuril hujjat
Marshia Translations | ISIJ of Toronto","Oh Lord of Hussain, for the sake of Hussain, cure the heart of Hussain with the appearance of the Hujjah"
,"(Mawla sab behnon ke
bhaiyyon ko salamat rakhe)
Marshia Translations | ISIJ of Toronto",May God keep all sister’sbrothers in good health
,"Spears repeatedly stabbed the young man’s chest,  That Akbar, son of Hussein, who looked like Mustafa,
Nezon ne chaan daala tha sinan jawaan ka,
Woh akbare Hussein woh humshakle Mustafa,
Marshia Translations | ISIJ of Toronto",
,"Woh teri baargaah me karta hai ye dua,
bhai kisi bahan ka na bichre mere khuda,
Marshia Translations | ISIJ of Toronto","In your place, he made this prayer, Do not separate any sister from her brother, oh my Lord."
,"Ya rabbal Hussein, be haqqil Hussein,
ishfe sadril Hussein, bi zuhuril hujjat
Marshia Translations | ISIJ of Toronto","Oh Lord of Hussain, for the sake of Hussain, cure the heart of Hussain with the appearance of the Hujjah"
,"Kaanon ka khun nazr kiya jis yatimaa ne,
Marna qubul karlıya baali Sakina ne,
Marshia Translations | ISIJ of Toronto","She let her ears bleed, this little orphan girlShe accepted the death, this little Sakina"
,"Are lekin teri riza se na uska qadam hatta,
Ya rabb nazar ba kunba mazaar e shikasta pa
Marshia Translations | ISIJ of Toronto","But she did not accept anything that went against Your willOh Lord, keep an eye over the ruined shrines"
,"Ya rabbal Hussein, be haqqil Hussein,
ishfe sadril Hussein, bi zuhuril hujjat
Marshia Translations | ISIJ of Toronto","Oh Lord of Hussain, for the sake of Hussain, cure the heart of Hussain with the appearance of the Hujjah"
,"(Dua karte Hein in ashkon ke wasile se,
iss maatam ke zikr ke wasile se,
Marshia Translations | ISIJ of Toronto","We are praying, for the sake of these tearsAnd for the sake of this mourning,"
,"Jo Kerbala nahin gaye mere maalik,
Issi saal Kerbala ki zyarat se musharraf hon)
Marshia Translations | ISIJ of Toronto","Those who did not go to Karbala, my Lord,Honour them with a pilgrimage to Kerbala this year,"
,"Jaana ho Kerbala, jaana ho Kerbala
to labon par ho ye sadaa,
Hogi na rädd dua kabhi raihann our raza,
Marshia Translations | ISIJ of Toronto","Let’s go to Kerbala, let’s go to Kerbala, with these words on our lips Our prayers will never be rejected,Rehan and Raza,"
,"Dil me khuda khuda ho, to labb par ho Ya Hussein
Kehna ab usko bhejde jisko chuppa liya,
Marshia Translations | ISIJ of Toronto","In our hearts, we have Allah, and on our lips is “Ya Hussein”, Ask Him to send who is hiding by the orders of our Lord (Imam Mahdi)"
,"Ya rabbal Hussein, be haqqil Hussein,
ishfe sadril Hussein, bi zuhuril hujjat
Marshia Translations | ISIJ of Toronto","Oh Lord of Hussain, for the sake of Hussain, cure the heart of Hussain with the appearance of the Hujjah"
