line id verse number,urdu transliteration text,english translation text
,"Hussain Jata Hai Marne Ko Aai Meri Zainab (Sa),
Qareeb Aa Gaya Ab Wakt Aakhri Zainab (Sa),
Marshia Translations | ISIJ of Toronto",Hussain is going to martyrdom O Zainab. The end is near O Zainab.
,"Salam Tum Pe Aai Baba Ki Laadli Zainab (SA) Zainab (SA) Ne Kaha Kaun Hai Pardes Me Mera
Marshia Translations | ISIJ of Toronto",Salaam O Father's cherished one. Zainab cried who is there for me in this foreign land!
,"Kyun Jaate Ho Tum Chod Ke Bhaiya Mujhe Tanha,
Zainab (Sa) Ko Har Ek Mod Pe Tadpaiengi Dunia,
Marshia Translations | ISIJ of Toronto",O Brother why are you leaving me alone here. The world will torture Zainab at every opportunity.
,"Yaad Aaonge Bhaiya, Yaad Aaonge Bhaiya.
Marshia Translations | ISIJ of Toronto","I will remember you O' brother, I will remember you O' brother."
,"Baad  Aap Ke Honga Meri Gurbat Ka Yeh Alam,
Us Wakt Garibi Bhi Karengi Mera Matam,
Marshia Translations | ISIJ of Toronto",After you my loneliness will be such that. The Lonely will lament (do matam) for me.
,"Saadat Ko Jub Rah Me Denga Koi Sadka.
Marshia Translations | ISIJ of Toronto",When someone gives sadqa to the Sayyed's
,"Yaad Aaonge Bhaiya, Yaad Aaonge Bhaiya.
Marshia Translations | ISIJ of Toronto","I will remember you O' brother, I will remember you O' brother."
,"Yaad Aaienga Bhaiya Mujhe Farman Tumhara,
Tum Dekh Nahi Paaie Ho Akbar Ka Jo Sehra,
Marshia Translations | ISIJ of Toronto",I will be reminded of your words. You will not be able to see Akbar's garland
,"Dawat Koi Shadi Ki Madine Me Jo Denga.
Marshia Translations | ISIJ of Toronto",When someone in Madina invites us for a wedding
,"Yaad Aaonge Bhaiya, Yaad Aaonge Bhaiya.
Marshia Translations | ISIJ of Toronto","I will remember you O' brother, I will remember you O' brother."
,"Is Mah Se Mansoob Thi Bhaiya Meri Khushiyan,
Thi Subse Badi Eid Meri Teesri Shaban,
Marshia Translations | ISIJ of Toronto",O brother my happiness was related to this month. My favourite Eid was the third of Shaban.
,"Shaban Ke Jub Chand Ko Dekhengi Yeh Behna
Marshia Translations | ISIJ of Toronto",When your sister observes the moon of Shaban
,"Yaad Aaonge Bhaiya, Yaad Aaonge Bhaiya.
Marshia Translations | ISIJ of Toronto","I will remember you O' brother, I will remember you O' brother."
,"Itna Tha Khayal Aapko Parde Ka Baradar,
Le Jaate The Tum Raat Ko Amma Ki Lahad Par
Marshia Translations | ISIJ of Toronto","You were so conscious of Hijab, O'brother, that you would take us to mother’s grave at night."
,"Ab Dekhengi Zainab (Sa) Ke Khule Sar Ko Yeh Dunia.
Marshia Translations | ISIJ of Toronto",Now the world will see Zainab with a bare head
,"Yaad Aaonge Bhaiya, Yaad Aaonge Bhaiya.
Marshia Translations | ISIJ of Toronto","I will remember you O' brother, I will remember you O' brother."
,"Kis Tarha Bhulaungi Mai Woh Dard Ka Manzar,
Woh Sukhe Gale Par Tere Chalta Hua Khanjar,
Marshia Translations | ISIJ of Toronto",How will I forget that painful momentThe sword cutting your parched neck
,"When Zainab sees any thirsty person
Zainab (Sa) Ko Nazar Aaienga Jub Bhi Koi Pyasa
Marshia Translations | ISIJ of Toronto",
,"Yaad Aaonge Bhaiya, Yaad Aaonge Bhaiya.
Marshia Translations | ISIJ of Toronto","I will remember you O' brother, I will remember you O' brother."
,"Dededar Bhi Ho Jaienga Beti Ke Bahane,
Han Shaam Ke Zindan Me Aaonge Sulane,
Marshia Translations | ISIJ of Toronto",Become a vision for the sake of your daughter (Sakina). You will come to the prison (in Sham) to put her to sleep
,"Soiengi Nahi Jub Meri Lori Se Sakina (Sa)
Marshia Translations | ISIJ of Toronto",When Sakina will not sleep in spite of my Lullaby
,"Yaad Aaonge Bhaiya, Yaad Aaonge Bhaiya.
Marshia Translations | ISIJ of Toronto","I will remember you O' brother, I will remember you O' brother."
,"Hota Tha Takallum Yun Juda Bhai Bahan Se,
Jisa Tarha Koi Ruh Nikalti Ho Badan Se,
Marshia Translations | ISIJ of Toronto",‘Takallum’ (poet) a brother and sister were separating as in a manner… …in which a soul leaves a body
,"Sheh Ran Ko Chale Keh Ti Rahi Yeh Sani E Zehra(A.S.)
Marshia Translations | ISIJ of Toronto",Zainab kept repeating this in the towns
,"Yaad Aaonge Bhaiya, Yaad Aaonge Bhaiya.
Marshia Translations | ISIJ of Toronto","I will remember you O' brother, I will remember you O' brother."
,"Zainab (Sa) Ko Har Ek Mood Pe Tadpaiengi Dunia,
Marshia Translations | ISIJ of Toronto",The world will torture Zainab at every opportunity.
,"Yaad Aaonge Bhaiya, Yaad Aaonge Bhaiya.
Marshia Translations | ISIJ of Toronto","I will remember you O' brother, I will remember you O' brother."
