line id verse number,urdu transliteration text,english translation text
,"Hussain Jata Hai Marne Ko Aai Meri Zainab (Sa),
Hussain is going to martyrdom o Zainab
Qareeb Aa Gaya Ab Wakt Aakhri Zainab (Sa),
Salam Tum Pe Aai Baba Ki Laadli Zainab (Sa),
Salaam o Father's cherished  one",The end is near o Zainab
,"Zainab (Sa) Ne Kaha Kaun Hai Pardes Me Mera,
Kyun Jaate Ho Tum Chod Ke Bhaiya Mujhe Tanha,
Zainab (Sa) Ko Har Ek Mod Pe Tadpaiengi Dunia,
The world will torture Zainab at every opportunity","Zainab cried who is there for me in this foreign land
O Brother why are you leaving me alone here"
,"Yaad Aaonge Bhaiya, Yaad Aaonge Bhaiya.","I will remember you O' brother, I will remember you O' brother"
,"Baad  Aap Ke Honga Meri Gurbat Ka Yeh Alam,
Us Wakt Garibi Bhi Karengi Mera Matam,
Saadat Ko Jub Rah Me Denga Koi Sadka.","After you my loneliness will be such that
The Lonely will lament(do matam) for me
When someone gives sadqa to the Sayyed's"
,"Yaad Aaonge Bhaiya, Yaad Aaonge Bhaiya.","I will remember you O' brother, I will remember you O' brother"
,"Yaad Aaienga Bhaiya Mujhe Farman Tumhara,
Tum Dekh Nahi Paaie Ho Akbar Ka Jo Sehra,
Dawat Koi Shadi Ki Madine Me Jo Denga.","I will be reminded of your words
You will not be able to see Akbar's garland
When someone in Madina invites us for a wedding"
,"Yaad Aaonge Bhaiya, Yaad Aaonge Bhaiya.","I will remember you O' brother, I will remember you O' brother"
,"Is Mah Se Mansoob Thi Bhaiya Meri Khushiyan,
Thi Subse Badi Eid Meri Teesri Shaban,
Shaban Ke Jub Chand Ko Dekhengi Yeh Behna","O brother my happiness was related to this month
My favourite Eid was the third of Shaban
When your sister observes the moon of Shaban"
,"Yaad Aaonge Bhaiya, Yaad Aaonge Bhaiya.","I will remember you O' brother, I will remember you O' brother"
,"Itna Tha Khayal Aapko Parde Ka Baradar,
Ab Dekhengi Zainab (Sa) Ke Khule Sar Ko Yeh Dunia.","You were so conscious of Hijab, O'brother
Le Jaate The Tum Raat Ko Amma Ki Lahad Par.
You would take to mother (Fatima A.S.) grave in the dark
Now the world will see Zainab with a bare head"
,"Yaad Aaonge Bhaiya, Yaad Aaonge Bhaiya.","I will remember you O' brother, I will remember you O' brother"
,"Kis Tarha Bhulaungi Mai Woh Dard Ka Manzar,
Woh Sukhe Gale Par Tere Chalta Hua Khanjar,
The sword cutting your parched neck
Zainab (Sa) Ko Nazar Aaienga Jub Bhi Koi Pyasa
When Zainab sees any thirsty person",How will I forget that painful moment
,"Yaad Aaonge Bhaiya, Yaad Aaonge Bhaiya.","I will remember you O' brother, I will remember you O' brother"
,"Dededar Bhi Ho Jaienga Beti Ke Bahane,
Han Shaam Ke Zindan Me Aaonge Sulane,
Soiengi Nahi Jub Meri Lori Se Sakina (Sa)","Become a vision for the sake of your daughter(Sakina)
You will come to the prison (in Sham) to put her to sleep
When Sakina will not sleep in spite of my Lullaby"
,"Yaad Aaonge Bhaiya, Yaad Aaonge Bhaiya.","I will remember you O' brother, I will remember you O' brother"
,"Hota Tha Takallum Yun Juda Bhai Bahan Se,
Jisa Tarha Koi Ruh Nikalti Ho Badan Se,
Sheh Ran Ko Chale Keh Ti Rahi Yeh Sani E Zehra(As).","‘Takallum’ (poet) a brother and sister were separating as in a manner…
…in which a soul leaves a body
Zainab kept repeating this in the towns"
,"Yaad Aaonge Bhaiya, Yaad Aaonge Bhaiya.","I will remember you O' brother, I will remember you O' brother"
,"Zainab (Sa) Ko Har Ek Mood Pe Tadpaiengi Dunia,
The world will torture Zainab at every opportunity",
,"Yaad Aaonge Bhaiya, Yaad Aaonge Bhaiya.","I will remember you O' brother, I will remember you O' brother"
