line id verse number,urdu transliteration text,english translation text
,"Along with Bibi Zainab, Bibi Fizza is enduring all hardships/suffering
ZAINAB KE SAATH FIZZA HAR GHAM UTHA RAHI HAI
ZAINAB KE SAATH FIZZA",
,EK DUSRE SE DONO AANSO CHUPA RAHIN HAI,Both of them are hiding their tears from each other
,BAZAR E SHAM ME HE MAJMA SHARABIO KA,The market of Damascus is full of drunkards
,"Janabe Fizza is walking in front of Bibi Zainab…
ZAINAB K AGEY AGEY CHAL KAR JANAB E FIZA",
,ZEHRA KI BETIO KA PARDA BANA RAHI HEN,Acting like a veil for the daughters of Bibi Zahra
,HAR EK QADAM PE DURRE JORO JAFA MUSALSAL,"Every step of the way, the prisoners are welcomed by continuous whipping"
,KUFE KI SHAAM KI HAIN GALIYAN MISAAL E MAQTAL,Kufa and Shaam are no less than a battlefield
,SHAHZADIYON KI SAANSE RUK RUK KE AARAHI HAI,The princesses (of Ahlul Bayt) are unable to even breathe properly
,BAZAAR KI JAFA ME DARBAR KE SITAM ME,From humiliation in the markets to torture in the palace…
,FIZZA SHAREEK E GHAM HAI BINTE ALI KE GHAM ME,"Bibi Fizza is alongside the daughter of Ali (A.S), sharing her sorrows"
,PAYGHAM E KARBALA KO HAR DAM BACHA RAHI HAI,She is saving the message of Kerbala at each and every opportunity
,SARWAR KA SAATH JAISE ABBAS NE NIBHAYA,The way Abbas (A.S) supported Imam Hussain (A.S)…
,"Bibi Fizza stood by Bibi Zainab at every step
ZAINAB KA SAATH DEKE FIZZA HAR EK LAMHA",
,HAQ E WAFA NIBHANA SAB KO SIKHA RAHIN HAI,"In this way, she taught us the embodiment of loyalty and allegiance"
,KARBOBALA KA MAIDAN WOH SHAM HO YA KUFA,"Whether it was the plains of Kerbala, Shaam or Kufa…"
,"(Bibi Fizza) never left Bibi Zainab (A.S) nor Imam Hussain (A.S) alone
ZAINAB KO SHAHE DEEN KO CHORA KAHIN NA TANHA",
,DEEN E KHUDA KI KHATIR BAZU BANDHA RAHIN HAI,"For the sake of God’s religion, she was even ready to have her hands tied"
,"Amongst the caravan, there is Shabbir’s orphan daughter
HUM RAAHH HAI SAFAR ME SHABIR KI YATIMA",
,FIZZA KO GHAM YEHI HAI BEHAAL HAI SAKINA,The only grief Bibi Fizza has is that Bibi Sakina is not at ease
,BACHI KI SISKIAN BHI DIL KO DUKHA RAHEIN HAI,The cries of the little girl are aching her heart continuously
,SALMAN AZMI YEH HAR CHASHME AAM ME HAI,‘Salman Azmi’ (poet’s name) - now it is clearly visible to the public
,ZAINAB KE SAATH INKI TURBAT BHI SHAAM ME HAI,Her resting place is along with Bibi Zainab in Shaam
,"Till this day, Bibi Fizza is loyal and faithful to Bibi Zainab
ZAINAB KA SAATH AB TAK FIZZA NIBHA RAHEIN HAI",
