line id verse number,urdu transliteration text,english translation text
,"Zuljanah aqbal minal maydaan khaali
Zuljanah returned from the battlefield empty
Waa waylaa
Haaye wa Hussaina
Ay wa ghareeb
Ay wa shaheed
Ay wa madhloom","Woe unto me!
Oh our Hussain!
Oh the estranged one!
Oh the martyred one!
Oh the oppressed one!"
,"SHOR HUWAA LO KHAALI AAYA
CHHOR KE ZAINAB KAA MAAJAAYAA BAAGE
KATI HAIN KHUNME NAHAAYAA
ZAYNAB NE DUKHRA YE SUNAAYA
Zainab screamed this sad situation","There was huge cry that Zuljanaah returned alone (without Husain (a.s)
He left him who Zainab took care of like a mother
The reins were cutoff and blood was dripping all over"
,"Zuljanah aqbal minal maydaan khaali Waa waylaa
Haaye wa Hussaina
Ay wa ghareeb
Ay wa shaheed
Ay wa madhloom","Zuljanah returned from the battlefield empty, Woe unto me!
Oh our Hussain!
Oh the estranged one!
Oh the martyred one!
Oh the oppressed one!"
,"KHUNME TAR REHWAAR KO DEKHA
On seeing the blood drenched Zuljanaah
ROYI TARAP KAR BAALI SAKINAA
Innocent Sakina scaringly asked
BOLI KAHAAN HAI MERE BAABAA
CHHIN LIYAA KYUN MERAA SAHAARAA","""Where is my father?“
""Why has my support been taken?"""
,"Zuljanah aqbal minal maydaan khaali Waa waylaa
Haaye wa Hussaina
Ay wa ghareeb
Ay wa shaheed
Ay wa madhloom","Zuljanah returned from the battlefield empty, Woe unto me!
Oh our Hussain!
Oh the estranged one!
Oh the martyred one!
Oh the oppressed one!"
,"MAI TERE SADQE MAI TERE WAARI
TU MERE BAABAA KI HAI SAWAARI
TERE BADANSE KHUN HAI JAARI
ZAKHM LAGE HAI JISMPE KAARI","May my life be scarified on you
You are my fathers ride but I ask you
""Why is there blood dripping from your body
and are there deep wounds present?"""
,"Zuljanah aqbal minal maydaan khaali Waa waylaa
Haaye wa Hussaina
Ay wa ghareeb
Ay wa shaheed
Ay wa madhloom","Zuljanah returned from the battlefield empty, Woe unto me!
Oh our Hussain!
Oh the estranged one!
Oh the martyred one!
Oh the oppressed one!"
,"BAAT NAMAANI TUNE MERI
ROYI BOHOT QADMON SE LIPTI
BOLI KAHAAN HAI MERE BAABAA
CHHIN LIYAA KYUN MERAA SAHAARAA","You didn't listen to me
I had cried and begged you not to take my father
I now ask ""Where is my father?”
Why has my support been taken?"
,"Zuljanah aqbal minal maydaan khaali Waa waylaa
Haaye wa Hussaina
Ay wa ghareeb
Ay wa shaheed
Ay wa madhloom","Zuljanah returned from the battlefield empty, Woe unto me!
Oh our Hussain!
Oh the estranged one!
Oh the martyred one!
Oh the oppressed one!"
,"CHHOR DIYAA KYUN RANME AKELAA
CHOOR GHAMON SE THAA MERAA BAABAA
JIS NE UTHAAYAA LAASHE PE LAASHAA
and tired from carrying dead body after body
TANHAA KYUN MAQTAL SEAAYAA","You have left my father alone in the battlefield?
My father who was deeply wounded
Why have you came alone without him?"
,"Zuljanah aqbal minal maydaan khaali Waa waylaa
Haaye wa Hussaina
Ay wa ghareeb
Ay wa shaheed
Ay wa madhloom","Zuljanah returned from the battlefield empty, Woe unto me!
Oh our Hussain!
Oh the estranged one!
Oh the martyred one!
Oh the oppressed one!"
,"QATL HUWE SHABBIR JO RAN ME
GUNJI SADAA RAIHAAN YE BAN ME
AAG LAGI ZAHRAA KE CHAMAN ME
Zahra's house engulfed in fire
POHNCHI KHABAR SUGHRAA KO WATAN ME","When Shabbir was killed in the battlefield
there was a shriek sound
and the regretful news even traveled to Sughraa in Madina"
,"Zuljanah aqbal minal maydaan khaali Waa waylaa
Haaye wa Hussaina
Ay wa ghareeb
Ay wa shaheed
Ay wa madhloom","Zuljanah returned from the battlefield empty, Woe unto me!
Oh our Hussain!
Oh the estranged one!
Oh the martyred one!
Oh the oppressed one!"
