line id verse number,urdu transliteration text,english translation text
,"BAHAN ZAINAB KHUDA HAFIZSISTER ZAINAB KHUDA HAFIZEnglish Transliteration
@HujjatELC",
,"SADA DETHE YE SARWAR, BAHAN ZAINAB KHUDA HAFIZ,KARO RUKHSAT HAME AKHER, BAHAN ZAINAB KHUDA HAFEZ
IMAM HUSSAIN CRIED OUT SISTER ZAINAB KHUDA HAFIZ
SISTER ZAINAB KHUDA HAFIZ
@HujjatELC",COME AND BID ME FAREWELL
,"NAHI MOHLAT KE SUN LO CHAND BATAIN IS GARI MERIBAPA HOGA AIK MAHSHAR BAHAN ZAINAB KHUDA HAFIZ
SISTER ZAINAB KHUDA HAFIZ
@HujjatELC","I HAVE VERY LITTLE TIME LEFT, I NEED TO TELL YOU A FEW THINGS
THE ATTROCITIES WILL COMMENCE AGAIN,"
,"BAHAN MERI NIGHARON MAI ANDHERA HI ANDHERA HAINA LOTE JABSE GHAR AKBAR, BAHAN ZAINAB KHUDA HAFIZ
SISTER ZAINAB KHUDA HAFIZ
@HujjatELC","OH SISTER DARKNESS HAS FALLEN BEFORE MY EYES,
EVER SINCE AKBER HAS FAILED TO RETURN FROM THE BATTLEFIELD"
,"BAHAN ZERE FALAK JAB AAKHRI SAJDA KARENGE HUMJABIN HOGI LAHO MAI TAR BAHAN ZAINAB KHUDA HAFIZ
SISTER ZAINAB KHUDA HAFIZ
@HujjatELC","OH SISTER WHEN I PERFORM MY LAST SAJDAH ON THE SANDS OF KERBALA
MY FOREHEAD WILL BE COVERED IN BLOOD"
,"BAHAN JAB FATEMA KE LAAL PAR KHANJAR RAWAN HOGALAHU HOGA HAR AIK MANZAR BEHEN ZAINAB KHUDA HAFIZ
SISTER ZAINAB KHUDA HAFIZ
@HujjatELC","OH SISTER WHEN THE KNIFE SEVERS THE NECK OF FATEMA’S SON
THERE WILL BE BLOOD EVERYWHERE YOU LOOK"
,"PARESHAN TUM NA HONA JAB ZAMIN LARZE FALAQ KAAMPECHALEGA US GHARI KHANJAR BAHEN ZAINAB KHODA HAFEZ
SISTER ZAINAB KHUDA HAFIZ
@HujjatELC","DO NOT FEAR WHEN THE HEAVENS AND THE EARTH TREMBLE
THAT WILL BE THE TIME WHEN MY HEAD WILL BE SEVERED"
,"BAHEN SHAME GHARIBA EK NAYA MAHSHAR BAPA HOGACHINEGI US GHARI KHANJAR BAHEN ZAINAB KHUDA HAFIZ
SISTER ZAINAB KHUDA HAFIZ
@HujjatELC","OH SISTER COME SHAME GARIBA – MORE ATTROCITIES ARE TO TAKE PLACE,
YOUR VEIL WILL BE SNATCHED AWAY FROM YOUR HEAD,
OH SISTER  COME SHAME GHARIBA – MORE ATTROCITIES ARE TO TAKE PLACE
YOUR VEIL WILL BE SNATCHED AWAY FROM YOUR HEAD"
,"BAHAN US DAM KHAYAALE  ABIDE BIMAAR LAZMI HAIJALEGA JAB NABI KA GHAR BAHAN ZAINAB KHUDA HAFIZ
SISTER ZAINAB KHUDA HAFIZ
@HujjatELC","OH SISTER – FOLLOW THE ADVICE OF THE ILL IMAM (4TH IMAM),
WHEN THE TENTS BELONGING TO THE PROPHETS HOUSEHOLD ARE SET ABLAZE"
,"BAHEN BALI SAKINA JAB HAME ZID KAR KER KE ROEGISULANA US KO SINE PAR BAHAN ZAINAB KHUDA HAFEZ
SISTER ZAINAB KHUDA HAFIZ
@HujjatELC","OH SISTER WHEN YOUNG SAKINA CRIES AND GRIEVES FOR ME,
CONSOLE HER AND MAKE HER SLEEP ON YOUR CHEST"
,"BAHAN JAB SAR BARHENA SHAMKI BASTI SE GUZROONGIRAHENGAI HUM BHI NEZE PAR BAHAN ZAINAB KHUDA HAFIZ
SISTER ZAINAB KHUDA HAFIZ
@HujjatELC","OH SISTER  WHEN YOU’RE PARADED ON THE STREETS OF DAMASCUS WITHOUT YOUR VEIL,
I WILL ALSO BE THERE ON A SPEAR,"
,"BAHAN TUMKO MERE HAK KI KASAM KHAMOSH HOJANARASI BABNDE JO BAZU PAR BAHEN ZAINAB KHUDA HAFIZ
SISTER ZAINAB KHUDA HAFIZ
@HujjatELC","OH SISTER FOR MY SAKE   ENDURE  ALL THE ATTROCITIES,
WHEN YOUR HANDS ARE TIED AND YOU ARE MADE A PRISONER"
,"BAHEN KUCH MANZILEN HOGI JAHAN BIMARK AABID KOSAHARA DENA TUM BARH KAR BAHAN ZAINAB KHUDA HAFIZ
OH SISTER ZAINAB KHUDA HAFIZ
@HujjatELC","OH SISTER THERE WILL BE TIMES WHEN THE ILL IMAM WILL NEED YOUR HELP,
YOU SHALL BE HIS SUPPORT"
