line id verse number,arabic text,english translation text
,KAR RAHA HAI YEH RAAWI BAYAAN KARBALA\nUSNE ASHOOR KI SHAB KA MANZAR LIKHA\nSEENA E SHAH PA BINTE SHAHE HUDA\nAUR SHABBIR KEHTE THE YEH BAARHA\nHUMKO JAANA HAI KAL KARNE WAADA WAFA\nTUMPE AAJAEGA SABR KA MARHALA\nBAAT SAARI SAKINA NE SHEH KI SUNI\nAUR JAWABAN WHO BAS ITNA KEHTI RAHI,"The narrator describes Karbala\nand writes the scene of Ashura night:\nthe daughter of the King of guidance lay upon the King's chest,\nwhile Shabbir repeatedly said:\nTomorrow I must go and fulfil my promise;\nyou will then face the stage of patience.\nSakina heard everything the King said,\nand in reply she repeated only this:"
,ACHA BABA SULAANE TO AAWOGE NA\nROZ CHEHRA DIKHANE TO AAWOGE NA,"All right, Baba—but you will come to put me to sleep, won't you?\nYou will show me your face every day, won't you?"
,BOLE SHABBIR AY MERI NOOR E NAZAR\nTUMKO KARNA HAI AB SHAAM TAK KA SAFAR\nTUMKO QAIDI BANAENGE AB EHLE SHAR\nBOLI SHAHZADI MUJHKO NAHI KOI DAR\nTUM KAHO TUM SULAANE TO AAWOGE NA\nROZ CHEHRA DIKHANE TO AAWOGE NA,"Shabbir said: O light of my eyes,\nyou must now travel all the way to Shaam.\nThe wicked will make you a captive.\nThe princess replied: I am not afraid;\njust tell me—you will come to put me to sleep, won't you?\nYou will show me your face every day, won't you?"
,SHAH KEHNE LAGE AY MERI LAADLI\nTUMPE AAEGI AB SHAAM E GHAM KI GHARI\nAAG DAAMAN ME HOGI TUMHARE LAGI\nBOLI WHO FIKR MUJHKO NAHI HAI KOI\nMERA DAAMAN BUJHAANE TO AAWOGE NA\nROZ CHEHRA DIKHANE TO AAWOGE NA,"The King said: O my beloved daughter,\nthe sorrowful evening will soon descend upon you.\nYour garment will catch fire.\nShe replied: I am not worried;\nyou will come to extinguish my garment, won't you?\nYou will show me your face every day, won't you?"
,MUSTARIB DIL SE KEHNE LAGE SHAHE DEEN\nTERI QISMAT ME BETI SUKOON AB NAHI\nAB TAMACHE LAGAAEGA SHIMR E LAEEN\nSUNKE YEH BAAT KEHNE LAGI WHO HAZEEN,"With a distressed heart, the King of the faith said:\nmy daughter, peace is no longer written in your destiny.\nThe accursed Shimr will now strike you with slaps.\nHearing this, the grieving child began to say:"
,SHIMR SE TUM BACHAANE TO AAWOGE NA\nROZ CHEHRA DIKHANE TO AAWOGE NA,"You will come to save me from Shimr, won't you?\nYou will show me your face every day, won't you?"
,PHIR KIYA SHEH NE BETI SE KUCH YOON SUKHAN\nSAB HARAM HONGE AB TO ASEER E MAHAN\nTERE HAATHON ME BHI AB BANDHEGI RASAN\nBOLI YEH BAAT SUNKE WHO TASHNA DAHAN\nTUM GALE SE LAGAANE TO AAWOGE NA\nROZ CHEHRA DIKHANE TO AAWOGE NA,"Then the King spoke to his daughter again:\nall the sacred ladies will become captives of sorrow.\nRopes will be tied around your hands too.\nHearing this, the thirsty child replied:\nyou will come to hold me to your chest, won't you?\nYou will show me your face every day, won't you?"
,ROKE SHABBIR NE USKE BOSE LIYE\nBOLE RUKHSAAR BHI HONGE ZAKHMI TERE\nTERE RONE KE SHAHZAADI DIN AAGAYE\nBOLI TUM KAISE DEKHOGE ROTE HUWE\nHAAN MUJHE CHUP KARAANE TO AAWOGE NA\nROZ CHEHRA DIKHANE TO AAWOGE NA,"Weeping, Shabbir kissed her and said:\nyour cheeks too will be wounded.\nThe days of your weeping have arrived, O princess.\nShe said: how will you bear to see me cry?\nYou will come to comfort me, won't you?\nYou will show me your face every day, won't you?"
,BARHTI JAATI THI BECHAYNI SHABBIR KI\nHAR SITAM WHO UTHAANE PE RAAZI HUWI\nZINDA BABA NA HONGE SAMAJH NA SAKI\nSUNKE SAB MUSHKILE BAS YEH KEHTI RAHI\nGAR ME RUTHI MANANE TO AAWOGE NA\nROZ CHEHRA DIKHANE TO AAWOGE NA,"Shabbir's restlessness continued to grow.\nShe accepted every hardship that would come,\nyet could not understand that Baba would no longer be alive.\nHearing every difficulty, she only kept saying:\nif I become upset, you will come to persuade me, won't you?\nYou will show me your face every day, won't you?"
,LIKH KE SALMAN DIL PHAT RAHA HAI MERA\nZAIN JAB SHAAHE WALA NO ROKAR KAHA\nAB TO ZINDAAN MARQAD BANEGA TERA\nBETI SAABIR KI THI BOLI WHO SAABIRA\nMERA LAASHA UTHAANE TO AAWOGE NA\nROZ CHEHRA DIKHANE TO AAWOGE NA,"O Salman, my heart is breaking as I write this.\nWhen the exalted King wept and said:\nthis prison will now become your grave,\nthe patient daughter of the patient one replied:\nyou will come to lift my body, won't you?\nYou will show me your face every day, won't you?"
