line id verse number,arabic text,english translation text
,Yeh subhe ashoor ka hai manzar Fiza Me gunji azaane akbar\nTarap gaya hai ali ka dilbar,"This is the scene of the morning of Ashura; Akbar's\nadhan echoes through the air, and Ali's beloved writhes in grief."
,Azaane akbar ka pehla jumla Fizaae karbobala me gunja\nFalak se taba zameen hai mehshar,"The first phrase of Akbar's adhan echoed across the atmosphere of Karbala;\nfrom the heavens to the earth, it was like Judgement Day."
,Azaane ibne hussain sunkar Baqi se zahra najaf se haider\nChale madine se hai payambar,"Hearing the adhan of Hussain's son, Zahra came from Baqi,\nHaider from Najaf, and the Prophet departed from Madina."
,Azaan jo karbobala me gunji\nHawa madine me leke pohnchi\nTarap ke chokat pe aayi khwaahar,"When the adhan echoed through Karbala,\nthe wind carried it to Madina;\nthe grieving sister came trembling to the doorway."
,Gawahi tawheed e kibriya ki\nRisalate fakhre ambiya ki\nWilayate shehnshahe khayber,"It bore witness to the oneness of the Almighty,\nthe Prophethood of the Pride of the Prophets,\nand the wilayah of the King of Khaybar."
,Safe banaye huwe bahatar,The seventy-two stood arranged in rows.
,Pareshan qalbe shahe zaman hai\nPisar ki yeh aakhri azaan hai\nYehi hai lekin riza e dawar,"The heart of the King of the Age is distressed;\nthis is the son's final adhan,\nyet it is the will of the Lord."
,Tamam ansaar e ibne haider\nNazar hai guldastae azan par\nSafe banaye huwe bahatar,All the companions of the son of Haider\nlooked towards the bouquet of the adhan;\nthe seventy-two stood arranged in rows.
,Azaan jo pohnchi mayaaane khaima\nJigar ko thame hai umme laila\nBarae akbar phupi hai muztar,"When the adhan reached the tents,\nUmm-e-Layla held her heart,\nand Akbar's aunt was overwhelmed with grief."
,Karim aur salman azmii hai\nFiza e karbobala me jaise\nYeh choda sadiyon se sawt akbar,"O ""Karim"" and ""Salman Azmi"",\nwithin the atmosphere of Karbala,\nAkbar's voice has echoed for fourteen centuries."
