line id verse number,arabic text,english translation text
,MEI BINT E ALI HOON\nAEY SHAM KEH LOGO MEI BINT E ALI HOON,"I am the daughter of Ali\nO people of Shaam, I am the daughter of Ali."
,(MEI WARIS E TATHEER HOON)\nNAMOOS-E-NABI HOON,I am the inheritor of the Verse of Purification;\nI am the honour of the Prophet.
,BAZAAR SE DARBAR MEI LEH AYE HO MUJ KO\nCHAHO TOU JALA SAKTIEE HOON KHUTBO SE MEI TUM\nKO\nSABIR KI BEHAN HOON JO MEI KHAMOSH KHARI HOON,"You have brought me through the\nmarketplace into the court.\nYet, if I wish, my sermons can set your falsehood ablaze.\nI am the patient one’s sister; that is why I stand silent."
,AFSOOS KANIZI MEI USSE MANG RAHEY HO\nTUM JIS KEH GHULAMO KI GHULAMI MEI RAHEY HO\nYEH ZULM NA HO GA KABHI MEI ZINDA ABHI HOON,"Shame! You ask for her as a slave,\nthough you yourselves lived as servants of her family’s servants.\nThis oppression will never succeed while I remain alive."
,TUM APNEY PAYAMBAR KO AGAR DIKHNA CHAHO\nNAZEY PE JO YEH SAR HAI ISSEY GHOUR SE DEKHO\nHUMSHAKAL E PAYAMBAR HAI YEH MEI IS KI PHUPI HO\nON,"To see your Prophet,\nlook carefully at the head upon the spear.\nHe resembles the Prophet,\nand I am his aunt."
,AUR ISS SE KATHAN WAQT KYA HO GAA MERE MABO\nOD\nFIZA KEH TARAF DAR HAI DARBAR MEI MAJOOD\nMEI PUSHT PE FIZA KEH KHARI DEKH RAHE HOON,"What hour could be more difficult, O my Lord?\nI fear for Fizza,\nwho stands present in the court.\nI stand behind Fizza—you can see me there."
,ZEHRA KO BHI DARBAR MEI TUM NEH THA BULAYA\nDARBAR MAY MEI BHI HO MAGAR FARQ HAI ITNAA\nPARDEY MEI THI WOH AUR MEI BE PARDA KARI HOON,"You summoned Zahra to a court as well.\nI too stand in a court, but the difference is this:\nshe was behind a veil, while I have been made to stand unveiled."
,ZANJEERO MEI JAKRA JO YEH BEIMAAR KHRAA HAI\nSAJDA ISEY KAABEY KI FASEELO NEH KIYA HAI,This ailing man bound in chains\nwas once honoured by the very walls of the Kaaba.
,MANSAB MEI BARA WOH HAI MEI RISHTEY MEI BARI H\nOON,"He is greater in rank,\nthough I am older in relation."
,ZINDA THA TOU DAR DAR KEH HAMESHAA HE LAREY\nHO\nAB SAR HAI TOU HONTO PE CHARI MAR RAHEY HO\nTUM KITNEY BAHADDUR HO MEI YEH DIKH RAHI HOON,"While he was alive, you fought him only in fear.\nNow that only his head remains,\nyou strike his lips with a cane.\nHow brave you are—I can see your courage now."
,HONEH LAGI DARBAR MEI MUSHTARKA AZANEIN\n“REHAN” IDHAR NAAM E NABI GUNJA FIZZA MEI\n(BIBI NEH KAHA FAKHR SE) MEI JEET GAYI HOON,"As competing calls to prayer began in the court,\n‘Rehan’ says the Prophet’s name echoed through the air.\n(The Lady said proudly:) I have won."
