line id verse number,arabic text,english translation text
,"WOH KARBALA, WOH SHAAME GHARIBA, WOH TEER RAGHI\nWOH ZAINABE HAZIN, WOH HIFAZAT KHAYAAM KI.\nAAYA WOH IK SAWAAR, KARIBE KHAYAAME SHAAM.\n(SHAM-E-GHARIBA)","THAT KERBALA, THAT EVENING OF THE DISPOSSESSED\nTHOSE ARROWS,\nTHAT ZAINAB IN MOURNING, GUARDING THE TENTS\nA RIDER APPROACHED THE TENTS THAT NIGHT"
,BETI ALI KI GHEIZ MEY SUWE FARAS BARHI\nULTI NAKAAB CHEHERE SEY APNE SAWAAR NE\nPESHE NIGHAHE ZAINABE MAZLUM THE ALI.,"THE DAUGHTER OF ALI STRODE FORWARD TOWARDS THE RIDER,\nTHE RIDER LIFTED THE VEIL FROM HIS FACE,\nINFRONT OF THE OPPRESSED(MAZLUM) ZAINAB WAS ALI, HER FATHER"
,HAR CHAND SABERA THI BAHOT BINTE FATEMA\nBE SAAKHTA ZABAA PAR FARIYAAD AAGHAYI.,"ALTHOUGH THE DAUGHTER OF FATEMA WAS STEADFASTLY PATIENT,\nHER TONGUE COULD NOT HELP BUT COMPLAIN"
,"ZAINAB NE KAHA BAAP KE QADMO SEY LIPAT KAR, AB AAYA HO BABA\nJAB LOOT GHAYA PARDES MEY AMMA KA BHARA GHAR,AB AAYE HO BABA.","WRAPPING HERSELF AROUND HER FATHER'S FEET, ZAINAB SAID, 'YOU HAVE COME NOW, O'FATHER (BABA)?',\nWHEN OUR MOTHER'S WHOLE FAMILY WAS LOOTED IN A STRANGE LAND, YOU HAVE COME NOW, O' FATHER"
,"BABA AGAR AANA HI THA, KHAALIQ KI RIZAASEY,USWAQT NA AAE\nJAB KHAAK PA DAM TOR RAHA THA MERE AKBER, AB AAE HO BABA","O'FATHER IF YOU WANTED TO COME WITH THE CREATOR'S PERMISSION, WHY DID YOU NOT COME WHEN:\nWHEN MY AKBER WAS BREATHING HIS LAST ON THE SANDS (OF KARBALA), YOU HAVE COME NOW O ' FATHER."
,"CUT CUT KE NEHER PA JAB BAZUUE ABBAS, AUR KOYI NA THA PAAS\nUS WAQT SADAA AAP KO DETA THA DILAWAR, AB AAE HO BABA.","WHEN ABBAS'S HANDS WERE CUT OFF AND FELL BY THE SHORES(OF FURAAT) AND THERE WAS NO ONE NEARBY (TO HELP),\nYOUR SON CALLED OUT TO YOU FOR HELP AT THAT TIME, YOUR HAVE COME NOW, O' FATHER."
,"JAB BHAI KA SAR CUT TA THA, MEY DEKH RAHI THI, HAZRAT KO SADAA DI\nSAR KHOLE HUWE ROTI THI MEY KHAIME KE DARPAR, AB AAE HO BABA.","WHEN MY BROTHER'S HEAD WAS BEING CUT OFF I WAS WATCHING, CALLING OUT TO YOU,\nMY HEAD WAS BARE AND I WAS WEEPING BESIDE THE TENT, YOU HAVE COME NOW, O ' FATHER"
,"JAB FARSHE ZAMIN BAAME FALAQ LARZA BAJAA THE, US WAQT KAHA THE\nJAB BAAPKE CHILUUMEY THA KHUNE ALI ASGHAR, AB AAE HO BABA.","WHEN THE LAND AND SKY WERE TREMBLING, WHERE WERE YOU THEN?\nWHEN A FATHER'S PALMS FILLED UP WITH THE INNOCENT BLOOD OF ALI ASGHAR, YOU HAVE COME NOW, O' FATHER"
,"JAB BALI SAKINA KE GHOWHAR CHINE GHAYE THE, LAGHTE THE TAMAACHE\nHASRATSE MUJHE DEKHTI THI BANUE MUZTAR,AB AAE HO BABA.","WHEN LITTLE SAKINA'S EARRINGS WERE SNATCHED, SHE WAS BEING SLAPPED,\nBANU (HER MOTHER) WAS LOOKING TOWARDS ME IN HOPE, YOU HAVE COME NOW, O' FATHER"
,"JAB SHAAMKE QAZAAK HAME LOOT RAHE THE,KHAIMO KO JALAAKE\nAAP AAGHAE HOTE TO NA CHINTI MERI CHAADER, AB AAE HO BABA","WHEN THE BARBARIANS FROM SHAM WERE LOOTING OUR POSSESSIONS, BURNING OUR TENTS,\nIF YOU HAD COME TO OUR RESCUE MY VEIL WOULD BE NOT BE SEIZED, YOU HAVE COME NOW, O' FATHER"
,"KYA AAPNE FIRDOS SEY,YEH DEKHA NA HOGHA, KYA HASHRA BAPAA THA\nJAB PUSHT SEY BIMAAR KE KHAICHA GHAYA BISTER, AB AAE HO BABA.","YOU MUST HAVE SEEN FROM HEAVEN(FIRDOUS), WHAT COMMOTION AROSE,\nWHEN THEY SNATCHED THE BED FROM UNDER THE INVALID'S(IMAM SAJJAD) BACK, YOU HAVE COME NOW, O' FATHER"
,"EK RAAT KE MEHMAAN HEY, PHIR QAIDE SALAASIL, AB AANE SEY HAASIL\nBAAZAAR MEY HAM SUBHO KO JAAENGE KHULE SAR, AB AAE HO BABA","GUESTS FOR ONE MORE NIGHT, THEN TO PERPETUAL IMPRISONMENT, WHAT WILL BE ACHIEVED BY COMING NOW?\nWE WILL BE PARADED WITH BARE HEADS(WITHOUT CHADAR)IN THE MARKETS OF SHAM, NOW YOU HAVE COME, O' FATHER"
,"ZAINAB NE KAHA BAAP KE QADMO SEY LIPATKAR, AB AAE HO BABA.","WRAPPING HERSELF AROUND HER FATHER FEET ZAINAB SAID, 'YOU HAVE COME NOW O'FATHER (BABA)'"
