line id verse number,arabic text,english translation text
,ASMANE MUJTABA KO JO HIRA PILA DIYA,MUJTABA (IMAAM HASSAN) WAS GIVEN POISON
,ASMANE MUJTABA KO JO HIRA PILA DIYA\nHIRENE DIL HASSAN KA SERASER KETA DIYA\nDERDE JIGER NE KHAWBSE JISDEM JEGA DIYA\nBEHNO KO YEH PUKAR KE USMA SUNA DIYA,MUJTABA (IMAM HASSAN A.S.) WAS GIVEN POISON\nTHE POISON WAS SO POTENT THAT IT CUT HIS LIVER INTO PIECES\nIT WOKE HIM UP FROM DEEP SLEEP\nHE CALLED OUT TO HIS SISTERS TO LET THEN KNOW HIS LAST WISHES
,KUCH AAJ KHUD BA KHUD MERA AHWAL TENG HAI\nCHURIYA JIGAR ME CHALTI-HAI AUR SABZ RENG HAI,HE STARTED BY SAYING 'TODAY ALL OF A SUDDEN MY BODY IS IN A LOT OF PAIN'\n'KNIVES ARE CUTTING THROUGH MY LIVER - LOOK THE COLOUR OF MY SKIN HAS CHANGED'
,BEHNO KHUDA KE WASTE AWO MERI TARAF\nBETAB DERD SE HUN MAY IBNE SHAAHE NAJAF\nPARDE BHI KUT CHUKE HAY MERE DILKE SAF BE SAF\nAFSOS HON CHUKI HAY MERI ZINDAGI TELEF,'MY SISTERS DO COME NEXT HERE NEXT TO ME' I\nAM IN A LOT OF PAIN' SAID THE SON OF\nSHAHE NAJAF (IMAAM ALI) 'I AM SUFFERING A LOT OF\nPAIN AS IF MY BODY IS BEING CUT PIECE BY PIECE'
,MAY BE KELISE KARTA JO AHO FUGHA(N) HUN\nMISLE CHIRAGE SUBHE MEY AB MEHMAN HUN,'I CAN SEE MY LIFE IS NOW COMING TO AN END – IT IS SHORT' 'THE\nPERSON BEFORE YOU IS IN A LOT OF PAIN' 'HE IS ONLY YOUR GUEST UNTIL TOMORROW MORNING'
,BEHNO NE APNE BHAI KI JISDEM SUNI SEDA\nHUJR-E SE ROTI PITTI DAWRI BEREHNA PA\nJUHI KARIB AAYI TO WOH DEKHTI HAY KYA\nBABAKI TARHAN BHAI HASSAN HAY TARAP RAHA,"WHEN IMAM’S SISTERS HEARD HIS CRY\nTHEY RAN OUT FROM THEIR ROOMS AND TO HIM IN GREAT HASTE\nWHEN THEY REACHED HIM THEY SAW IT WITH THEIR OWN EYES\nLIKE IS FATHER ONCE HE WAS STRUCK, IMAM HASSAN WAS SUFFERING A LOT"
,KYA ZULM HOGAYA YE DUHAI RASULKI\nBERBAD HON CHUKI HAY KAMAI BATUL KI,THE SUFFERING BEING ENDURED BY THE FAMILY OF RASUL\nTHERE IS BEING LOST BEFORE US - THE PROGENY OF BATUL (BIBI FATEMA)
,EHWAL US TAREF THA HASSAN KA NIPAT TEBAH\nZAINAB UDHER TO ROTI THI BHAR BHAR KE SERDE AAH\nHAZRAT HASSAN KI PAR GEI ZAINAB PE JO NIGHAH\nAY BEHNA SABR KIJIYO BOLA WO DIN-PENAH,"EVERYONE’S FOCUS WAS ON IMAAM HASSAN AS HE WAS SUFFERING\nON ONE SIDE BIBI ZAINAB WAS CRYING AND SOBBING\nIMAAM HASSAN NOTICED THAT BIBI ZAINAB WAS CRYING\nHE TURNED TO HER AND SAID,'MY SISTER BE PATIENT"
,NE PITO SER NE ASHKOSE BHERLAO NAE NEKO\nJALDI KHABER KERO MERE BHAI HUSSEIN KO,DON’T CRY OR BE SAD NOW\nJUST LET MY BROTHER HUSSEIN KNOW WHAT HAS JUST HAPPENED'
,ZAINAB NE DEKHA BHAI HASSANKA YE JABKE HAL\nKAMBERSE JAKE KEHNE LAGI YUN BASAD MELAL\nBAYTHA HAY KYA TU AUR KIDHER HAY TERA KHEYAL\nSIJDEME HAY HUSSEIN JO DER YADE ZUL JELAL,ZAINAB REGAINED HER COMPOSURE AS SHE REALIZED THE ENORMITY\nSHE RUSHED TO KUMBER AND URGENTLY RELAYED THE MESSAGE\nSHE SAID LEAVE WHAT YOU ARE DOING\nAND RUSH TO IMAAM HUSSEIN WHO IS AT MOSQUE AND IN PRAYER
,JA USSE KEHDE TUMSE HASSAN AB HAY CHUUT TA\nAWO HUSSEIN BAZU TUMHARA HAY TUUT TA,TELL IMAAM HUSSEIN THAT IMAAM HASSAN IS LEAVING US\nPLEASE RUSH BACK AS A PILLAR OF THE HOUSEHOLD IS FALLING.
,YE DUKHTARE BATUL KA SUNKER PAYAME YAS\nKAMBER WEHAN SE ROTA CHELA HOKE BEHEWAS\nWO NAARAZAN HUSSEIN KE JIS WAKHTE AYA PAAS\nRORO PUKARA AYA HUN KARNE KO ILTEMAS,WHEN HE HEARD THAT FROM THE DAUGHTER OF BATUL\nKUMBER RAN AS TEARS WERE STREAMING FROM HIS EYES\nWHEN HE REACHED IMAAM HASSAN\nWITH TEARS IN HIS EYES HE SAID 'I AM HERE TO GIVE YOU CONDOLENCES'
,TUK DEKHO CHALKE GHERME KAYAMAT BEPA HAI AAJ\nHAZART HASSAN KO ZEHR KISINE DIYA HAI AAJ,'PLEASE RUSH HOME FOR IT IS LIKE QAYAMAT AT HOME'\n'FOR SOMEONE HAS POISONED IMAAM HASSAN TODAY'
,ROYE HUSSEIN KARKE GHIREBAN JO APNA CHAK\nKASSIM IDHER URAANE LEGA APNE SAR PE KHAK\nAY BHAI MAYBHI KARTIHU APNE TAI HELAK\nHAY HAY HASAN PUKARITHI ZAINAB BE DERDE NAK,IMAAM HUSSEIN HUGGED KUMBER AS HE CRIED TOO\nKASSIM (IMAAM HASSAN’S SON) CRIED TOO\nAS THEY REACHED HOME THEY SAW BIBI ZAINAB IN TEARS TOO\n'OH BROTHER I TOO FEEL LIKE I WANT TO LEAVE THIS WORLD'
,KASSIM KI MAA PUKARI MERA RAZ LUT GEYA\nKAMBER PUKARA AKAA MERA MUJSE CHUT GEYA,KASSIM’S MOTHER CRIED AND SAID I HAVE LOST EVERYTHING\nKUMBER CRIED AND SAID I HAVE LOST MY AKAA (MY MASTER)
,SALMA PUKARI ZEHR SE SHABBER HUWA SHAHID\nKULSUM ROI MERA BIRADER HUWA SHAHID\nKASSIM KI MA PUKARI KE AFSER HUWA SHAHID\nMAY BEWA HOGAI MERA SHAWHER HUWA SHAHID,SALMA (ONE OF PROPHET’S WIVES) SAID THAT SHABBER (IMAAM HASSAN)\nWAS POISONED AND WAS A SHAHID (A MARTYR) KASSIM’S MOTHER ALSO\nCRIED – HE WAS A SHAHID 'I AM NOW A\nWIDOW AND MY HUSBAND WAS KILLED IN THE WAY OF ALLAH'
,KASSIM NE KHAK PACHARI KAHAN WA MUSIBATA\nMAY BEKASO YATIM HUWA WA MUSIBATA,KASSIM LAMENTED AND SAID 'THE TROUBLES ARE HERE'\n'I AM NOW A YATIM (AN ORPHAN) AND THE TROUBLES ARE HERE'
