line id verse number,arabic text,english translation text
,MUHAMAD KAY GHARANAY SE WAFADARI KARENGE HUM,WE WILL SHOW OUR LOYALTY TO THE FAMILY OF MUHAMMAD (PBUH).
,AZAKHANE SAJAEIN GE AZADARI KARENGE HUM,WE WILL DECORATE OUR CENTRES (IN BLACK CLOTH) AND WE WILL DO AZADARI.
,SHARAF HUMNE YEH PAYA HAI DUA E FATIMA HAIN HUM\nTO JAB TAK JAN BAAQI HAI KARENGE SHAH KA MATAM,"WE HAVE ATTAINED THE HONOUR OF BEING THE DU’A OF BIBI\nFATIMA. FOR AS LONG AS WE LIVE, WE WILL MOURN HUSSAIN."
,JANAB E SAYYADA SE YOON NAMAKHARI KARENGE HUM,WE WILL SHOW OUR LOYALTY TO BIBI FATIMA IN THIS WAY
,BICHA KAR FARSH E MATAM HUM NAY DUNIYA KO BATAYA HAI\nYEH IZZAT OR YEH DAULAT SHAH E WALA KA SADQA HAI,WE HAVE SHOWED THE WORLD THROUGH OUR MOURNING.\nALL THIS WEALTH AND RESPECT IS THROUGH HUSSAIN ONLY.
,FIDA DOLAT INHI KAY NAAM PER SARI KARENGE HUM,WE WILL SACRIFICE ALL OUR WEALTH IN HUSSAIN’S NAME
,JULOOSO ME JARI ABBAS KA PARCHAM UTHAEIN GE\nWAHA(N’) NAAM E SAKINA PAR SABEELEIN BHI LAGAYEIN GE,WE WILL CARRY THE FLAG OF ABBAS IN OUR PROCESSIONS.\nWE WILL GIVE OUT WATER IN THE NAME OF SAKINA.
,MUKAMAL MAH E GHUM KI AISE TAYARI KARENGE HUM,WE WILL PREPARE FOR THE DAYS OF MOURNING IN THIS WAY
,JO ZEHRA SE KIYA HUM NAY WOHI WADA NIBHAEIN GE\nJAHAN JAYEIN GE GHAZI KA WAHAN PARCHAM LAGAYEIN GE,WE WILL TRY AND FULFIL THE PROMISE MADE TO ZAHRA.\nWHEREVER WE GO WE WILL CARRY THE FLAG OF ABBAS.
,HUSSAINI QAFLAY KI AB ALAMDARI KARENGE HUM,WE WILL CARRY THIS FLAG IN OUR HUSSAINI PROCESSIONS
,"SABHI BHAI, BHATEEJE, BHANJAY MARAY GAYE PIYASE\nBAS IK HI ROZ ME HAAYE SITAM LAKHON SAHAY JIS NAY",ALL OF HUSSAIN’S BROTHERS AND NEPHEWS WERE KILLED THIRSTY.\nTHE ONE WHO ENDURED COUNTLESS OPPRESSION ON ONE DAY.
,HUSSAIN IBN E ALI PE GIRYA O ZAARI KARENGE HUM,WE WILL MOURN FOR HUSSAIN!
,SAKINA KA DAR E SHABEER PY NAUHA SUNAEIN GE\nAZADARI KAY SADQAY ME HUMEIN MAULA BULAEIN GE,HE WILL CALL US TO PERFORM AZADARI AT HIS SHRINE.\nWE WILL RECITE A EULOGY FOR SAKINA AT HIS SHRINE.
,YAQEENAN ROZA E SARWAR KI ZAWARI KARENGE HUM,WE WILL NO DOUBT VISIT HIS SHRINE!
,YEH GHUM TO ARSALAN E GHUMZADA WIRSAY ME PAYA HAI\nHUMEIN ABBAS NAUHA MAA NAY LORI ME SUNAYA HAI,"ARSALAN, HEAVY HEARTEDLY SAYS, WE WERE TAUGHT TO MOURN FOR HUSSAIN BY\nOUR PARENTS. ABBAS (KARIM), MY MOTHER RECITED NOHAS AS LULLABIES TO ME."
,YEH WIRSA APNI NASLON ME YUN HI JAARI KARENGE HUM,WE WILL NO DOUBT PASS THIS DOWN THROUGH OUR GENERATIONS.
