line id verse number,arabic text,english translation text
,KHAMOSHIYOH SE HI PUCHO....\nIN AASUHO SE HI PUCHO....\nKHAMOSHIYOH SE HI PUCHO....\nIN AASUHO SE HI PUCHO....,Ask the silence itself…\nAsk these tears themselves…\nAsk the silence itself…\nAsk these tears themselves…
,BADE ZULM RAHO MEIN SEHTI RAHI HAI-\nYATIMI KE TAHNE YEH SEHTE RAHI HAI-\nNAHI MAR ZALIM TAMACHE ISE-\nNA KAR DUSHWAAR ISKA JINA-\nBAHUT RO CHUKI HAI SAKINA....\nALLAH- BAHUT RO CHUKI HAI SAKINA....2,"She endured terrible cruelty along the roads.\nShe bore the taunts of orphanhood.\nCruel one, do not strike her with another slap;\ndo not make her life more unbearable.\nSakina has already wept so much.\nO Allah—Sakina has already wept so much."
,SAFAR MEIN YEH SOWI NA ZINDAAN AAKAR-\nUJALA KIYAH HAI YAHA DIL JALAKAR-\nPADAR SE JOH BICHDE ASHUR KO-\nSUKUN PASAKI PHIR KABHI NA-\nBAHUT RO CHUKI HAI SAKINA....,"She did not sleep during the journey, nor after reaching the prison.\nShe lit that darkness by burning her own heart.\nSeparated from her father on Ashura,\nshe never again found peace.\nSakina has already wept so much."
,MILA DASHT MEIN JAB KE BABA KA LASHA-\nLIPAT KAR PADAR SE KIYA KHUB GIRYAH-\nWAHA PAHUCHI ZAINAB TOH SHANE KAHA-\nSULA DO ISE JAKE BEHNA-\nBAHUT RO CHUKI HAI SAKINA....,"When she found her father’s body in the desert,\nshe clung to him and wept intensely.\nWhen Zainab arrived, the Master said:\nSister, take her and put her to sleep.\nSakina has already wept so much."
,RASAN DEGAYI HAI NISHANI GALE PAR-\nHAY PESHANI ZAKHMI JOH PAYE TEH PATHAR-\nNISHA HAI TAMCHO KE RUKSAAR PAR-\nMASAYAB SEH ZAKHMI HAI SINA-\nBAHUT RO CHUKI HAI SAKINA....\nKABHI APNE BABA KE QATIL SE DAR KAR-,The rope has left its mark upon her neck.\nHer forehead is wounded where stones struck her.\nThe marks of slaps remain upon her cheeks;\nher chest is wounded by suffering.\nSakina has already wept so much.\nAt times she trembled before her father’s killer—
,KABHI ROYE ZINDAAN MEIN TANHAHIYOH PAR-\nKABHI BOLI ZAINAB SE AB GHAR CHALO-\nHUWA EK BARAS EK MAHINA-\nBAHUT RO CHUKI HAI SAKINA....,"At times she cried over the loneliness of the prison.\nAt times she said to Zainab, ‘Let us go home now.’\nA year and a month had passed.\nSakina has already wept so much."
,HU MAKTAL KE BAZAAR YAH QAIDKHANA-\nSADA DEKE BABA SE KEHTE THI DUKHIYAH-\nYATIMI MILE TOH MILE AISE GUM-\nKAHI CHAIN SE JEE NA SAKIH NA-\nBAHUT RO CHUKI HAI SAKINA....,"Whether in the battlefield, marketplace, or prison,\nthe grieving child kept calling to her father.\nOrphanhood brought her such grief\nthat nowhere could she live in peace.\nSakina has already wept so much."
,QAYAMAT KI EK RATH AISI BHI AYI-\nKAZA NEH SAKINA KO LOHRI SUNAI-\nKAHA ROKE SAJJAD NE AY FUFI-\nKE AB ROYEGI PHIR KABHI NA-\nBAHUT RO CHUKI HAI SAKINA....,"Then came one night of catastrophe\nwhen death itself sang Sakina a lullaby.\nSajjad wept and said: O Aunt,\nnow she will never weep again.\nSakina has already wept so much."
,JOH QABRE SAKINA PE ROTE THE QAIDI-\nTOH UN RONE WALON SE BANOH YEH KEHTE-\nABHI THAK KE SOYI HAI ZINDAAN MEIN-\nJAGANA ISE AB KOYI NA-\nBAHUT RO CHUKI HAI SAKINA....,"As the captives wept at Sakina’s grave,\nBanu said to those who mourned:\nShe has only just fallen asleep in the prison;\nlet no one wake her now.\nSakina has already wept so much."
,"YEH KEHTA HAI ""FARHAN"" SE ROKAR ""MAZHAR""-\nJOH KABRE SAKINA PE JANA BARADAR-\nWAHA MARSIYAH JAKE PADHNA YAHI-\nBAHUT RO CHUKI HAI SAKINA-","‘Mazhar,’ Farhan says through tears:\nBrother, when you visit Sakina’s grave,\nrecite this very elegy there:\nSakina has already wept so much."
