line id verse number,arabic text,english translation text
,TERA CHEHLUM MANANE GHURBAT PE\nQAID KHANE SE AAGAYI ZAINAB,ZAINAB AS COME FROM THE PRISON\nTO COMMEMORATE YOUR 40TH IN LONELINESS
,BHAIYYA... AAGAYI ZAINAB,BROTHER… ZAINAB HAS COME
,PAAS TERE TERI SAKINA KO\nSAATH APNE NA LAA SAKI ZAINAB,ZAINAB COULD NOT BRING\nSAKINA WITH HER TO YOU
,HAYE ATTHARA BHAIYO WALI\nBERIDA SHAAM HOKE AAYI HAI,OH THE ONE WITH 18 BROTHERS\nHAS COME FROM SHAM WITHOUT ANY COVERING
,NEEL ZAKHMO KE AUR BAAZU PAR\nRASSIYO KE NISHAAN LAAYI HAI,WITH BRUISED WOUNDS AND ARMS\nCOVERED WITH MARKS OF ROPES
,TUNE PAALA THA JISKO NAAZO SE\nAB WO ZAINAB NAHI RAHI ZAINAB,"AFTER YOU RAISED HER WITH SUCH CARE\nNOW THAT ZAINAB, ISN’T THAT ZAINAB ANYMORE"
,ITNE CHHALE PADE HAI PAYRO MEIN\nMUJHSE BHAIYYA CHALA NAHI JAATA,I HAVE SO MANY BLISTERS IN MY FEET\nBROTHER I CAN’T WALK ANYMORE
,DIL YE KEHTA HAI KEHDU SAB TUMSE\nPAR ZUBAA SE KAHA NAHI JAATA,MY HEART SAYS TO TELL YOU EVERYTHING\nMY TONGUE DOESN’T LET ME SPEAK ANYMORE
,KABHI KAATO'N BHARI ZAMEE'N PE CHALI\nAUR KABHI AAG PAR CHALI ZAINAB,"SOMETIMES, ZAINAB WALKED ON THORNES AND\nSOMETIMES SHE WALKED ON FIRE"
,BEKASI MAA KI YAAD AATI THI\nAPNI GHURBAT KO BHOOL JAATI THI,REMEMBERING MY HELPLESS MOTHER\nI USED TO FORGET MY OWN SITUATION
,MUJHKO DARBAAR MEIN SHARABI KE\nAMMA ZAHRA KI YAAD AATI THI,"IN THE COURT OF THE DRUNKARD,\nI USED TO REMEMBER MY MOTHER ZAHRA"
,SAR JHUKAYE KHADI RAHI ZAINAB\nLOG TERI BAHAN PE HASTE THE,PEOPLE USED TO LAUGH AT YOUR SISTER (ZAINAB)\nAS SHE STOOD WITH HER HEAD LOWERED
,SHEHR E KUFA KE LOG HAS HAS KAR\nHAYE MERI JANIB ISHARE KARTE THE,THE PEOPLE OF KUFA USED TO\nPOINT AND LAUGH AT ME
,JIS SE SAJJAD NE RIDA MAANGI\nUSNE MAARE GHAREEB KO PATTHAR,"WHEN SAJJAD ASKED FOR A HEAD\nCOVER, THEY HIT HIM WITH STONES"
,AAKHRI SAANS TAK NA BHULEGI\nKUFE WALO KI BE RUKHI ZAINAB,TILL HER LAST BREATH ZAINAB WILL NOT FORGET\nTHE CRUELTY OF THE PEOPLE OF KUFA
,WO JO PUCHEGI APNE AKBAR KA\nJAAKE SUGHRA KO KYA BATAUNGI,WHEN SHE ASKS ABOUT HER AKBAR\nWHAT WILL I TELL SUGHRA?
,SAATH TERA AGAR NAHI HOGA\nQABR PE MAA KE KAISE JAUNGI,HOW WILL SHE GO TO THE\nGRAVE OF MOTHER WITHOUT YOU
,AYE GHAREEB UL WATAN BAGHAIR TERE\nLAUT KAR GHAR NA JAYEGI ZAINAB,OH STRANGER WITHOUT YOU\nZAINAB WON’T GO HOME
,HAYE KABHI TAKTI THI WO TERE SAR KO\nKABHI ABBAS KO BULATI THI,"OH WHEN SHE USED TO STROKE YOUR (HUSSAIN)\nHEAD, SOMETIMES SHE USED TO CALL ABBAS"
,MERI AANKHO'N KE SAAMNE BHAIYYA\nTERI BACHHI TAMACHE KHATI THI,IN FRONT OF MY EYES BROTHER\nYOUR DAUGHTER WAS SLAPPED
,HAATH MERE BANDHE THE GARDAN SE\nSHIMR KO KAISE ROKTI ZAINAB,MY HAND WERE TIED TO MY NECK\nHOW COULD I STOP SHIMR?
,QABR E MAZLOOM PAR TAKALLUM YE\nKEH RAHI THI BATOOL KI JAYI,"ON THE GRAVE OF THE OPPRESSED,\nTAKALLUM, BATOOL’S BELOVED WAS SAYING,"
,TUJH SE WADA BAHAN YE KARTI HAI\nKHATM HO JAYEGI YE TANHAYI,SHE HAS PROMISED YOU\nTHAT THIS LONELINESS WILL END
,TERA CHEHLUM MANAYEGI DUNIYA\nIBTEDA AAJ KAR CHUKI ZAINAB,YOUR 40TH WILL BE COMMEMORATE BY THE\nWHOLE WORLD. ZAINAB HAS STARTED IT TODAY
