line id verse number,arabic text,english translation text
,DADHKANO KA SILSILA KARBALA KARBALA\nDE RAHE HAI YEH QADAM QADAM PE MATAMI SADA –\nKARBALA KARBALA,"Karbala is written upon the heart; the chain\nof heartbeats says: Karbala, Karbala. At every step,\nthese mourners raise one cry: Karbala, Karbala."
,FATIMA KA CHAYN HAI ALI KA NOOR E AYN HAI\nSHAAH E MASHRAQAIN HAI WOH SHAHE MAGHRABAYN\nHAI\nHAI WOHI TO KARBALA JAHAAN MERA HUSSAIN HAI\nJANNATO’N KA RAASTA\nQISMATON KA FAISLA\nDE RAHE HAI YEH QADAM QADAM PE MATAMI SADA –\nKARBALA KARBALA,"She is Fatima's comfort and Ali's\nlight of the eyes; he is\nthe King of East and West.\nThat Karbala alone is where\nmy Hussain rests. It is the\nroad to Paradise and the\ndecision of destiny. At every step,\nthe mourners cry: Karbala, Karbala."
,DEEN PER SHAHADATEIN SUNO NA BHOOL NA KABHI\nKARLBAIYON NE HI SIKHAI SAB KO BANDAGI\nKEH RAHA HAI YEH KHUDA MERE QAREEB HAI WOHI\nJISNE BHI YEH KEHDIYA\nYAANI MARZI E KHUDA\nDE RAHE HAI YEH QADAM QADAM PE MATAMI SADA –\nKARBALA KARBALA,"Listen to the sacrifices for the\nfaith and never forget them. The\npeople of Karbala taught everyone worship.\nGod declares: nearest to Me is\nthe one who says only this:\nthe pleasure of God. At every\nstep, the mourners cry: Karbala, Karbala."
,NAAZ JIS PE AASMAA’N KARE YEH WOH ZAMEEN HAI\nAKBAR E JAWAAN SA HASEE’N YAHAA’N MAKEEN HAI\nIS LIYE YE SAR ZAMEEN AUR BHI HASEEN HAI\nHUSN KI HAI INTEHA\nMARHABA MARHABA\nDE RAHE HAI YEH QADAM QADAM PE MATAMI SADA –\nKARBALA KARBALA,"This is the land of which\neven the heavens are proud. The\nbeautiful young Akbar resides here; for\nthis reason the land itself is\neven more beautiful. It is the\nheight of beauty— marhaba, marhaba. At\nevery step, the mourners cry: Karbala, Karbala."
,IK TARAF SAJA HUWA HAI ROZA E SHAHE UMAM,On one side stands the shrine of the King of the nations.
,DOOSRI TARAF SAJA WAFA KE SHAAH KA HARAM\nDO HARAM KE DARMIYA ATA SAKHA WAFA KARAM\nEK BAAR JO GAYA\nDEKHTA HI REH GAYA\nDE RAHE HAI YEH QADAM QADAM PE MATAMI SADA –\nKARBALA KARBALA,"On the other stands the sanctuary\nof the King of Loyalty. Between\nthe two sanctuaries are generosity, courage,\nloyalty and grace. Whoever went there\nonce could only keep gazing. At\nevery step, the mourners cry: Karbala, Karbala."
,EK BAAR JO GAYA KARBALA KARBALA\nBAS WHO TERA HOGAYA KARBALA KARBALA\nHUR TERA NASEEB HAI KARBALA KARBALA\nQISMATE HABIB HAI KARBALA KARBALA\nJAUN KA GHUROOR HAI KARBALA KARBALA\nKIBRIYA KA NOOR HAI KARBALA KARBALA\nDIL ZUHAYR QAYN KA KARBALA KARBALA\nMADRASA HUSSAIN KA KARBALA KARBALA\nHAA’N WAHAB KI SHAAN HAI KARBALA KARBALA\nJEET KA NISHAAN HAI KARBALA KARBALA\nDHAAL HAI HAI SAEED KI KARBALA KARBALA\nMAUT HAI YAZEED KI KARBALA KARBALA\nDE RAHE HAI YEH QADAM QADAM PE MATAMI SADA –\nKARBALA KARBALA,"Whoever went once became yours—Karbala,\nKarbala. Hurr is your destiny—Karbala,\nKarbala. It is Habib's fortune—Karbala,\nKarbala. It is Jaun's pride—Karbala,\nKarbala. It is the light\nof the Almighty—Karbala, Karbala. It\nis the heart of Zuhayr\nibn Qayn—Karbala, Karbala. It is\nHussain's school—Karbala, Karbala. It is Wahab's\nhonour—Karbala, Karbala. It is the\nsign of victory—Karbala, Karbala. It is\nSaeed's shield—Karbala, Karbala. It is\nYazid's death—Karbala, Karbala. At every step,\nthe mourners cry: Karbala, Karbala."
,SAJDA E HUSSAIN SE HI ISHQ SARFARAZ HAI\nKARBALA NE HI HUMEIN SIKHAYA KYA NAMAAZ HAI\nDEEN KYA HAI KYA WILAYAT E ALI KA RAAZ HAI\nHAI HUMARI DARSGAH\nHAQ KA SEEDHA RAASTA\nDE RAHE HAI YEH QADAM QADAM PE MATAMI SADA –\nKARBALA KARBALA,"Through Hussain's prostration, love itself was\nhonoured. Karbala taught us what prayer\ntruly means, what the faith is,\nand the secret of Ali's wilayah.\nIt is our school and the\nstraight path of truth. At every\nstep, the mourners cry: Karbala, Karbala."
,YEH HAI WOH ZAMEEN JAHAAN LUTA HAI FATIMA KA\nGHAR\nMAA KE SAAMNE JAHAAN PE QATL HOGAYE PISAR,This is the land where\nFatima's home was plundered and sons\nwere killed before their mothers.
,FATIMA KE LAAL KA BHI KAT GAYA YAHEEN PE SAR\nDIL NE RO KE YEH KAHAA\nWAA HUSSAIN GHURBATA\nDE RAHE HAI YEH QADAM QADAM PE MATAMI SADA –\nKARBALA KARBALA,"Here Fatima's son's head\nwas severed. The heart\nwept and cried: alas, Hussain's\nloneliness. At every step,\nthe mourners cry: Karbala, Karbala."
,AKBAR E JAWAAN KE JIGAR ME TOR DI SINA\nTEER KHAKE HALQ PER TARAP RAHA THA BE ZUBAA\nTUKRE TUKRE HOGAYA YEHEE’N PE QAASIM E JAWAAN\nHAI YEHI’N WHO BAWAFA\nJO HARAM KI AAS THA\nDE RAHE HAI YEH QADAM QADAM PE MATAMI SADA –\nKARBALA KARBALA,"The spear was broken within young Akbar's\nheart. The speechless infant writhed after receiving\nthe arrow upon his throat. Young Qasim\nwas torn into pieces here. Here\ntoo lies the faithful one who was\nthe hope of the sanctuary. At\nevery step, the mourners cry: Karbala, Karbala."
,HAI HUSAINIYO PE KHAAS YEH ATA E SAYYADA\nHAR GHARI RAWAA’N HAI LAB PE ZIKR E SHAAH E\nKARBALA\nIS SE BARH KE AUR KYA SILA MILEGA ISHQ KA\nZEESHAN NE KAHAA\nAUR KARIM NE PARHA\nDE RAHE HAI YEH QADAM QADAM PE MATAMI SADA –\nKARBALA KARBALA,"This is the Sayyida's special gift\nto Hussain's followers: at every moment,\nremembrance of the King of Karbala\nflows upon their lips. What reward\nfor love could be greater than\nthis? Zeeshan said it, and\nKarim recited it. At every step,\nthe mourners cry: Karbala, Karbala."
