line id verse number,arabic text,english translation text
,KARBALA WALON PE YE KAISA MUHARRAM AAYA,ALAS! WHAT MUHARRAM HAS BEFALLEN UPON THE PEOPLE OF KARBALA?
,KHUN TAPAKTA HUWA ABBAS KE PARCHAM AAYA,"DRENCHED IN BLOOD, ABBAS'S FLAG HAS APPEARED"
,JAISE JAISE MERE GHAZI KA ALAM JUKTAA GAYA,AS MY GHAZI (H. ABBAS'S) ALAM KEPT FALLING TO THE GROUND
,PUSHT MEIN HAZRATE SHABBIR KA BHI KHAM AAAYA,HAZRAT SHABBIR'S BACK KEPT BREAKING BECAUSE OF THE SORROW
,KARBALA DEKHLE ISLAM BACHAANE KE LIYE,"O KERBALA, SEE HOW ISLAM IS SAVED…"
,SAATH KUMBE KO LIYE WAARIS E ADAM AAYA,THE INHERITOR OF ADAM HAS BROUGHT HIS ENTIRE FAMILY
,ZAALIMON ISKO TO DO BUNDH PILADO PAANI,"O OPPRESSORS, GIVE HIM TWO SIPS OF WATER AT LEAST"
,AB LABON PAR MERE BESHIR KAA HAI DAM AAYA,MY SIX-MONTH OLD (ALI ASGHAR) IS ALMOST DYING OF THIRST
,SAARE MAUSAM TO GUZAR JAATE HAI AAKAR LAIKIN,"ALL SEASONS COME AND GO, BUT…"
,BAS HAMESHA KE LIYE MAUSAM E MATAM AAYA,THE SEASON OF MAATAM IS HERE TO STAY FOREVER
,CHAAND RAIHAAN NAZAR AYA MUHARRAM KA IDHAR\nKHUD BA KHUD ASHQ MERI AANKH ME PAIHAM AYA,"AS I SAW THE MOON OF MUHARRAM,\nMY EYES WERE IMMEDIATELY FILLED WITH TEARS"
