line id verse number,arabic text,english translation text
,KIYE HAI SHIMR NE DO QATL EK KHANJAR SE,SHIMR COMMITTED TWO MURDERS WITH ONE DAGGER—
,LAHU HUSSAIN KA POHNCHA BEHEN KI CHADAR SE,HUSSAIN’S BLOOD REACHED HIS SISTER’S VEIL.
,GHAREEB-E-ZAHRA WAHI’N ROTE ROTE MARR JAATA,"THE ORPHAN OF ZAHRA (HUSSAIN) WOULD HAVE DIED WEEPING RIGHT THERE,"
,BEHEN UTHA KE NA LAATI JO LAASH-E-AKBAR SE,IF HIS SISTER HAD NOT BROUGHT HIM AWAY FROM AKBAR’S BODY.
,"KISI NE BAALON SE PAKRA KOI UTHA KE CHALA,","ONE HELD HIM BY THE HAIR, ANOTHER DRAGGED HIM ALONG,"
,SAR-E-HUSSAIN KO MAARA KISI NE PATTHAR SE,AND SOMEONE STRUCK HUSSAIN’S HEAD WITH A STONE.
,"USE UTHAYA HAI BABA KI LAASH SE AISE,","SHE (SAKINA) WAS LIFTED FROM HER FATHER’S BODY IN SUCH A WAY,"
,KE PHIR SAKINA NAHI SOYI SHIMR KE DARR SE,"THAT AFTER THAT, SAKINA NEVER SLEPT AGAIN—OUT OF FEAR OF SHIMR."
,"LAB-E-HUSSAIN (AS) PE HASS HASS KE MARTA HAI CHARRI,","HE KEPT STRIKING HUSSAIN’S LIPS WITH MOCKING LAUGHTER,"
,YAZEED KHEL RAHA THA HUSSAIN (AS) KE SARR SE,YAZID WAS PLAYING WITH HUSSAIN’S BLESSED HEAD.
,"BULAYA SHAAM KE ZINDAN MEIN JAB SAKINA NE,","WHEN SAKINA CALLED OUT FROM THE PRISON OF SHAAM,"
,HUSSAIN PYAASE PALAT AAYE HAUZE KAUSAR SE,HUSSAIN RETURNED THIRSTY FROM THE POOL OF KAUSAR.
,FAQAT GALA HI NAHI SHAH KA KATA RAN MEIN,"IT WAS NOT JUST THE IMAM’S NECK THAT WAS CUT IN THE BATTLEFIELD,"
,KATE HAI HAATH BHI ZAHRA (SA) KE KUND KHANJAR SE,EVEN THE HANDS OF ZAHRA WERE CUT BY THAT CURSED DAGGER.
,"BEHEN KA PARDA TAQALLUM USE BANA NA THA,","HE NEEDED TO MAKE HIS SISTER’S VEIL OF MODESTY,"
,SUNA RAHA THA WOH QURAN SEENA KE MIMBAR SE,HE WAS RECITING THE QUR’AN FROM THE TOP OF THE SPEAR.
