line id verse number,arabic text,english translation text
,KYA RAHA KHAIMON MAIN SHEH KAI AIK UDAASI REH GAYI,WHAT IS LEFT IN THE TENTS OF THE AHLULBAYTM (A.S.) APART FROM GRIEF
,SIRF RONAI KO MUHAMMAD KI NAWASI REH GAYI,BIBI ZAINAB WAS LEFT TO CRY FOR ALL THE MARTYRS OF KARBALA
,KYA RAHA KHAIMON MAIN SHEH KAI AIK UDAASI REH GAYI,WHAT IS LEFT IN THE TENTS OF THE AHLULBAYTM (A.S.) APART FROM GRIEF
,CHEENTA THA SHIMR CHADAR AUR ZAINAB BAAR BAAR\nAPNI CHADAR KAI MUHAFIZ KO BULATI REH GAYI,"SHIMR SNATCHED THE VEIL OF ZAINAB (S.A)),\nAND ZAINAB (S.A.) KEPT CALLING OUT TO PROTECTOR OF HER VEIL"
,KYA RAHA KHAIMON MAIN SHEH KAI AIK UDAASI REH GAYI,WHAT IS LEFT IN THE TENTS OF THE AHLULBAYTM (A.S.) APART FROM GRIEF
,KHOON DIL ABBAS KA SAB BEH GAYA RAN MAIN MAGAR\nDIL MAIN BAS AIK BAAT ZAINAB KI RIDA KI RAH GAYI,"EVEN WHILE HAZRAT ABBAS (A.S.) LOST ALL HIS BLOOD ON THE BATTLEFIELD,\nHE KEPT THINKING ABOUT PROTECTING THE VEIL OF ZAINAB (S.A.)"
,KYA RAHA KHAIMON MAIN SHEH KAI AIK UDAASI REH GAYI,WHAT IS LEFT IN THE TENTS OF THE AHLULBAYTM (A.S.) APART FROM GRIEF
,AI MUSALMANON TUMHARAI GHAIRATAIN KYA HO GAYI\nTUM TAMASHAEE THAI ZAINAB MUN CHUPATI REH GAYI,"O MUSLIMS! WHAT HAPPENED TO YOUR HONOUR & DIGNITY,\nYOU KEPT WATCHING WHILE ZAINAB (S.A) WAS HIDING HER FACE"
,KYA RAHA KHAIMON MAIN SHEH KAI AIK UDAASI REH GAYI,WHAT IS LEFT IN THE TENTS OF THE AHLULBAYTM (A.S.) APART FROM GRIEF
,QAID MAIN BAALI SAKINA KO MILA BABA KA SAR\nMUN PAI MUN RAKH KER JO SAOEE MAA JAGATI REH GAYI,"IN THE PRISON WHEN SAKINA GOT THE HEAD OF HER FATHER,\nHER MOTHER KEPT TRYING TO WAKE HER UP WHILE SHE SLEPT WITH HER CHEEKS ON THE HEAD ON HER FATHER"
,KYA RAHA KHAIMON MAIN SHEH KAI AIK UDAASI REH GAYI,WHAT IS LEFT IN THE TENTS OF THE AHLULBAYTM (A.S.) APART FROM GRIEF
,MADAR-E-ASGHER NA BAITHI SAAYAI MAIN ASGHER KAI BAAD\nSAAYAI MAIN AAYE TO ZINDA LAASH BAAQI REH GAYI,"THE MOTHER OF ALI ASGHER DID NOT SIT IN THE SHADE AFTER HE WAS MARTYRED,\nONLY AFTER SHE PASSED AWAY WAS HER BODY BROUGHT INTO THE SHADE"
,KYA RAHA KHAIMON MAIN SHEH KAI AIK UDAASI REH GAYI,WHAT IS LEFT IN THE TENTS OF THE AHLULBAYTM (A.S.) APART FROM GRIEF
,HAR TAMACHE PAR SAKINA MUN PE RAKH KAR NANE HAATH\nNEEL RUKHSAARON KAY GHAZI KO DIKHATI REHGAYI,"WITH EVERY STRIKE SAKINA, PUT HER LITTLE HANDS ON HER FACE\nSHE WAS LEFT SHOWING THE BRUISES TO HER UNCLE ABBAS AS"
,KYA RAHA KHAIMON MAIN SHEH KAI AIK UDAASI REH GAYI,WHAT IS LEFT IN THE TENTS OF THE AHLULBAYTM (A.S.) APART FROM GRIEF
,"AY MUSLAMNAO TUMHARI GHAIRTAIN KYA HOGAYI\nTUM TAMASHAI THAY ZAINAB, MUN CHUPATI REHGAYI",OH MUSLIMS WHERE IS YOUR HONOR?\nYOU ARE SPECTATORS WHILE ZAINAB IS HIDING HER FACE
,KYA RAHA KHAIMON MAIN SHEH KAI AIK UDAASI REH GAYI,WHAT IS LEFT IN THE TENTS OF THE AHLULBAYTM (A.S.) APART FROM GRIEF
