line id verse number,arabic text,english translation text
,We have arrived in Karbala,
,"All my people I have left, from my city I have fled, tears\nin my eyes hand on chest\nOh your place is sanctuary, In your land is sanctity,\nheaven-on-earth I can perceive\nFor you the heavens do call, at your gate the angels crawl","I have left all my people and fled my\ncity, tears in my eyes and my hand upon my\nchest. Your land is a sanctuary, and holiness lives\nwithin it; I can perceive heaven upon earth. The heavens\ncall for you, and angels bow at your gate."
,"To the world my love is crazed, to my heart your name it\npains, oh Karbala your scent we crave\nFor you I would walk the lands, for your blessed golden\nsands, oh the test of time you stand\nHow I have waited for this day, to walk upon this path\none day..","To the world my love appears like madness;\nyour name aches within my heart, and we\nlong for Karbala's fragrance. For you I would\ncross every land, for your blessed golden sands that\nhave withstood the test of time. How long\nI waited for this day—to walk upon this path."
,"Oh the passion I do show, In me love's seeds you have\nsewn, Furat within me does flow\nYou're the moon within the night, you're the guiding ship\nof light, for Islam you did fight\nHow in passion I'm enflamed, your land on my heart is\nengrained..","The passion within me burns; you have sown\nthe seeds of love in my soul, and the\nEuphrates flows within me. You are the moon\nwithin the night, the guiding ship of light, and\nyou fought for Islam. My heart is aflame\nwith love, and your land is engraved upon it."
,"How patient can one man be, Oh Abbas can't bear to see,\nthe Children weak & thirsty",How much patience can one man possess? Abbas cannot bear to see\nthe children weak and thirsty.
,"Alone he was outnumbered, He lays armless on your\nEarth, as it weeps for its self worth, How I wish to stand\nby you, flag bearer of the only truth","Alone and outnumbered, he lies without arms upon your earth;\nthe land itself weeps over its helplessness. How I wish I had stood beside you,\nO standard-bearer of truth."
,"In your kingdom in your place, I search for the Blessed\nface, that will save us all one day\nOne who will avenge Hussain! The radiant light he\nretains! darkness to light he will change..\nHow we call for you Today, Return Mahdi we pray!","Within your kingdom and your land, I search\nfor the blessed face that will save us\nall one day—the one who will avenge Hussain,\nwhose radiant light will turn darkness into light.\nWe call today: return, O Mahdi, we pray."
,"What can be said of that day, the final place he was slain,\nby the ones who went astray\nHow upon you they did prey, hypocrisy they displayed,\nby the ones who went astray\nGod's mercy from them be removed, blessings be upon\nthe truth","What can be said of that day,\nand of the place where he was\nfinally slain by those who went astray?\nThey preyed upon him and exposed their\nhypocrisy. May God's mercy be withheld from\nthem, and blessings remain upon the truth."
,"Your wounds I wish to attend, your broke heart I wish to\nmend, your tents I wish to defend\nOnce more my pledge I renew, how I wish to be with you,\nstanding on the side of the truth\nHow upon you reigned the spears, yet you stood without a\nfear…","I wish to tend your wounds, mend\nyour broken heart and defend your tents.\nOnce more I renew my pledge: how I\nwish I had been with you, standing\nupon the side of truth, while spears rained\nupon you and you stood without fear."
,"Ali's eloquence now talks, zainul abideen he walks, lesson\nof patience he taught\nBeaten dragged shackled in chains, upon him his illness\npains, but his lords pleasure he gains\nAs he did the walk that time, we walk now to your blessed\nshrine","Ali's eloquence now speaks as Zayn al-Abidin\nwalks, teaching the lesson of patience. Beaten,\ndragged and shackled in chains, afflicted\nby illness, yet attaining his Lord's pleasure.\nAs he walked that journey then,\nwe now walk towards your blessed shrine."
