line id verse number,arabic text,english translation text
,LAASHE QAASIM PE CHILLAYE AKBAR\nCHHOD KAR HUMKO BHAYYA NA JAAWO,"AKBAR WAILED AT THE BODY OF QASIM\nBROTHER DON'T LEAVE US BEHIND, ALL ALONE"
,SABR AAYEGA FURQATME KYUNKAR\nCHHOD KAR HUMKO BHAYYA NA JAAWO,"HOW WILL I HAVE PATIENCE AT YOUR SEPARATION\nBROTHER DON'T LEAVE US BEHIND, ALL ALONE"
,LAASHE QAASIM PE CHILLAYE AKBAR,AKBAR WAILED AT THE BODY OF QASIM
,DEKHO KHAIMEN ME SHORE FUGHAAN HAI\nGHAM MEN HAR EK NAUHAA KUNAA HAI,HEAR THE WAILING MOANS FROM THE TENTS\nEVERYONE IS LAMENTING IN YOUR GRIEF
,BAAL BIKHDAAE ROTI HAI MAADAR\nCHHOD KAR HUMKO BHAYYA NA JAAWO,"WITH DISHEVELED HAIR, MOTHER IS MOURNING\nBROTHER DON'T LEAVE US BEHIND, ALL ALONE"
,TUM NISHAANI HO AMMU HASSAN KI\nBAN GAE AAJ ZEENAT VIRAN KI,YOU ARE THE HEIR OF UNCLE HASSAN\nTODAY YOU TOO HAVE ABANDONED US
,TUKDE TUKDE HUWA JISM-E AT-HAR\nCHHOD KAR HUMKO BHAYYA NA JAAWO,"YOUR PURE BODY WAS SMASHED INTO PIECES\nBROTHER DON'T LEAVE US BEHIND, ALL ALONE"
,BAAL BIKHDAAE BAITHI HAI KUBRA\nKHAAK MALTI HAI CHEHRE PE DUKHIYA,"KUBRA SITS WITH HER HAIR DISHEVELED\nHE THROWS DIRT ON HER FACE, IN GRIEF"
,DEKHO UTHKAR YEH HASRAT KA MANZAR\nCHHOD KAR HUMKO BHAYYA NA JAAWO,"WAKE UP AND WITNESS THIS SCENE OF DASHED HOPES\nBROTHER DON'T LEAVE US BEHIND, ALL ALONE"
,AB HAMEN NA ITNA RULAAWO\nREHM SHEH KI ZAIFI PE KHAAWO,"DON'T GIVE US SO MUCH GRIEF, NOW\nBE MINDFUL OF THE MASTER'S OLD AGE"
,DO TASALLI TO AMMUN KO UTHKAR\nCHHOD KAR HUMKO BHAYYA NA JAAWO,"WAKE UP AND CONSOLE HIM\nBROTHER DON'T LEAVE US BEHIND, ALL ALONE"
,HASHR TAK HOGI AB AAHO ZAARI\nSAB UTHAAENGE LAASH TUMHAARI,NOW LAMENTATION WILL CONTINUE TILL JUDGEMENT DAY\nEVERYONE WILL LIFT YOUR BODY
,BAZME MAATAM BAPA HOGI GHAR GHAR\nCHHOD KAR HUMKO BHAYYA NA JAAWO,"EVERY HOUSE WILL MOURN YOUR SORROW\nBROTHER DON'T LEAVE US BEHIND, ALL ALONE"
,AI VAZIR AAH MEHSHAR THA BARPA\nSAB TADAPTI THI AWLAADE ZEHRA,"O VAZIR (POET'S NAME), IT WAS SCENE OF INTENSE GRIEF\nALL OF ZAHRA'S CHILDREN WERE TREMBLING IN GRIEF"
,ROKE KEHTE THE JAB RANME AKBAR\nCHHOD KAR HUMKO BHAYYA NA JAAWO,"WHEN AKBAR WOULD WAIL IN THE BATTLEFIELD\nBROTHER DON'T LEAVE US BEHIND, ALL ALONE"
