line id verse number,arabic text,english translation text
,MUJHE BHI WATAN LE CHALO,PLEASE TAKE ME BACK HOME TOO
,JAB RIHA SHAM KE ZINDAN SE HUE AHLE HARAM\nKYA KHUSHI HOTI DUBALA HUA SADAAT KA GHAM\nJISKO ARMANE RIHAAI THA HUI WO BEDAM,"WHEN THE CAPTIVES OF THE HOUSEHOLD OF THE AHLULBAYT WERE RELEASED FROM THE PRISON OF SHAM [SYRIA],\nLET ALONE ANY HAPPINESS, THE PAIN AND SORROW OF THOSE INNOCENT CAPTIVES DOUBLED,\nTHE ONE WHO HAD THE GREATEST DESIRE OF GETTING RELEASED BECAME SILENT FOREVER,"
,EK NANHI SI LEHAD PAR THA MUSALSAL MATAM\nSUNKE FARYAD-O-FUGHAN SAANS RUKI JAATI THI\nQABR SE BALI SAKINA KI SADA AATI THI,"THERE WAS INCESSANT LAMENTATION AT ONE LITTLE GRAVE,\nTHE PAINFUL SOUND OF CRIES AND PLEADS MADE IT DIFFICULT TO BREATHE,\nA VOICE FROM LITTLE SAKINA’S GRAVE CRIED"
,WATAN JAANE WALON MUJHE BHI WATAN LE CHALO\nMUJHE BHI WATAN LE CHALO,"OH PEOPLE GOING BACK,\nTAKE ME ALSO WITH YOU TO MY HOMELAND"
,MAI KAISE RAHUNGI YAHAN PAR\nYAHAN HAI BHALA KAUN MERA\nMUJHE BHI WATAN LE CHALO....,HOW WILL I STAY HERE? HOW WILL\nI STAY HERE? WHO DO I HAVE\nHERE? PLEASE TAKE ME BACK HOME TOO
,"REHA HOKE GHAR JAANE WALON, MUJHE BHI KAHIN PAR BITHA LO\nSHAHEEDO KE SAR HAI JAHAN PAR, MUJHE BHI WAHIN PAR SULADO\nMAI BABA KE SAR SE LIPAT KAR, SAFAR KAAT-LUNGI YE SAARA\nMUJHE BHI WATAN LE CHALO....","OH RELEASED CAPTIVES GOING BACK HOME, MAKE ME ALSO SIT SOMEWHERE,\nWHERE THE SEVERED HEADS OF THE MARTYRS ARE KEPT, MAKE ME SLEEP THERE AS WELL,\nBY EMBRACING MY BABA’S HEAD,\nI WILL PASS THE ENTIRE JOURNEY"
,"NA YUN CHOR KAR JAO AMMA, MUJHE SHAMIYON KE SAHARE\nYATEEMI KI MAARI HUI KO, SATAYA BAHOT ZAALIMO NE\nBAHOT KHAUF AATA HAI MUJHKO, TUMHE WAASTA SAYYEDA KA\nMUJHE BHI WATAN LE CHALO....","MOTHER DON’T LEAVE ME IN THE CARE OF\nTHESE PEOPLE OF SHAM [SYRIA] THE WICKED PEOPLE\nTORTURED THIS ORPHAN A LOT, FEAR REALLY ENGULFS\nME, I BEG YOU IN THE NAME OF SYEDA"
,"SUNA HAI KE WAPAS MILAY HAI, TUMHEIN SHIMR SE MERE GOWHAR\nBHALA KYA KAROGE TUM UNKA, AGAR REHGAYI MAI YAHAN PAR\nINHI BHI AMAANAT SAMAJH KAR, YA DAFNA DO ZINDAN MAY YA","I HEARD YOU GOT BACK MY EARRINGS FROM SHIMR,\nWHAT WILL YOU DO WITH THEM IF I STAY HERE,\nAS PART OF MY POSSESSION, BURY THEM HERE IN THE PRISON WITH ME"
,"JO PAHUNCHAY MADINA TO AMMA, PHIR RAQTE MUSIBAT NA AAYE\nSINA UR AKBAR KI BAATEIN, SUNANE KI NAUBAT NA AAYE\nMERI LAASH KO DEKH KAR HI, SAMAJH LEGI HAR BAAT SUGRA","NO TROUBLE SHOULD COME TO MY MOTHER UPON REACHING MADINA, THE SITUATION\nOF NARRATING THE STORY OF THE ARROW AND AKBAR SHOULD NOT COME,\nJUST BY LOOKING AT MY DEAD BODY, SUGHRA WILL UNDERSTAND EVERY THING"
,"YEHI SOCH KAR ZAYRE TURBAT, TADAPTA HAI DUKHIYA KA LAASHA\nMUJHE SHIMR KE SHEHR MAY AB, HAMESHA HI REHNA PADEGA\nDHADAKTA NAHI PHIR BHI AMMA, YE DIL KAAMP JAATA HAI MERA","THIS THOUGHT MAKES THE BODY OF THIS DEVASTATED CHILD TREMBLE IN HER GRAVE,\nI WILL HAVE TO STAY IN THE LAND OF SHIMR FOREVER, MOTHER\nMY HEART DOES NOT BEAT BUT STILL TREMBLES BY THE THOUGHT OF IT"
,"SARE SHAHE DEEN KUCH TO BOLO, SIFARISH KARO KUCH HAMARI\nKHAZA AAGAYI HAI TO PHIR KYA, MAI BETI HOO BABA TUMHARI\nNA INKAAR KAR PAYENGI WO, PHUPI SE ZARA KEHDO BABA","O’ THE SEVERED HEAD OF THE NOBLE LEADER SAY SOMETHING, INTERCEDE ON MY BEHALF,\nEVEN THOUGH I HAVE DIED,I AM STILL YOUR DAUGHTER O’ FATHER,\nSHE WILL NOT BE ABLE TO REFUSE YOU, PLEASE JUST TELL AUNT"
,"YE HAALAT THI HAR EK QADAM PAR, MADINE KE RASTE MAY AKBAR\nGIRI THI JAHAN PAR SAKINA, TAMACHE LAGE THAY JAHAN PAR\nWAHAN KHAAK SE QAIDIYO KO, SADAYEIN YE AATI THI HAR JA","SUCH WAS THE CONDITION O’ AKBAR, AT EVERY STEP OF THE JOURNEY TOWARDS MADINA\nWHEREVER SAKINA HAD FALLEN DOWN, WHEREVER SHE HAD BEEN SLAPPED,\nEVERYWHERE IN THOSE PLACES, THE CAPTIVES HEARD A VOICE SAYING.."
