line id verse number,arabic text,english translation text
,Machawo shor na logo sakina Jaag Jayengi\nMeri Zanjeer Na Khencho sakina Jaag Jayengi,"Do not make a noise, people—Sakina will wake.\nDo not pull my chains—Sakina will wake"
,Kabhi Bachi ko takta hai kabhi aansoo(n) bahata hai\nDar-e-Zindan se behta musafir sabse kehtaa hai\nzaraa aaram se guzro sakina Jaag Jayengi,"Sometimes he gazes at the child, sometimes he sheds tears.\nAt the prison door, the traveller tells everyone:\nPlease pass quietly—Sakina will wake."
,Kisi bhi Zulm ke jo aah ki khatir wo lab khulte\nTarap ker Abid-e-bimar ye kehta thaa hoto se\nagar ye aah nikli to sakina Jaag Jayengi,"Whenever his lips opened to sigh beneath another cruelty,\nthe ailing Abid would cry out in anguish:\nIf this sigh escapes, Sakina will wake."
,Agar Aulaad wale ho tumhe ye sab pataa hoga\nadhoori neendh se uth jaye jo bachi to kiya hoga\nkhudara shimr ko roko sakina Jaag Jayengi,"Parents will understand what this means:\nwhat will happen if a child wakes before her sleep is complete?\nFor God’s sake, stop Shimr—Sakina will wake."
,Abhi Zindan me hojayi ga kohraam ye barpa\nwho aahat simt ke samjegi ke shayed aa gaye baba\nDar-e-Zindan naa kholo sakina Jaag Jayengi,"An uproar will break out in the prison even now.\nAt the sound, she will think perhaps her father has arrived.\nDo not open the prison door—Sakina will wake."
,Ye wadaa hai meraa pani nahi mangooga me tum se\nwo jab uthtjaya to jee bhar ke beshak maar na dure\nabhi bekas ko na maro sakina Jaag Jayengi,"I promise I will not ask you for water.\nWhen she wakes, you may beat me as much as you wish.\nDo not strike this helpless one now—Sakina will wake."
,Abhi azad ho tum qayd ke matlab ko kiya jano\nparindo chordo zindan meri iltejaa maango\nchale jawoo naa yu chehko sakina Jaag Jayengi,You are free; what do you know of captivity?\nRelease the birds from their cages—this is my plea.\nGo away and do not chirp—Sakina will wake.
,Sar-e-Zinda sakina ko kazaa ki neend kiyaa aayi\nkisi se kuch nahi kehtaa hai itna mazloom thaa bhayi\nke ab ye der nahi usko sakina Jaag Jayengi,"When Sakina fell into the sleep of death in the prison,\nher brother, so oppressed, said nothing more than this:\nThere is no longer any fear that Sakina will wake."
,Agar Aulaad wale ho tumhe ye sab pataa hoga\nadhoori neendh se uth jaye jo bachi to kiya hoga\nkhudara shimr ko roko sakina Jaag Jayengi,"Parents will understand what this means:\nwhat will happen if a child wakes before her sleep is complete?\nFor God’s sake, stop Shimr—Sakina will wake."
,"Saf-e-matam se abid ka ye ""Akbar"" bayn aata hai\nIsse bas waaste purse meri ab cheyn aata hai\nSada matam ki na roko, Sakina jaag jayengi","From the rows of mourners comes this lament of Abid, says Akbar:\nOnly through the consolation offered here does my heart find peace.\nNever stop the sound of matam—Sakina will wake."
