line id verse number,arabic text,english translation text
,"SAKINA UTHO. MERI JAAN UTHO. REHAEE MILI. CHALO\nGAR CHALE\nYE KARTI THI MAA, LAHAD PE BUKAA. MERI LADLI,\nCHALO GAR CHALE.","Sakina, rise—my beloved, rise. We have been\nfreed; come, let us go home. Her\nmother lamented beside the grave: ‘My\ndarling, come, let us go home.’"
,"YAHA SE CHALO, CHALE KARBALA. WAHI SE TUMHE,\nMILENGE CHACHA. SITAM JO HUWE, BATAANA UNE.\nDIKHAANA UNHE, YE KURTA JALAA. CHACHA JAAN KO,\nDIKHANA ZARA, RIDAA KHUN BHARE, CHALO GAR\nCHALE.","Come, let us leave here and go to\nKarbala. There you will meet your uncle. Tell\nhim of every cruelty you endured. Show him\nthis burnt dress, and show your dear uncle\nthe bloodstained veil. Come, let us go home."
,"BATAANA UNHE, KABHI SAKTIYA. MILI JIS KADAR, TUJE\nGURKHIYA. HAMARI RIDAA, LUTI KIS TARHA. CHINI JIS\nTARHA, TERI BALIYA. BATAANA UNE, BUJI KIS TARHA,\nTERI TISHNAGI, CHALO GAR CHALE.","Tell him how many hardships and rebukes you\nsuffered; how our veils were looted and your\nearrings torn away. Tell him how your thirst\nwas finally quenched. Come, let us go home."
,"PADAR SE MILO, TO DIL JOEE HO. BATAANA UNHE,\nBAHOT ROI HO. KASAM LO AGAR, TUMHARE BINA.\nSAKINA KABHI, KAHI SOYI HO. LAHAD BAP KI, MILE JAB\nTUJE, TO KEHNA YAHI, CHALO GAR CHALE.","When you meet your father, let him console your heart.\nTell him how much you wept. Ask him whether Sakina\never slept anywhere without him. When you reach your father’s\ngrave, say only this: come, let us go home."
,"LAHAD JAB MILE, TUJE BHAI KI. TO KEHNA USE, MERI\nLADLI. REHAEE MILI, HAME KAID SE. HAME AB NAHI,\nAZIYAT KOI. MERE BE ZUBA, UTHO GAR CHALE, SHABI\nHAI NABI, CHALO GAR CHALE.","When you reach your brother’s grave, tell him, ‘My darling,\nwe have been freed from prison; no suffering remains for\nus now.’ My speechless child, rise and come home,\nO image of the Prophet—come, let us go home."
,"LABE AL KAMA, TU KARNA FUGAA. TERI MOJ HAI, ABHI\nTAKH RAWA. MERI PYAS PAR, HUYE JO FIDA. CHACHA\nKE MERE, HAI BAZU KAHAA. KAHAA MASHK HAI, KAHAA\nHAI ALAM, KAHAA HAI ZARI, CHALO GAR CHALE.","At the bank of the Alqama, raise your lament; its waves\nare still flowing. Ask: ‘Where are the arms of my uncle\nwho sacrificed himself for my thirst? Where are the water-skin,\nthe standard and the shrine?’ Come, let us go home."
,"NA AB GHAM KOI, NA UFTAD HAI. WO ZANJIR SE, AB\nAAZAD HAI. PUPHI BHI TERI, TERE SATH HAI. TERE\nSATH HI, WO SAJJAD HAI. MERI GHAM ZADAA, SHABE\nGHAM KATI, SAHAR HO CHUKI, CHALO GAR CHALE.","There is no grief or calamity now; he is free from\nhis chains. Your aunt is with you, and Sajjad is with\nyou too. My grief-stricken child, the night of sorrow has\npassed and dawn has come. Come, let us go home."
,"LABO PAR TERE, YAHI BAAT THI. WATAN JAYENGE,\nKABHI HAM PUPHI. TUJE SHIMR KA, NAHI KHOF AB.\nSATAYENGE NA, TUJE AB SHAKI. NIKAL KAYD SE, SHURU\nHAM KARE, NAYI ZINDAGI, CHALO GAR CHALE.","These words were always upon your lips: ‘Aunt, will we ever\nreturn home?’ You need no longer fear Shimr, nor will\nthe cruel ones torment you. Let us leave this prison\nand begin a new life. Come, let us go home."
,"GHARIBO KA YE, LUTA KAFELA. WIDA HO KE PHIR,\nWATAN JAYENGE. TUJE PAYENGI, JO SUGHRA TERI. TO\nBIMAR KO, MILENGI DAWA. GALE MIL KE PHIR, BOHOT\nROYENGI, WO BEHNA TERI, CHALO GAR CHALE.","This plundered caravan of the forsaken will bid farewell and\nreturn home. When your sister Sughra sees you, the\nailing girl will find her cure. She will embrace\nyou and weep greatly. Come, let us go home."
,"MAZAR-E NABI, LARAZ JAYENGA. BAHEN JAB TERI,\nKARENGI BUKAA. KAHA HAI CHACHA, KAHA HAI PADAR.\nKAHA HAI BATAA, BHARA GAR MERA. SUNA NE USE, YE\nRUDAAD-E GHAM, YEHI BEBASI, CHALO GAR CHALE.","The Prophet’s shrine will tremble when your sister begins to\nlament: ‘Where is my uncle? Where is my father? Tell\nme—where is my once-full home?’ We must tell her this\ntale of grief and helplessness. Come, let us go home."
,(SAKINA UTHO. MERI JAAN UTHO. REHAEE MILI. CHALO\nGAR CHALE),"Sakina, rise—my beloved, rise. We have been\nfreed; come, let us go home."
