line id verse number,arabic text,english translation text
,SAFEER‑E‑HUSSAIN 2,AMBASSADOR OF HUSSAIN
,"MUSLIM‑E‑AQIL HOON, SAFEER‑E‑HUSSAIN HOON","I AM MUSLIM IBN AQIL, I AM THE AMBASSADOR OF HUSSAIN"
,BAATIL KA KHAUF‑E‑HAQ SE KALEJA LARAZ UTHA,FALSEHOOD TREMBLED BEFORE THE TRUTH WITH FEAR
,BAS EK SADA SE HAKIM‑E‑KOUFA LARAZ UTHA,JUST ONE CALL SHOOK THE GOVERNOR OF KUFA
,"EHSAS‑E‑QALB‑E‑HAQ HOON, ZAMEER‑E‑HUSSAIN HOON","I AM THE FEELING OF TRUTH, THE CONSCIENCE OF HUSSAIN"
,"MAIN AASHIQ‑E‑ALI HOON, ASEER‑E‑HUSSAIN HOON","I AM A LOVER OF ALI, A CAPTIVE OF HUSSAIN"
,"ZAINAB KA INTEKHAB, MUSHIR‑E‑HUSSAIN HOON","CHOSEN BY ZAINAB, ADVISOR TO HUSSAIN"
,"PEHCHAAN LO MUJHKO, MAIN SAFEER‑E‑HUSSAIN HOON",RECOGNISE ME—I AM THE ENVOY OF HUSSAIN
,"MUSLIM‑E‑AQIL HOON MAIN, JAAN LE JAHAAN","I AM MUSLIM IBN AQIL—KNOW, O WORLD"
,ASHJA’UL ARAB KAHE ZAMEEN O AASMAN,EARTH AND SKY CALL ME THE BRAVEST OF ARABS
,HASHMI VIRAASATON SE AZM HAI JAWAN,"MY RESOLVE IS YOUNG, BORN OF HASHIMI HERITAGE"
,HAYDARI SHUJAA’ATEIN LAHU MEIN HAIN RAWAN 2,HAYDARI VALOUR FLOWS IN MY BLOOD
,MAIN WAQT KA HISAAR HOON,I AM THE BULWARK OF TIME
,MAIN NOOR KI BAHAAR HOON,I AM THE SPRING OF LIGHT
,ZAMEEN KA IKHTIYAAR HOON,I AM THE CHARGE OF THE EARTH
,FALAQ KA IFTEKHAAR HOON,THE PRIDE OF THE HEAVENS
,MAIN ISHQ KA SHI‘R HOON,I AM THE VERSE OF LOVE
,WAFA KA AITBAAR HOON,THE TRUST OF LOYALTY
,DUA KA IKHTIYAAR HOON,THE GRANT OF PRAYER
,MAIN SHEH KA JAAN‑NISAAR HOON,A LIFE LAID DOWN FOR THE KING
,AITEMAAD RAKHTA HAI ALI KA NOOR‑E‑AYN,THE LIGHT OF ALI PLACES TRUST IN ME
,KI MUJHE IMAM NE SIPAARATON KI ZAYN,THE IMAM HAS CLOTHED ME IN MISSIONS
,SAR PE HAI MERE DUAA‑E‑SHAH‑E‑MASHRAQAYN,THE KING OF EAST AND WEST’S PRAYER CROWNS MY HEAD
,"MAIN AKELA ZAAT MEIN HOON, LASHKAR‑E‑HUSSAIN 2","ALONE IN PERSON, YET AN ARMY OF HUSSAIN"
,MAIN HOSLAY KI JAST HOON,A LEAP OF COURAGE
,WAFA‑E‑HAQ‑PARAST HOON,DEVOTION TO THE TRUTH
,MAIN WILA SE MAST HOON,ECSTATIC WITH GUARDIANSHIP
,MAIN DEEN KA BANDOBAST HOON,I AM THE ORDER OF THE FAITH
,MAIN AITBAAR‑E‑HAST HOON,THE VERY TRUST OF BEING
,MAIN HAR HISAAR‑E‑DAST HOON,THE HAND THAT BREAKS EVERY FORT
,MAIN KOUFA‑E‑ZAMEER MEIN,WITHIN KUFA’S CONSCIENCE
,YAZID KI SHIKAST HOON,I AM YAZID’S DEFEAT
,YEH GHULAAM‑E‑SHAH DEEN‑E‑HAQ BATAAYEGA,THIS SERVANT SHALL DECLARE THE RIGHTEOUS FAITH
,SHEH KA SAATH DEGA JO FALAAH PAAYEGA,WHOEVER SIDES WITH THE KING FINDS SALVATION
,JANG KAREGA MUJH SE JO MAAT KHAAYEGA,WHOEVER WARS WITH ME MEETS DEFEAT
,TEGH SE MERI NA KOI BACH KE JAAYEGA 2,NONE SHALL ESCAPE THE STROKE OF MY SWORD
,MAIN DAUR‑E‑INQILAAB HOON,I AM THE AGE OF REVOLUTION
,MAIN TEGH KA SHABAAB HOON,THE BLOOM OF THE BLADE
,MAIN NUSRATON KA KHWAAB HOON,THE DREAM OF TRIUMPHS
,MAIN KHOON KA HISAAB HOON,THE RECKONING OF BLOOD
,MAIN ILM KI KITAAB HOON,THE BOOK OF KNOWLEDGE
,MAIN JEHL PAR AZAAB HOON,PUNISHMENT UPON IGNORANCE
,HUSSAIN KI HASEEN SIFAARATON KA INTEKHAAB HOON,THE BEAUTIFUL CHOICE FOR HUSSAIN’S MISSIONS
,AA RAHA HOON CHUM KAR QADAM IMAM KA,I COME KISSING MY IMAM’S FOOTSTEPS
,HAATH MEIN BULAND HAI ALAM IMAM KA,THE IMAM’S BANNER RAISED IN MY HAND
,LEKE AA RAHA HOON MAIN BHARAM IMAM KA,I CARRY THE IMAM’S HONOUR
