line id verse number,arabic text,english translation text
1,Koi bhi zaire shabbir jab bhi sham jaata hai\nDiya qabr e Sakina par Wo jaise hi jalata hai\nUsse shabbir ki dukhtar ka ye noha rulata hai\nMere zair tera maqbool ho zindan tak aana\nMera ik kaam kardena ke jab tum karbala jana\nMere baba se ye kehna\nSakina yaad karti hai,"Whenever a pilgrim of Imam Hussain goes to Shaam,\nand lights a lamp at the grave of little Sakina,\nhe feels her sorrow and begins to cry.\nSakina says: “May your ziyarat be accepted,\ncome even to my prison.\nAnd when you go to Karbala, tell my Baba that\nSakina remembers him."
2,Tera chehra tera seena\nSakina yaad karti hai\nMere baba se ye kehna\nSakina yaad karti hai,His face and his chest —\nSakina remembers them.\nTell my Baba that\nSakina remembers him.
3,Mere baba se kehna ke tumhare baad aye baba\nKisi ne piyar se mujhko kabhi beti nahi bola\nTera chahat bhara lehja\nSakina yaad karti hai,"Tell him that after he left,\nno one lovingly called me ‘daughter.’\nHis gentle voice —\nSakina remembers it."
4,Unhe kehna Sakina soo nahi payi kabhi baba\nBichona khak hai us par badan zakhmi yateema ka\nSulana piyar se tera\nSakina yaad karti hai,"Tell him Sakina never slept again.\nHer bed is dust, her wounded orphaned body lies on the ground.\nThe way he put me to sleep —\nSakina remembers it."
5,Balaa ka khof hai baba mere is aashiyane me\nBohot ghabra rahi hun me andhere qaid khane me\nUjala teri aankho ka\nSakina yaad karti hai,There is great fear in this dark prison.\nI am very scared in this lonely cell.\nThe light of his eyes —\nSakina remembers it.
6,Me laasho se ulaj kar gir rahi thi neend ke maare\nKate sar se sar e maqtal mere baba mere piyare\nIlaiyya wo tera kehna\nSakina yaad karti hai,"I stumbled over bodies, sleepy and weak,\nand fell near the severed heads in the battlefield.\nHis comforting words —\nSakina remembers them."
7,Mujhe darbar me zaalim ye kehta tha sadain de\nAgar tujh se mohabbat hai to tere pass ye aaye\nTera sar tasht se uthna\nSakina yaad karti hai,"In the tyrant’s court he mocked me,\ntelling me to call my father.\nWhen his blessed head rose from the tray —\nSakina remembers it."
8,"Jahan tum or me rehte the kiya acha gharana tha\nNahi tha shimr ka dar naa tamacha, taaziyana tha\nMadina wo watan apna\nSakina yaad karti hai","The home where we lived was peaceful.\nThere was no Shimr, no slaps, no whips.\nOur Madina —\nSakina remembers it."
9,Tera naad e Ali parh kar mujhe kehna meri beti\nDua hai tere baba ki kabhi naa tu rahe piyasi\nTeri hasrat ko aye baba\nSakina yaad karti hai,"When he recites Nad‑e‑Ali,\ntell him to call me “my daughter,” and pray that I never thirst.\nHis prayers —\nSakina remembers them."
10,Sakina ne kaha Yasir mere baba se ye kehna\nYaqeen hai mere baba yaad karte ho mujhe utna\nTumhe zindaan se jitna\nSakina yaad karti hai,"Sakina told Yasir: “Tell my Baba this —\nI know he remembers me, but not as much\nas Sakina remembers him\nfrom inside the prison.”"
