line id verse number,arabic text,english translation text
,"TEEN MEHROOM BAITIYAAN, TEEN MAZLOOM BAITIYAAN","THREE DEPRIVED DAUGHTERS, THREE OPPRESSED DAUGHTERS"
,"AIK ZEHRA NABI KI BAITI HAI, AIK ZAINAB ALI KI BAITI HAI","ZAHRA IS THE DAUGHTER OF THE PROPHET, ZAINAB IS THE DAUGHTER OF ALI"
,"JISKO KEHTAY HAI SAB GHREEB E HUSSAIN, IK SAKINA USI KI BAITI HAI","HUSAYN IS KNOWN TO ALL OF US AS THE DESTITUTE MARTYR, SAKINA IS THE DAUGHTER OF THE SAME IMAM"
,TEENO SHEHZAADIYO KO UMMAT NAI KHOO RULAAYA KAHA KAHA,"ALL THREE PRINCESSES AT THE HANDS OF THE DISCIPLES, WERE TORMENTED AT EVERY PLACE"
,"TEEN MAZLOOM BAITIYAAN\nTEEN MEHROOM BAITIYAAN, TEEN MAZLOOM BAITIYAAN","THREE DEPRIVED DAUGHTERS, THREE OPPRESSED DAUGHTERS\nTHREE OPPRESSED DAUGHTERS,"
,"HAAI ZAHRA KO YU SATAAYA GAYA, ZINDAGI BHAR USAY RULAAYA GAYA","ALAS, ZAHRA WAS ALWAYS AGONIZED, ALAS, SHE WEPT AND SOBBED ALL HER LIFE"
,"YAY SITAM BHI HUA HAI BAAD E NABI, US KO DARBAAR MAI BULAAYA GAYA","THIS ALSO HAPPENED AFTER THE PROPHET’S DEMISE, SHE WAS FORCED AND TAKEN TO THE COURT"
,"AJR UMMAT NAI YU CHUKAYA HAI, RAD HUI SAB GAWAHIYYAAN","THE FOLLOWERS REPAID THE RETRIBUTION OF THE PROPHET, BY REBUFFING AND DEPOSING ALL HER TESTIMONIES"
,"TEEN MAZLOOM BAITIYAAN\nTEEN MEHROOM BAITIYAAN, TEEN MAZLOOM BAITIYAAN","THREE OPRESSED DAUGHTERS,\nTHREE DEPRIVED DAUGHTERS, THREE OPPRESSED DAUGHTERS"
,"KAISA SADMA HAI BAAD E NABI, GAM PE GAM HI MILA HAI BAAD E NABI","WHAT A BLOW TO HER SOON AFTER PROPHET’S DEMISE, SHE WAS AFFLICTED AND GRIEVED AFTER PROPHET’S DEMISE"
,"GHAR JALAA KER GIRA KE DARWAAZA, YAY SITAM BHI HUA HAI BAAD E NABI","HER HOUSE WAS BURNED, SHE WAS CRUSHED UNDER THE BURNING DOOR, THIS AGONY ALSO HAPPENED AFTER THE PROPHET’S DEMISE"
,"KAR DIYA HAI SHAHEED MOHSIN KO, OR TORI HAI PASLIYAAN","HER UNBORN CHILD MOHSIN GOT MARTYRED IN HER WOMB, HER RIBS GOT TRAMPLED AND SHATTERED UNDER THE DOORS"
,"HAAL DIL KA KABHI SUNA NA SAKI, HAATH PEHLOO SAI YAY UTHNA NA SAKI","SHE WAS NOT ABLE TO SPEAK OUT HER HEART TO ANYONE, SHE WAS UNABLE TO MOVE HER HAND FROM HER SIDE"
,"HAAI KITNI GHAREEB HAI ZAHRA, QABR MAI BHI YAY CHEN PA NA SAKI","ALAS, SO PAIN STRICKEN WAS ZAHRA, NOT EVEN ABLE TO REST IN HER GRAVE"
,"ITNI MAZLOOM HAI KAI TURBAT BHI, HAI MOHTAJ E SAAIBAAN","SO GRIEF STRICKEN IS THAT HER GRAVE TILL TODAY, STILL LACKS BASIC SHELTER OR COVER"
,"AIK ZAHRA HAI AIK ZAINAB HAI, IK SAKINA HUSSAIN KI HAI JAAN","ONE IS ZAHRA, OTHER IS ZAINAB, THE THIRD ONE IS BELOVED DAUGHTER OF HUSSAIN"
,TEEN MAZLOOM BAITIYAAN,THREE OPPRESSED DAUGHTERS
