line id verse number,arabic text,english translation text
,KABHI DARBAR ME PESHI KO BULATE HAI HUMAIN\nKABHI DARWAZE PE AA AAKE SATATE HAI HUMAIN,AT TIMES THEY HAVE SUMMONED US TO THE COURT\nAT TIMES THEY HAVE TORMENTED US AT OUR DOORSTEP
,MERE YEH PHOOL SE BACCHE POOCH TE HAI YEHI MUJHSE\nKYA KHATA HAM SE HUI HAI.....,MY BEAUTIFUL CHILDREN KEEP ASKING OF ME\nO WHAT IS OUR CRIME?
,TERI ZEHRA (SA) PE MUSIBAT KI GHADI HAI\nHAI BABA.....TERI ZEHRA (SA) PE MUSIBAT KI GHADI HAI,IT IS THE TIME OF CALAMITY UPON YOUR ZEHRA!\nO FATHER! IT IS THE TIME OF CALAMITY UPON YOUR ZEHRA!
,SHARM AATI HAI BHALA TUM KO BATAUN KAISE\nYEH TAMACHON KE NISHA TUM KO DIKHA UN KAISE,"I AM SO EMBARRASSED, O HOW CAN I TELL YOU?\nHOW CAN I SHOW YOU THE BRUISES FROM THE SLAPS ON MY FACE?"
,TUM NA PEHCHAN SAKON GE DEKH KAR MUJHSE KAHON GE\nKYA MERI ZEHRA (SA) YEHI HAI.....,YOU WILL NOT BE ABLE TO RECOGNIZE ME; YOU WILL BEHOLD AND SAY TO ME\nIS THIS MY ZEHRA?
,YEH AZIAT YEH KHANOSHI NAHI DEKHI JAATI\nMUJHSE TANAHI ALI (AS) KI NAHI DEKHI JATI,"THIS TORMENT, THIS SILENCE, IS UNBEARABLE\nI CANNOT BEAR TO SEE THE LONELINESS OF ALI"
,"TERA PAYGAM SUNA NE, HAQ WILAYAT KA BATANE\nZEHRA (SA) GHAR GHAR GAI HAI.....",TO CONVEY YOUR MESSAGE; TO CONVEY THE TRUTH OF HIS WILAYAT\nZEHRA HAS GONE FROM DOOR TO DOOR
,AAP KE SOG ME TARIKH NA DEKHA GAYA GHAR\nAAG DARWAZE PE UMMAT NE LAGA DI AAKAR,OUR HOME WAS NOT SEEN DIMMED IN GRIEF OF YOUR LOSS\nYOUR NATION CAME TO OUR DOOR AND SET IT ABLAZE
,BABA JAAN BAAD TUMHARE DEKHIYE GHAR ME HAMARE\nRAUSHNI KAISE HUI HAI.....,"DEAR FATHER, LOOK! AFTER YOU, IN OUR HOUSE\nHOW THE TORCH HAS BLAZED!"
,KABRE ZEHRA (SA) SE TAKALUM YEH SADA AATI HAI\nKITNI SADION SE MERE KABR PE VEERANI HAI,FROM THE GRAVE OF ZEHRA ARISES A VOICE\nFOR CENTURIES HAS DESOLATION PERVADED UPON MY GRAVE
,PHOOL TURBAT PE CHADHA NE KE DIYA LAA KE JALA NE\nKYA MEDINE ME KOI HAI,"IS THERE ANYONE IN MADINA?\nTO LAY FLOWERS ON MY HEADSTONE, TO LIGHT A CANDLE…"
,HAI BABA… TERI ZEHRA PE MUSIBAT KI GHADI HAI,O FATHER… A MOMENT OF CALAMITY HAS FALLEN UPON YOUR ZEHRA.
,"KAISE DARWAZA HATA-OON, KAISE MOHSIN KO BACHA-OON\nSAANS SEENE ME RUKI HAI",HOW DO I MOVE THIS DOOR? HOW DO I SAVE MOHSIN?\nMY BREATH IS TRAPPED WITHIN MY CHEST.
,"HATH ME JISKE MERA HATH DIYA THA TUMNE\nKEHKE MANKUNTO JISSE MAULA KAHA THA TUMNE\nMAINE HAR MOD PE BABA, SAATH USKA HAI NIBHAYA\nHAA(N) MERA JURAM YEHI HAI","THE ONE WHOSE HAND YOU PLACED INTO MINE,\nTHE ONE YOU DECLARED AS MAULA THROUGH 'MAN KUNTO MAULA',\nO FATHER, I STAYED LOYAL TO HIM AT EVERY TURN—\nYES, THAT IS MY ONLY 'CRIME.'"
,"TERI UMMAT NE BANA DI HAI YEH HAALATH BABA\nKOI PASLI BHI NAHI MERI SALAMAT BABA\nSAANS LETI HUM MAIN JIS DAM, GHUT NE LAGTA HAI MERA DAM\nSIRF MARNE KI KAMI HA","YOUR UMMAH HAS BROUGHT ME TO THIS STATE, O FATHER.\nNOT EVEN A SINGLE RIB OF MINE REMAINS UNBROKEN.\nEACH BREATH I TAKE FEELS SUFFOCATING—\nTHE ONLY THING LEFT IS FOR ME TO DIE."
