line id verse number,arabic text,english translation text
,TU BARI SAKHI HAI FATIMA,"YOU ARE THE GENEROUS ONE, FATIMA"
,MOHSIN E ALI HAI FATIMA,FATIMA IS THE HELPER OF ALI
,MUSTAFA KO MANGNA PARAA,THE PROPHET HAD TO PRAY FOR HER
,TAB KAHI MILI HAI FATIMA,ONLY THEN DID HE ATTAIN FATIMA
,IKHTIAAR E KUN KE BAWAJOOD,DESPITE HAVING CONTROL OF EVERYTHING
,CHAKKI PEESTI HAI FATIMA,FATIMA STILL GRINDS HER OWN WHEAT
,JAEGA JINAA ME KAISE TU,HOW WILL YOU ENTER HEAVEN? (REFERRING TO THE ENEMIES OF ISLAM)
,DAR PE HI KHARI HAI FATIMA,FATIMA IS STOOD AT THE DOOR
,LAILAAHA JHOOMNE LAGA,‘LA ILAH’ STARTED SWAYING
,SAJDA KAR RAHI HAI FATIMA,FATIMA IS IN SUJOOD
,"SIN KO CHORH, MARTABE KO DEKH","LEAVE THE AGE, LOOK AT THE STATUS"
,NOOH SE BARI HAI FATIMA,FATIMA IS BIGGER THAN NUH
