line id verse number,arabic text,english translation text
,Every night and every day... We'll promise we'll always\nsay\nWe are Shia of Ali... We are Lovers of Hussain\nHaider Haider Ya Haider... Hussain Hussain Ya\nHussain,"Every night and every day, we\npromise we will always say: we\nare the Shia of Ali, and\nthe lovers of Hussain. Haider, Haider,\nYa Haider; Hussain, Hussain, Ya Hussain."
,"Our past is in Karbala... Our future is with Mahdi\nWe were not there Oh Hussain... But today we are\nready\nWe will raise your flag Abbas, screaming Nara e Haideri\nWe are Shia of Ali... We are Lovers of Hussain","Our past lies in Karbala, and our future\nis with Mahdi. We were not there, O\nHussain, but today we stand ready. We will\nraise your standard, Abbas, crying Nara-e-Haideri. We are\nthe Shia of Ali, and the lovers of Hussain."
,Oh enemies of Ali... You will see and time will show\nWhen you try and bring us down... So much more our\nspirits grow\nYou will see inside our veins...the courage of Haider\nflows\nWe are Shia of Ali... We are Lovers of Hussain,"O enemies of Ali, time will\nshow you: whenever you try to bring\nus down, our spirits rise even\nhigher. Within our veins, the courage of\nHaider flows. We are the Shia\nof Ali, and the lovers of Hussain."
,Why should we not beat our chests... Tell me what from\nit you fear\nEach hand like war drums that beat... Strikes the tyrant\nlike a spear\nYou who tell us not to grieve... drown in the storm of our\ntears\nWe are Shia of Ali... We are Lovers of Hussain,"Why should we not beat our chests?\nTell us what you fear. Each hand\nbeats like a war drum and strikes\ntyranny like a spear. You who tell\nus not to grieve—drown within the storm\nof our tears. We are the Shia\nof Ali, and the lovers of Hussain."
,"""Forget me but don't ever... Forget Zainab's bravery""\nIn their arms our mothers taught... Us Abbas's loyalty\nCradled in each mothers arms... A Karbala you will see","Forget me, but never forget Zainab's bravery.\nWithin their arms, our mothers taught us Abbas's loyalty.\nCradled in every mother's embrace, you will see a Karbala."
,We are Shia of Ali... We are Lovers of Hussain,"We are the Shia of Ali, and the lovers of Hussain."
,By your broken rib Zahra... your son till our death we'll\ngrieve\nWe will make that nation mourn... That did not let you\nbereave\nFatima keeps near her heart... From our eyes each\ntear that leaves\nWe are Shia of Ali... We are Lovers of Hussain,"By your broken rib, O Zahra, we\nwill mourn your son until death. We\nwill make that nation mourn which did\nnot allow you to grieve. Fatima keeps\nclose to her heart every tear that\nleaves our eyes. We are the Shia\nof Ali, and the lovers of Hussain."
,Our hearts still bleed when we hear... That Hussain\nstumbled and fell\nRunning towards Akbar's cry... When he said Father\nfarewell\nNow we run towards your shrine... For him tears in our\neyes well\nWe are Shia of Ali... We are Lovers of Hussain,"Our hearts still bleed when we\nhear how Hussain stumbled and fell,\nrunning towards Akbar's cry when he\ncalled: Father, farewell. Now we run\ntowards your shrine, our eyes overflowing\nwith tears. We are the Shia\nof Ali, and the lovers of Hussain."
,Each bone in our body shakes... When upon this\nthought we dwell\nWhat did Abbas fall on when... From his horse his body\nfell\nWe won't let your banner fall... Holding it your soldiers\nyell\nWe are Shia of Ali... We are Lovers of Hussain,"Every bone within us trembles when\nwe think of this: what did\nAbbas fall upon when his body\nfell from the horse? We will\nnever let your standard fall—your soldiers hold\nit high. We are the Shia\nof Ali, and the lovers of Hussain."
,It kills us knowing Hussain... Twice had died before his\ndeath\nWhen leaving Sakina she... Asked to sleep upon his\nchest\nAnd the pain you must have felt... Laying an infant to\nrest\nWe are Shia of Ali... We are Lovers of Hussain,"It destroys us to know that\nHussain died twice before his death:\nwhen he left Sakina and she\nasked to sleep upon his chest,\nand when he laid the infant\nto rest. We are the Shia\nof Ali, and the lovers of Hussain."
,Every year we remember... When Hussain was all\nalone\nJust like our Master Mahdi... Living in a place unknown\nShould we not unite as one... So Mahdi can claim his\nthrone\nWe are Shia of Ali... We are Lovers of Hussain,"Every year we remember when Hussain stood\ncompletely alone, just as our Master Mahdi\nlives in a place unknown. Should we\nnot unite as one so Mahdi can\nclaim his throne? We are the Shia\nof Ali, and the lovers of Hussain."
,Oh Master when will you come... Your servants await\nthe day\nWhen Karim and Naqi will... in Mecca Behind you pray\nOn that day each heart that lives... Will cry out in joy\nand say,"O Master, when will you come? Your\nservants await that day, when Karim and\nNaqi will pray behind you in Mecca.\nOn that day, every living heart\nwill cry out in joy and say:"
