line id verse number,arabic text,english translation text
,"(Ham ko bhi sikha\nBibi kaniz-e-sayyeda\nAdab-e-wafa\nBibi kaniz-e-sayyeda\nHam ko bhi sikha, adab-e-wafa, tujhe\nZainab ka wasta\nYa makhduma ya fizza","(Teach us too\nO servant of the Sayyida\nThe manners of loyalty\nO servant of the Sayyida\nTeach us too the manners of loyalty; for the sake of\nZainab\nO honoured lady, O Fizza"
,"Jitne zainab ke dil pe ghuzre hai,\nGham wo sab tune bhi uthaaye\nhai,\nTere bhi sar se chhin gayi chadar,\nTune bhi taaziyane khaye hai\nYa makhduma ya fizza","Every sorrow that passed\nover Zainab's heart You too\nendured The veil was also\nsnatched from your head And\nyou too received lashes O\nhonoured lady, O Fizza"
,"Bibi kaniz-e-sayyeda,\nZainab ne tujhko maa kahaa\nTera bohot hai martaba\nYa makhduma ya fizza","O servant of the Sayyida\nZainab called you mother\nHow exalted is your rank\nO honoured lady, O Fizza"
,"Jis ghari sheh pe chal rahi thi\nchhuri,\nTeri halat bayaa(n) se bahar thi,\nTeri ankho(n) se khun jaari tha,\nKehti thi ayiye madad ko ali\nYa makhduma ya fizza","At the moment when the knife moved\nAcross the King's throat\nYour state was beyond description\nBlood flowed from your eyes\nYou cried: O Ali, come to help\nO honoured lady, O Fizza"
,"Bibi kaniz-e-sayyeda,\nMaa banke har shaheed ka,\nMatam kiya hai marhaba\nYa makhduma ya fizza","O servant of the Sayyida\nLike a mother to every martyr\nYou performed matam—marhaba\nO honoured lady, O Fizza"
,"Tu kaneeze batool hai bibi,\nTu duaae rasul hai bibi,\nTu hai ehle azaa ki shahzaadi,\nFarshe gham ka tu phool hai bibi\nYa makhduma ya fizza","You are the servant of Batul, O Lady\nYou are the prayer of the Messenger, O Lady\nYou are the princess of the mourners\nA flower upon the mourning floor, O Lady\nO honoured lady, O Fizza"
,"Bibi kaniz-e-sayyeda,\nTu bhi agar kare duwa,\nTtal jaaye sarse har balaa\nYa makhduma ya fizza","O servant of the Sayyida\nShould you also pray\nEvery calamity will be removed\nO honoured lady, O Fizza"
,Waasta tujhko khune asgher ka\nWaasta shahe dee(n) ki dukhtar ka\nHumko amno amaa(n) ki dawlat\nde\nWaasta fatema ka haider ka\nYa makhduma ya fizza,"For the sake of Asghar's\nblood For the sake of the daughter\nof the King of faith Grant\nus the wealth of peace and safety\nFor the sake of Fatima and\nHaider O honoured lady, O Fizza"
,"Bibi kaniz-e-sayyeda,\nMaqrooz momineen ka,\nHojoye karz bhi adaa\nYa makhduma ya fizza","O servant of the Sayyida\nMay the debts of indebted believers\nBe fully repaid\nO honoured lady, O Fizza"
,"Wo jo be ghar hai unko ghar dede,\nBe pisar maao ko pisar dede,\nJinke aangan me aagayi hai khiza\nUnko sayaa bhara shajar dede\nYa makhduma ya fizza","Grant homes to those without homes\nGrant sons to mothers without children\nThose whose courtyards have seen autumn\nGrant them a tree filled with shade\nO honoured lady, O Fizza"
,"\nBibi kaniz-e-sayyeda,\nHum sab tere ghulaam hai\nHumko hai aasra tera\nYa makhduma ya fizza","\nO servant of the Sayyida\nWe are all your servants\nYou are our support\nO honoured lady, O Fizza"
,"\nJitne zainab ke dil pe ghuzre\nhai,\nGham wo sab tune bhi uthaaye\nhai,\nTere bhi sar se chhin gayi chadar,\nTune bhi taaziyane khaye hai\nYa makhduma ya fizza","Every sorrow that\npassed over Zainab's heart\nYou too endured The\nveil was also snatched\nfrom your head And\nyou too received\nlashes O honoured lady,\nO Fizza"
,"\nBibi kaniz-e-sayyeda,\nTujhpar bhi hogayi jafaa,\nTera bhi sar khula raha\nYa makhduma ya fizza","\nO servant of the Sayyida\nOppression was also committed against you\nYour head too remained uncovered\nO honoured lady, O Fizza"
,"\nTu kaneeze batool hai bibi,\nTu duaae rasul hai bibi,\nTu hai ehle azaa ki shahzaadi,\nFarshe gham ka tu phool hai bibi\nYa makhduma ya fizza","\nYou are the servant of Batul, O Lady\nYou are the prayer of the Messenger, O Lady\nYou are the princess of the mourners\nA flower upon the mourning floor, O Lady\nO honoured lady, O Fizza"
,"\nBibi kaniz-e-sayyeda,\nTu bhi agar kare duwa,\nTtal jaaye sarse har balaa",\nO servant of the Sayyida\nShould you also pray\nEvery calamity will be removed
