line id verse number,arabic text,english translation text
,Ay meri bibi\ntere\ndar\npe\nistighasa\nhe\nTera mamnoon meri shehzadi ye jaha\nsara hai.,"O\nmy Lady,\nat your\ndoor is this\nplea. My\nprincess, this whole\nworld is\nindebted to you"
,") Tu hame hifz or amaan dede, apni\nchadar\nke\nsaiban\ndede\nTeri kudrat me kya nahi bibi, tu jise\nchahe do jahaan dede.","Grant us protection and safety; give us\nthe\nshade\nof\nyour chadar.\nWhat is beyond your power, O Lady? You can grant\nwhomever you wish both worlds"
,Ay meri bibi aansu-o mein duwa\nmangi\nhai\nTeri tasbee hi parke dil ne tuje\npukaara hai.,"O my Lady, through tears this prayer\nhas been\nmade.\nReciting your tasbih, the heart called out\nto you"
,"Tera darbaar wo sakhi dar hai, har\nfarishta\njahaan\ngadaagar\nhai\nTere makrooz asmaan waale tera\nmakrooz har sikandar hai.","Your court is the door of generosity, where every\nangel\nstands\nas\na beggar.\nThe heavens are indebted to you, and every king\nis indebted to you"
,Ay meri Bibi\nTu\nsakhi\nhai\ntere\nbache\nbhi\nEk raahi nahi gawaahi me jag ye\nsaara hai.,"O\nmy Lady,\nyou are generous,\nand so\nare your children.\nNot one\ntraveller alone, but\nthe whole\nworld bears witness"
,"Farshe majlis pe aur musalle par,\nhar jawaa keh raha hai roro kar\nHam rahe na rahe magar bibi, ta\nqayamat rahe game sarwar","Upon the mourning floor and the prayer mat,\nevery young person says while weeping:\nWhether we remain or not, O Lady, may the grief\nof Sarwar endure until Judgement Day"
,Ay meri bibi\nTere bacho ka gham manaa te hai\nApni awlaad se kahi barke gham ye\npyara hai.,"O my Lady, we mourn\nthe grief of your children.\nThis sorrow is dearer to us\nthan even our own children"
,"Karz makrooz ka adaa karde,\nmufliso\nka\nnaseeb\nwa\nkarde\nJinki godi bhari nahi bibi unko\nawlaad tu ataa karde.","Repay the\ndebts of those\nburdened by debt;\nopen the fortune\nof the poor.\nThose whose laps\nremain empty, O\nLady—grant them children"
,") Un shaheedo ka ye mukadar hai,\nsayibaan\ninka\nteri\nchadar\nhai\nUnke sino pe ay meri bibi daaghe\nmaatam nishaane haider hai.","This is\nthe destiny of\nthose martyrs: your\nchadar is their\ncanopy. Upon their chests,\nO my Lady,\nthe mark of matam\nis Haider's sign"
,"Tujko ummat ne yu sataaya hai,\nmarghe mohsin pe bhi rulaaya hai,\nTujko baba ke baad ummat ne, haaye\ndarbaar me bulaaya hai.","The nation tormented you in this way,\nand made you weep even over Mohsin's death;\nafter your father, the nation—alas—\nsummoned you to the court"
,") Karbala mein teri shabeeh\nbankar, apne baba ki zindagi bankar\nTera bachpan hai Sakina bibi\nAur jawani hai zainab e muztar","In Karbala, becoming your very likeness,\nand becoming the life of her father,\nSakina is your childhood,\nand grieving Zainab is your youth"
,) Hum ko har aan yeh nadamat hai\nHum hai mujrim teri adalat hai\nRizk awlaad zindagi har pal\njo bhi kuch hai teri badaulat hai,"At every moment we carry this shame:\nwe are the sinners, and yours is the court.\nSustenance, children, life—every moment,\nwhatever we possess is through your grace"
,) Tere Roze ka jo nazara hai\nHar gunehgaar ka sahara hai\nAasmaan par joh yeh gathaein hai\nTeri chadar ka ek kinara hai,The sight of your shrine\nis the support of every sinner.\nThose clouds across the heavens\nare but one edge of your chadar
,) Waqt aakhir hai bas mera bibi\nAnghinat hai mere gunah bibi\nWasta tujhko tere bachon ka\nBakhswana mere gunah bibi,"My final hour is near, O Lady;\nmy sins are beyond counting, O Lady.\nFor the sake of your children,\nhave my sins forgiven, O Lady"
