line id verse number,arabic text,english translation text
,"YEH GHURBAT E ALI HAI, YE GHURBAT E ALI HAI",THIS IS THE TRAGEDY OF IMAM ALI (AS)
,HAQ MAANGNE JO ZAHRA DARBAR MEIN GAYI HAI,ZAHRA HAD TO GO TO THE DARBAR TO FIGHT FOR HER RIGHTS!
,AWAAZ AA RAHI HAI MEI BINTE MUSTAFA HU\nBABA KE KALMAGOYO MEI HI TO FATIMAH HU,"SHE CALLED OUT, I AM THE DAUGHTER OF MUSTAFA\nOH RECITERS OF THE KALIMA, I AM FATIMAH"
,PEHCHAAN NE SE DUNIYA INKAR KAR RAHI HAI\nYE GHURBAT E ALI HAI,"THEY ALL KNOW WHO I AM, YET THEY’RE ALL DENYING ME\n- THIS IS THE TRAGEDY OF IMAM ALI (AS) -"
,SUN KAR SALAM E HAIDER KOI NAHI HAI RUKTA\nWAJIB NAHI SAMJHTA KOI JAWAAB DENA,"HEARING THE SALAAM OF THE IMAM, NO ONE STOPS TO REPLY\nTHEY DON’T CONSIDER IT OBLIGATORY TO RESPOND TO HIM"
,AFSOOS FATIMAH BHI YE BAAT JAANTI HAI\nYE GHURBAT E ALI HAI,WHAT A PITY IT IS THAT HIS WIFE (FATIMAH) KNOWS THIS\n- THIS IS THE TRAGEDY OF IMAM ALI (AS) -
,"MASJID ME SAR JHUKAYE, MAWLA KHARE HUWE HAI\nHAKIM KI TOHAMATON KO CHUP CHAAP SUN RAHE HAI","IMAM IS STANDING IN THE MOSQUE, WITH HIS HEAD LOWERED\nSILENTLY LISTENING TO THE FALSE CHARGES LAID BY THE RULER"
,SIDDIQA SAB KE AAGEY JHUTLAAI JAA RAHI HAI\nYE GHURBAT E ALI HAI,THE TRUTHFUL ONE (ZAHRA) IS BEING TREATED LIKE A LIAR IN PUBLIC\n- THIS IS THE TRAGEDY OF IMAM ALI (AS) -
,KEHTI HAI ROKE ZAHRA JAANE NA DUNGI TANHA\nPATKE ME MURTAZA KE HAI HAAT SAYYADA KA,"CRYING SOFTLY ZAHRA TOLD IMAM ALI, 'I WON'T LET YOU GO ALONE'\nWHILST HOLDING THE WAISTBAND OF HER HUSBAND"
,AAB HAI KISI KA DURRA AUR DUKHTAR E NABI HAI\nYE GHURBAT E ALI HAI,NOW SOMEBODY LIFTS THEIR HAND TO SLAP THE DAUGHTER OF THE PROPHET\n- THIS IS THE TRAGEDY OF IMAM ALI (AS) -
,EK KOOCH MEIN PAHUNCH KAR DEKHA HAI MUJTABA NE\nZALIM NE ZARB MARI KAISE KHUDA HI JAANE,WHEN IMAM HASAN ARRIVED AT THE SCENE HOW DID HE BEAR TO SEE\nTHE OPPRESSIVE RULER (LA) SLAPPING HIS MOTHER - ONLY GOD KNOWS
,BINTE NABI ZAMEEN PAR GHASH KHA KE GIR PARI HAI\nYE GHURBAT E ALI HAI,"THE DAUGHTER OF THE PROPHET FELL TO THE GROUND, UNCONSCIOUS\n- THIS IS THE TRAGEDY OF IMAM ALI (AS) -"
,MAZLOOM E KARBALA KO YAAD AAGAYI SAKINA\nBETI PE MUSTAFA KI QUNFUZ (LA) KA HAAT UTHA,IMAM HUSSAINREMEMBERED HIS DAUGHTER SAKINA\nWHEN QUNFUZ (LA) RAISED HIS HAND ON THE DAUGHTER OF THE PROPHET
,PEHLU MEIN MURTAZA KI TALWAAR RO PADI HAI\nYE GHURBAT E ALI HAI,"WHILE THE SWORD IN IMAM ALI’S SHEATH, BURST INTO TEARS\n- THIS IS THE TRAGEDY OF IMAM ALI (AS) -"
,"PEHLU BHI HAI SHIKASTA, HAATO PE BHI HAI CHAALE\nHAI AAP KI AMANAAT AAB AAP KE HAWALE","HER (ZAHRA'S) RIBS WERE BROKEN, HIS (IMAM ALI'S) HANDS ARE BLISTERED\nTHIS IS YOUR TRUST BEING RETURNED TO YOU"
,YE KEHKE MURTAZA NE MAYYAT NABI KO DI HAI\nYE GHURBAT E ALI HAI,THIS IS WHAT IMAM ALI WAS SAYING WHEN LOWERING HER INTO THE GRAVE\n- THIS IS THE TRAGEDY OF IMAM ALI (AS) -
,"KAAFI HAI BAS YE FIKRA, RONE KO ZINDAGI BHAR\nHAATO KO APNE AKSAR KEHTE THE MALKE HAIDER","THESE WORDS WILL SUFFICE TO MAKE YOU CRY FOR YOUR WHOLE LIFE\nRUBBING HIS HANDS TOGETHER, IMAM ALI KEPT REPEATING"
,KHAIBAR SHIKAN KI ZAUJA GHUT GHUT KE MARGAYI HAI\nYE GHURBAT E ALI HAI,THE WIFE OF KHAYBER’S HERO DIED IN SUFFERING\n- THIS IS THE TRAGEDY OF IMAM ALI (AS) -
,"KAISE LIKHE TAKALLUM GURBAT ALI WALI KI\nZAUJA SAHABIYON KE, DARBAR MEIN GAYI THI",HOW CAN 'TAKALLUM' DESCRIBE THE AGONY OF IMAM ALI?\nHIS WIFE (ZAHRA) HAD AN AUDIENCE WITH THE 'COMPANIONS'
,BETI SHARAABIYON KE DARBAAR MEIN GAYI HAI\nYE GHURBAT E ALI HAI,HIS DAUGHTER (ZAINAB) HAD AN AUDIENCE WITH DRUNKARDS\n- THIS IS THE TRAGEDY OF IMAM ALI (AS) -
