line id verse number,arabic text,english translation text
,"ZAINAB KA TUJHSAY WADA HAI BHAI, DUNIYA MEY\nTERA MATAM RAHEYGA\nBEWARSI HO YA BE RIDAYEE..\nDUNIYA MEY TERA MATAM RAHEYGA..","Zainab promises you, my brother: your matam\nwill remain in this world. Whether I\nam left without support or without a veil,\nyour matam will remain in this world."
,"PARCHAM UTHAKAR GHAZI KA APNA,\nPUREY KARONGI MEY TEREY WAADEY..\nBABA KARENGEY MUSHKIL KUSHAI…. DUNIYA MEY\nTERA MATAM RAHEYGA",I will raise Ghazi’s standard and\nfulfil every promise I made to\nyou. Father will remove every difficulty—your\nmatam will remain in this world.
,"PAIGHAM TERA MITNEY NA DOONGI..\nPYAASI RAHUNGEE, PEDAL CHALONGEE..\nMAZLOOMEEYAT KI BANKAR GAWAHEE, DUNIYA MEY\nTERA MATAM RAHEYGA","I will not let your message be\nerased. I will remain thirsty and walk\non foot. Bearing witness to your oppression,\nyour matam will remain in this world."
,"AUDHONGI SAR PAR US WAQT CHADAR,\nLE LOONGI BADLA JAB AEY BARADAR..\nKEHTI HAI TUJHSEY ZEHRA KI JAAYEE.. DUNIYA MEY\nTERA MATAM RAHEYGA","I will place a veil upon my head\nonly then, when I have taken revenge, O\nbrother. The daughter of Zahra says to\nyou: your matam will remain in this world."
,"BETO KA MATAM US DIN KAROONGI,\nCHEHLUM TUMHARA JAB KAR CHUKUNGI..\nMAINEY YAHI HAI MANNAT UTHAAYEE… DUNIYA MEY\nTERA MATAM RAHEYGA","I will mourn my sons on that\nday, after I have completed your chehlum.\nThis is the vow I have made:\nyour matam will remain in this world."
,"CHADAR KAY BADLAY SAR LOONGI USKA,\nMAJLIS KI KHATIR GHAR LOONGI USKA..","In exchange for my veil, I will take his head;\nfor the sake of the majlis, I will take his house."
,"NASLEY YAZEEDI (LA) DEYGI DUHAYEE, DUNIYA MEY\nTERA MATAM RAHEYGA",The descendants of Yazid will cry out in anguish;\nyour matam will remain in this world.
,"ZAINAB KA TUJHSAY WADA HAI BHAI, DUNIYA MEY\nTERA MATAM RAHEYGA..\nHAR GHAR MEY HOGA AB TERA MATAM,\nHAR ROZ HOGA MISLEY MOHARRAM...\nDEKHEYGI AB TO SAARI KHUDAAYEE.. DUNIYA MEY\nTERA MATAM RAHEYGA","Zainab promises you, my brother: your\nmatam will remain in this world. Your\nmatam will be held in every\nhome; every day will become like\nMuharram. All creation will witness it: your\nmatam will remain in this world."
,"TAABOOT TERA GHAZI KA PARCHAM,\nUTHTEY RAHEYENGEY DUNIYA MEY HAR DAM..\nMAINEY KHASAM HAI ZEHRA KI KHAYEE,, DUNIYA MEY\nTERA MATAM RAHEYGA",Your taboot and Ghazi’s standard will\ncontinue to be raised throughout the\nworld. I have sworn by Zahra: your\nmatam will remain in this world.
,"RAB KI RAZA HAI REHAN NAUHA,\nNA QAIDE MAUSAM NA QAUF E DUNIYA..\nYE NAUKRI HAI QISMAT SEY PAAYEE.. DUNIYA MEY\nTERA MATAM RAHEYGA","This lament, Rehan, is by God’s pleasure—\nnot bound by season, nor afraid of\nthe world. This service was granted by destiny:\nyour matam will remain in this world."
,"ZAINAB KA TUJHSAY WADA HAI BHAI, DUNIYA MEY\nTERA MATAM RAHEYGA..","Zainab promises you, my brother: your\nmatam will remain in this world."
