line id verse number,arabic text,english translation text
[n02:0],BABA,"Father,"
[n02:1],"MAIN AKELI ANDHERA WOH DASHT-E-BALA
JAL GAY KHEME KURTA MERA JAL GAYA
PHIR MERI SAMT KO EK ZALIM BARHA
MAIN LARAZNE LAGEE DIL DHARAKNE LAGA
BABA","I was all alone in the darkness of the desert of Karbala.
The tents were set ablaze, and my shirt was burned.
Then a cruel man came towards me.
I began to tremble, and my heart pounded with fear.
Father..."
[n02:2],"USNE KAANO SAY NOCHEE MERE BAALIYA
KAAN KAY KHOON SE KURTA MERA TAR HUWA
USNE MUN PE TAMACHA LAGAYA MERE
MAIN SAMBHAL NA SAKI GIR GAYEE KHAK PE","He tore the earrings from my ears.
My shirt became soaked with blood from my wounded ears.
He struck me across the face,
And I could not keep my balance—I fell to the ground."
[n02:3],"PHIR MAIN CHILLAY RO KAY CHACHA ABBAS
SHIMR MUJHE MAAR RAHA HAI
MERI MADAD KO KOI NA AYA
BABA MAIN ROTI REH GAYE","Then I cried out: “Uncle Abbas!
Shimr is beating me! No
one came to help me. Father,
I was left there weeping.”"
[n02:4],"BABA
BABA JAN KIA MAIN KAHUN KIA NA KHUN RANJ-O-ALAM
SHAM-E-GHUM HAAL-E-SAFAR SHAM KAY ZINDAN KAY SITAM
APNE GHUM TUM BHI SUNAO
APNE GHUM MAIN BHI SUNAO
BABA","Father...
Father, what can I say, and what can I leave unsaid, of these sorrows and hardships?
The evening of grief, the suffering of the journey, and the torment of the prison of Sham.
Tell me of your sorrows,
And let me tell you mine.
Father..."
[n02:5],"BABA JAN SHIMR NE JAB MAARE TAMACHE MUN’N PER
BAALIYA KHECHE MERI KURTA HUWA KHOON MAIN TAR
BABA JAN DEKHO ZARA
BABA JAN DEKHO ZARA NEELAY HAIN RUKHSAAR MERE","Father, when Shimr struck my face with slaps,
When he pulled away my earrings and my shirt became drenched in blood,
Father, look at me—
See how bruised my cheeks have become."
[n02:6],"KIA YATEEMO PE SITAM KARTA HAI YUN KOI BASHAR
SHIMR KO DEKH KAY MAIN KHOUF SE THARRATI HUN
BHAIYA SAJJAD(a.s.) KAY PECHE HI MAIN CHUP JATI HUN
BABA","Would any human being treat an orphan in
such a way? Whenever I see Shimr, I
tremble with fear. I hide myself behind my
brother Sajjad, Seeking protection from him. Father..."
[n02:7],"BABA JAN(a.s.) BAZO BANDHE
BABA JAN(a.s.) BAZO BANDHE SUB K BANDHA MERA GALA
JAB RASAN KHECHTI THI DUM GHUTTA THA HAR GAAM MERA","Father, our arms were bound, And a rope was
tied around my neck. Whenever the rope was pulled,
I felt my breath being choked with every step."
[n02:8],"BABA JAN(a.s.) MENAY KIA PANJO PE CHAL KAR WOH SAFAR
DARD HOTA THA TO CHILLATI THI
BABA(a.s.) BABA(a.s.)","Father, I crossed that journey walking on my toes.
Whenever the pain became unbearable, I cried:
“Father! Father!”"
[n02:9],"GHASH MAIN KHATI TO ZAMEEN PER NAHI GIR PATI THI
RASSI IS TARHA SE GARDAN MAIN PHASI JATI THI
BABA(a.s.) BABA(a.s.)
APNE GHUM TUM BHI SUNAO
APNE GHUM MAIN BHI SUNAO","And when I fainted,\nI could not even fall to the ground.\nThe rope was wound so tightly around my neck That it held me upright.\nFather... Father...\nTell me of your sorrows, And let me tell you mine."
