Line ID,Original,Translation
,Sadaat e karbala ..,The ladies of Karbala...
,"Chehlum ko karbala me jo aayi wo bibiyaa
Sadaat e karbala..","When the noble ladies came to Karbala on Arba'een,
The ladies of Karbala..."
,"Har bibi kar rahi thi kuch is tarha se girya
Sadaat e karbala","Every lady was mourning in this manner,
The ladies of Karbala..."
,"Kuch bibiya'n yaha hai kuch bibiya'n waha
Karti hui fughaa
Bikhri hui thi maqtal e sarwar me jaa bajaa","Some ladies were here, some were there,
Crying in anguish.
Scattered all across the battlefield of the Master."
,"Ek bibi dasht e khooni me jaati hai nahr par
Kehti ba chashme tarr
Abbas dene aayi hoon pursa Sakina ka","One lady walked through the blood-soaked plain to the river,
With tear-filled eyes she said,
'Abbas, I have come to offer condolences for Sakina.'"
,"Ghut ghutke laadli teri zinda mein mar gayi
Turbat wahi'n bani
Bhaiyya wo qaid se na hui marke bhi juda","Your beloved little daughter died in the prison, suffocating with grief.
Her grave was made there.
Brother, even in death she was not separated from her captivity."
,"Akbar ki qabr par yu hui Laila nauhagar
Dekha na saal bhar
Aayi hu qaid e Shaam se ab hoke mai reha","At Akbar's grave, Layla lamented,
'I did not see you for an entire year.
Now I have returned, freed from the captivity of Sham.'"
,"Bano ye bain karti thi aye mere bezubaa'n
Maa dhoonde ab kahaa
Batla de hai kaha'n mera Asghar aye Karbala","Bano cried out,
'O my speechless one,
Where shall your mother search now?
Tell me, O Karbala, where is my Asghar?'"
,"Qurbaan tere aye mere maa jaaye bewatan
Majboor thi bahen
Zindaa'n mein mujhse teri amanat hui juda","May I be sacrificed for you, my homeland-less beloved.
Your sister was helpless.
In the prison, your precious trust was taken from me."
,"Rote hai khaas o aam tera sunke ye kalaam
Aye shaah ke ghulaam
Nauha tera Anees hai makbool e baargaah","The high and the low alike weep upon hearing these verses.
O servant of the King,
Your elegy, Anees, is accepted in the Divine Court."
