"line id verse number","arabic text","english translation text"
"","AAJ KABRE MUSTAFA PAR EK HUJOOME AAM HEY","TODAY THERE IS A CROWD OF PEOPLE AT THE TOMB OF RASUL ALLAH"
"","AA GAYI ZAINAB MADINE – ME BAPA KOHRAM HEY\nAAJ KABRE MUSTAFA PAR EK HUJOOME AAM HEY","TODAY THERE IS A CROWD OF PEOPLE AT THE TOMB OF RASUL ALLAH\nZAINAB HAS RETURNED TO MADINA, THERE IS A COMMOTION,"
"","RAKH KE KURTA BHAI KA TUR – BAT PE ZAYNAB NE KAHA KHIDMATE ISLAM PAR UMMAT KA YE INAAM HEY","ZAINAB PLACED HER BROTHER'S SHIRT ON THE GRAVE AND SAID,\nTHIS IS THE REWARD THE PEOPLE HAVE GIVEN US FOR OUR SERVICES TO ISLAM."
"","AA GAYI ZAINAB MADINE – ME BAPA KOHRAM HEY\nAAJ KABRE MUSTAFA PAR EK HUJOOME AAM HEY","TODAY THERE IS A CROWD OF PEOPLE AT THE TOMB OF RASUL ALLAH\nZAINAB HAS RETURNED TO MADINA, THERE IS A COMMOTION,"
"","HICHKYOME NAAZ – KI TARPAYENGI SUGRA KI YAAD LAB – PE AKBAR KE DAME AAKHAR BAHAN KA NAAM HEY","IN THE FINAL BREATHS OF LIFE, THOUGHTS OF SUGHRA WILL DISTURB AKBAR,\nAND IN THE LAST MOMENTS, AKBAR HAS HIS SISTER'S NAME UPON HIS LIPS"
"","AA GAYI ZAINAB MADINE – ME BAPA KOHRAM HEY\nAAJ KABRE MUSTAFA PAR EK HUJOOME AAM HEY","TODAY THERE IS A CROWD OF PEOPLE AT THE TOMB OF RASUL ALLAH\nZAINAB HAS RETURNED TO MADINA, THERE IS A COMMOTION,"
"","JUK GAYE HEY NAWJAWAN KI LAASH PAR RAN ME HUSSEIN KYA ALI AKBER KE HOTO PAR KOI PEYGAAM HEY","HUSAIN HAS BOWED DOWN OVER THE YOUNG MAN'S BODY IN THE BATTLEFIELD,\nIS THERE ANY FINAL MESSAGE ALI AKBAR WANTS TO CONVEY?"
"","AA GAYI ZAINAB MADINE – ME BAPA KOHRAM HEY\nAAJ KABRE MUSTAFA PAR EK HUJOOME AAM HEY","TODAY THERE IS A CROWD OF PEOPLE AT THE TOMB OF RASUL ALLAH\nZAINAB HAS RETURNED TO MADINA, THERE IS A COMMOTION,"
"","NAAM PARKE LAASH BETE,\nKI DIKHAA KAR BOLE SHAAH, YE HEY SUGHRA KI TAMANNA, ISKA AKBER NAAM HEY","HUSAIN CARRIES THE BODY OF HIS SON AND SAYS,\nTHIS IS THE HOPE OF SUGHRA, HIS NAME IS AKBAR."
"","AA GAYI ZAINAB MADINE – ME BAPA KOHRAM HEY\nAAJ KABRE MUSTAFA PAR EK HUJOOME AAM HEY","TODAY THERE IS A CROWD OF PEOPLE AT THE TOMB OF RASUL ALLAH\nZAINAB HAS RETURNED TO MADINA, THERE IS A COMMOTION,"
"","KEHTITHI FIZZA CHINI JAATI HEY ZAINAB KI RIDAA YA ALI AAWO MADAD KAR – NA TUMHARA KAAM HEY","FIZZA USED TO SAY, THE VEIL OF ZAINAB IS BEING SNATCHED AWAY,\nO IMAM ALI, PLEASE COME, AND HELP!"
"","HURMALA NE PYAAS BACCHE, KI BUJAADI TIR SE JAANTA THA ASGHARE BESHEER TISHNA KAAM HEY","HURMALA QUENCHED THE CHILD'S THIRST WITH AN ARROW,\nHE KNEW ASGHAR HAD NOT DRUNK MILK FOR DAYS"
"","KEHTITHI FIZZA CHINI JAATI HEY ZAINAB KI RIDAA YA ALI AAWO MADAD KAR – NA TUMHARA KAAM HEY","FIZZA USED TO SAY, THE VEIL OF ZAINAB IS BEING SNATCHED AWAY,\nO IMAM ALI, PLEASE COME, AND HELP!"
