"line id verse number","arabic text","english translation text"
"","AAJ RUKHSAT HO RHI HAI TUMSE ZAHRA YA ALI","TONIGHT, FATIMA ZAHRA DEPARTS FROM YOU, O ALI!"
"","PARDA E SHAB MEIN MERI MAYYAT UTHANA YA ALI","LIFT MY BODY IN THE DARKNESS OF THE NIGHT, O ALI!"
"","PASLIYA TODI GAI KAISE YE BATLAUNGI MAI","HOW WILL I TELL MY FATHER THAT MY RIBS WERE BROKEN!"
"","HASHR KE MAIDAA'N MEIN BHI IS HAAL MEIN AAUNGI MAI","I WILL ARRIVE AT THE PLAINS OF THE DAY OF JUDGEMENT IN THIS STATE..."
"","HAATH PEHLU SE NA TUM MERA HATAANA\nYA ALI","DO NOT REMOVE MY HAND FROM MY INJURED SIDE, O ALI!"
"","WO MUSIBAT AAP NE ACHCHA HUA DEKHI NAHI\nAB MAI SIDHE HAATH SE TASBIH PADH SAKTI NAHI","IT WAS BETTER THAT YOU DID NOT WITNESS THAT TRAGEDY. NOW I CANNOT DO TASBIH WITH MY RIGHT HAND!"
"","AISA KUNFUZ NE HAI MARA TAZIYANA YA ALI","QUNFUZ STRUCK ME WITH THE WHIP SO SEVERELY, O ALI!"
"","KEHTI HAI ZAINAB YE MUJHSE\nDEKHKAR CHEHRA MERA","ZAINAB SAYS TO ME\nSEEING MY FACE,"
"","AAPKE RUKHSAAR PAR YE NEEL HAI KAISA PADA","HOW DID YOU GET THAT BRUISE ON YOUR CHEEK?"
"","MAINE KHAYA HAI TAMACHA,","MAT BATANA YA ALI\nI HAVE BEEN SLAPPED,\nBUT DON’T MENTION, IT O ALI!"
"","TAZIYANE KI AZIYYAT KA UTHANA EK TARAF\nWO TAMACHE, QATLE MOHSIN, DAR JALANA EK TARAF","THE PAIN FROM BEING WHIPPED, THE SLAPS, THE DEATH OF MOHSIN, THE BURNING DOOR ALL ASIDE"
"","SABSE MUSHKIL THA MAGAR DARBAAR JANA\nYA ALI","GOING TO THE COURT WAS THE MOST DIFFICULT, O ALI!"
"","JAB MERI TALQEEN PADHNA YAAD KAR LENA ZARA\nDAR KE GIRNE SE MERA BAAZU BHI HAI TOOTA HUA","WHEN YOU RECITE MY TALQEEN, PLEASE REMEMBER, MY ARM ALSO BROKE WHEN THE BURNING DOOR FELL"
"","MERE SHANO KO ZARA DHIRE HILANA YA ALI","SHAKE MY ARMS SOFTLY (FOR THE TALQEEN), O ALI!"
"","CHAHE AAJAYE QAYAMAT MUJHSE YE WAADA KARO\nJAB TALAK MAULA MERE SHABBIR KI MARZI NA HO","PROMISE ME, NO MATTER WHAT MY MASTER, UNTIL MY SHABBIR DOES NOT AGREE…"
"","TAB TALAK MERA JANAZA MAT UTHANA YA ALI","DO NOT BEGIN MY FUNERAL UNTIL THEN, O ALI!"
"","JAB SE AAYI HU PALAT KAR FIKR HAI MUJHKO YEHI\nMAI TO PARDE MEIN GAI FIR BHI ZAEEFA HO GAYI","SINCE I RETURNED FROM THE COURT, IT BOTHERS ME. I WENT WITH MY VEIL AND IT STILL TOOK SUCH A TOLL ON ME!"
"","BERIDA DARBAAR HAI ZAINAB KO JANA YA ALI","ZAINAB WILL HAVE TO GO TO THE COURT UNVEILED, O ALI!"
"","KARBALA MEIN JAB MERE MAZLOOM PAR KHANJAR CHALE\nPYAAS K AALAM ME WO GHAZI KO JAB AAWAAZ DE","WHEN MY OPPRESSED SON IS SACRIFICED IN KARBALA AND HE CALLS FOR ABBAS WHILE HE IS THIRSTY"
"","MAI BHI AAUNGI WAHA PAR TUM BHI AANA YA ALI","I WILL ANSWER HIS CALL AND SO WILL YOU, O ALI!"
