"line id verse number","arabic text","english translation text"
"","AAYE JIS WAQT ASEERON ME WO TADFEEN KE BAAD","WHEN THE PRISONERS RETURNED AFTER THE BURIALS,"
"","ROKE KARTE THE YAI AABIDE MUZTAR FARYAAD","IMAM ZAINUL ABIDEEN CRIED OUT IN ANGUISH."
"","AISI HAALAT ME THA LAASHA ABBAS KA,","IN SUCH A STATE WAS THE BODY OF ABBAS,"
"","MAI UTHATA RAHA WO BIKHARTA RAHA","I LIFTED IT, BUT IT KEPT FALLING APART."
"","DADI ZAHRA KI PAAMAL THI YU DUA","AS IF THE PRAYERS OF GRANDMOTHER ZAHRA WERE TRAMPLED,"
"","MAI UTHATA RAHA WO BIKHARTA RAHA","I LIFTED IT, BUT IT KEPT FALLING APART."
"","MAINE CHAHA KE MAYYAT KO YAKJAA RAHE","I WISHED FOR THE BODY TO REMAIN WHOLE,"
"","APNE HAATHON SE BAAZU CHACHA KE CHUNE","WITH MY OWN HANDS, I TRIED TO GATHER MY UNCLE’S ARMS."
"","PATTHARON SE LAAENO NE MAARA UNHE","THE ENEMIES STONED HIM,"
"","TUKDE TUKDE MUJE BAAZU UNKE MILE","I FOUND ONLY FRAGMENTS OF HIS ARMS."
"","EK BAAZU BHI UNKA SALAMAT NA THA","NOT EVEN ONE OF HIS ARMS WAS INTACT."
"","MAI UTHATA RAHA WO BIKHARTA RAHA","I LIFTED IT, BUT IT KEPT FALLING APART."
"","CHAAR SU LAASH UNKI YU MUJKO MILI","ALL AROUND ME I FOUND HIS SCATTERED BODY,"
"","JAISE MAYYAT THI QASIM KI BIKHRI HUI","LIKE THE BROKEN BODY OF QASIM."
"","BABAJAAN NE ABA ME USE CHUNLIYA","MY FATHER GATHERED HIM IN HIS CLOAK,"
"","YE BHI MUMKIN NA THA HAAYE GURBAT MERI","BUT FOR ME, IN MY HELPLESSNESS, EVEN THAT WAS NOT POSSIBLE."
"","EK QAIDI THA MAI KAISE LAATA ABA","I WAS A PRISONER — HOW COULD I HAVE BROUGHT THE CLOAK?"
"","MAI UTHATA RAHA WO BIKHARTA RAHA","I LIFTED IT, BUT IT KEPT FALLING APART."
"","APNI HAALAT KARU KIS TARHA SE BAYAAN","HOW CAN I DESCRIBE MY STATE?"
"","EK MANZAR PE MERI BANDHI HICHKIYA","I WAS CHOKING ON SOBS AT THE SIGHT."
"","PEHLUON PER YU NAIZO KE KUCH WAAR THE","HIS RIBS WERE PIERCED WITH SPEARS,"
"","YAAD DADI KI AANE LAGI PASLIYA","AND I REMEMBERED MY GRANDMOTHER’S BROKEN RIBS."
"","YU SHIKASTA THA LAASHA SAMBHALTA NA THA","SO SHATTERED WAS THE BODY, IT COULD NOT BE GATHERED."
"","MAI UTHATA RAHA WO BIKHARTA RAHA","I LIFTED IT, BUT IT KEPT FALLING APART."
"","DAAYEN JAANIB SE MAYYAT UTHAYI AGAR","IF I LIFTED THE BODY FROM THE RIGHT,"
"","BAAYI JAANIB KIYA HADDIYON NE SAFAR","THE BONES ON THE LEFT WOULD SCATTER."
"","LAASH PAAMAL LASHKAR NE IS TARHA KI","THE ARMY HAD TRAMPLED THE BODY SO MERCILESSLY,"
"","SHER KE TUKDE TUKDE HUI THI QAMAR","THAT THE LION OF KARBALA, ABBAS, WAS IN PIECES."
"","MERE KAANDHON PE LAASHA SAMBHAL NA SAKA","EVEN UPON MY SHOULDERS, THE BODY COULD NOT BE BORNE."
"","MAI UTHATA RAHA WO BIKHARTA RAHA","I LIFTED IT, BUT IT KEPT FALLING APART."
"","RUN ME LADTE HUE ZEEN SE JAB GIRA","WHEN HE FELL FIGHTING FROM HIS SADDLE,"
"","SAR JUDA TAN JUDA DONO BAAZU JUDA","HIS HEAD SEVERED, HIS BODY SEVERED, HIS ARMS SEVERED."
"","MERA BATTEES BARSO KA KADYAL JAWAAN","MY THIRTY-TWO-YEAR-OLD BRAVE YOUTH,"
"","CHEH MAHINE KE ASGAR KE JITNA BACHA","WAS REDUCED TO THE SIZE OF SIX-MONTH-OLD ASGHAR."
"","USKO GHODO NE PAAMAL AISE KIYA","THE HORSES TRAMPLED HIM SO FIERCELY,"
"","MAI UTHATA RAHA WO BIKHARTA RAHA","I LIFTED IT, BUT IT KEPT FALLING APART."
"","TEER SE JIS GHADI RUN ME PAANI BAHA","WHEN THE ARROW MADE WATER SPILL IN THE BATTLEFIELD,"
"","AISA LAGTA THA GHAZI KO AAYI QAZA","IT FELT AS IF DEATH HAD COME TO GHAZI."
"","MISLE GHAZI THA MASHKIZA ABBAS KA","THE WATER SKIN OF ABBAS WAS LIKE ABBAS HIMSELF —"
"","NA WO KHAYME GAYA NA YE KHAYME GAYA","NEITHER HE REACHED THE TENTS, NOR DID THE WATER."
"","BAWAFA KA THA MASHKIZA BHI BAWAFA","EVEN THE WATER SKIN OF THE LOYAL ONE REMAINED LOYAL."
