"line id verse number","arabic text","english translation text"
"","BABA, MERE BABA","BABA, O MY BABA"
"","SHAH KI LAADLI JAB QAIDI-E-ZINDAAN HUI","WHEN THE BELOVED DAUGHTER OF THE KING BECAME A PRISONER IN THE PRISON"
"","ROI GHABRAAYI BAHUT, AUR PARESHAAN HUI","SHE WAS VERY AFRAID, AND SHE CRIED A LOT, AND SHE WAS VERY TROUBLED (BY THE ENEMIES)"
"","QAID KHAANE KI GHUTAN, MAWT KA SAMAAN HUI","(TO THE EXTENT THAT) THE SUFFOCATION OF THE PRISON BECAME HER LUGGAGE FOR THE JOURNEY AHEAD"
"","JAAN LAGTA THA KE MA’ṢUM KI BE-JAAN HUI","IT WAS AS IF THE LIFE OF THE MA’ṢUM BECAME LIFELESS"
"","LAASH SHABBIR KI MAQTAL MEIN TADAP JAATI THI","THE BODY OF SHABBIR WOULD WINCE IN THE MAQTAL"
"","QAID KHAANE SE JO, BACCHI KI SADAA AATI THI","WHEN HE WOULD HEAR THE PAINFUL CRIES OF THE LITTLE GIRL FROM THE PRISON, SAYING…"
"","AB MUJHE KOI SAKINA NAHIN KEHTA BABA","O BABA, NO ONE CALLS ME SAKINA ANYMORE"
"","QAIDI KEHTA HAI KOI, KOI YATEEMA BABA","SOMEONE REFERS TO ME AS A PRISONER, WHILE OTHERS REFER TO ME AS AN ORPHAN."
"","NEEL RUKHSARON PE BINAAYI BHI JISKI KAM HO","MY CHEEKS HAVE TURNED BLUE FROM THE SLAPS AND MY VISION HAS BECOME BLURRED"
"","UMR HO CHAAR BARAS AUR KAMAR MEIN KHAM HO","I AM FOUR YEARS OLD, BUT MY BACK IS BROKEN"
"","AAPNE DEKHI HAI KYA AISI ZAIFAA BABA","HAVE YOU EVER SEEN AN AGED GIRL LIKE ME O BABA?"
"","MAIN BAYAAN KAISE KAROON APNI MUSEEBAT TUMSE","HOW DO I NARRATE TO YOU MY TRAGEDY?"
"","KYA KAROON APNE TAMAACHO(N) KI SHIKAYAT TUMSE","HOW DO I COMPLAIN TO YOU ABOUT THE SLAPS THAT I ENDURED?"
"","SUNTI HOON DAADI NE KHAAYA THA TAMAACHA BABA","WHEN I’VE HEARD THAT MY GRANDMOTHER (FAṬIMAH AL-ZAHRA` (SA)) WAS SLAPPED AS WELL!"
"","KHOON-E-BE-SHEER SE ANDAAZA KIYA THA MAINE","SEEING THE BLOOD OF THE BE-SHEER (ONE WHO DID NOT GET ANY MILK) I PERCEIVED WHAT HAD HAPPENED"
"","AAPKA CHEHRA TOH PEHCHAAN LIYA THA MAINE","I HAD SEEN THE ENTIRE TRAGEDY BY THE LOOK ON YOUR FACE THAT DAY"
"","AAP PEHCHAANO(N)GE KAISE MERA CHEHRA BABA","O BABA, HOW WILL YOU BE ABLE TO RECOGNIZE MY FACE NOW?"
"","AAP THE DOOR TOH MAIN SAARE SITAM SEHTI RAHI","WHILE YOU WERE AWAY, I ENDURED ALL THE AFFLICTIONS AND OPPRESSIONS UPON ME"
"","RO PADI KUFE KE DARBAAR MEIN, MAIN SEH NAA SAKI","BUT IN THE COURT IN KUFAH, I COULD NO LONGER BARE WHEN..."
"","AAPKE SAAMNE JAB SHIMR NE MARA BABA","SHIMR HIT ME IN FRONT OF YOU, O BABA!"
"","WOH TOH BIMAAR THI, MAR JAATI, SAFAR MEIN AAKE","SHE WAS VERY SICK, SHE WOULD’VE DIED IF SHE CAME ON THIS TRIP WITH US"
"","DAFAN KARTE USE BAZAAR MEIN, BHAIYYA KAISE?","HOW WOULD MY BROTHER HAVE SHROUDED HER IN THE MIDDLE OF THE MARKET?"
"","YEH TOH ACCHA HUWA AAYI NAHIN SUGHRA BABA","SO IT IS GOOD THAT SUGHRA DID NOT ACCOMPANY US ON THIS TRIP, O BABA."
"","MERI AANKHON SE BAHE JAATE THE AANSOON USS DAM","THE TEARS WOULD NOT STOP FLOWING DOWN MY EYES IN THAT MOMENT"
"","HAATH BHI MAINE LAGAYA NAHIN, DAADI KI QASAM","BUT I DID NOT EXTEND MY HAND, I SWEAR ON MY GRANDMOTHER"
"","DENA CHAHA THA MUJHE, LOGON NE SADAQAH BABA","WHEN THE PEOPLE TRIED TO EVEN GIVE ME THEIR SADAQA, O BABA!"
"","USS GHADI DHOOND RAHI THI MAIN, CHACHA JAAN KA SAR","IN THAT MOMENT I WAS SEARCHING FOR THE HEAD OF MY BELOVED UNCLE (‘ABBAS (AS))"
"","KAISE BATLAOON KE KYA GUZRI TERI BETI PAR","HOW DO I EXPLAIN TO YOU WHAT YOUR DAUGHTER HAS ENDURED?"
"","HAYE MUJHKO ZAALIM NE KANIZI MEIN JO MARA BABA","WHEN THE OPPRESSOR HIT ME IN THE MOMENT OF MY SERVITUDE"
"","BAYN YEH KARTE HI KHAMOSH HUI WOH AKBAR","O AKBAR (THE POET), ONCE SHE NARRATED ALL OF THIS TO HER FATHER SHE BECAME QUIET:"
"","AAJ TOH JAYENGE SAATH APNE MUJHE BHI LEKAR","TODAY, I KNOW HE WILL TAKE ME WITH HIM"
"","AAPKO MERI QASAM, KIJIYE WAADA BABA","FOR MY SAKE, PROMISE ME YOU WILL O BABA!"
