"line id verse number","arabic text","english translation text"
"","ABBAS KYA SUNOGE MERE DARD KI KHABAR","ABBAS AS WILL YOU BEAR TO LISTEN TO THE STATE OF MY GRIEF"
"","AAYA HUN MAI SAKINA KO BEHOSH CHHODKAR","I HAVE COME LEAVING SAKINA SA BEHIND FAINTED"
"","ABBAS YAAD HOGA MADINE SE VOH SAFAR","ABBAS AS YOU MAY REMEMBER WHEN WE COMMENCED OUR JOURNEY FROM MADINAH"
"","FEHRIST PADHKE ROYE THE TUM JISKE NAAM PAR","WHOSE NAME YOU CRIED UPON AFTER READING THE LIST"
"","VOH HURMALA KE TEER SE BEJAAN HOGAYA","HE IS NOW LIFELESS BY HURMALA'S ARROW"
"","JHOOLE SE AAKE DASHT MAI ASGHAR BHI SOGAYA","ASGHER AS IS ALSO BENEATH DUST ASLEEP ON LAND FROM THE CRADLE,"
"","SHEH NE ALI ASGHAR KO JAB DAFN KIYA HOGA","WHEN IMAM HUSSAIN AS MUST HAVE BURRIED HAZRAT ALI ASGHAR,"
"","ABBAS KA LASHA TO UTH UTHKE GIRA HOGA,","ABBAS'S AS BODY MAY HAVE RISEN AND FALLEN SEVERAL TIMES."
"","AISE HI TO SAR KAT KE NAIZE PE NAHI JAATA,","THE HEAD DOESN'T JUST GET CUT ITSELF AND GO UPON THE SPEAR"
"","QAATIL NE ZIBHA BACHCHA PHIR ZIB-HA KIYA HOGA,","THE KILLER MUST HAVE RE-SLAUGHTERED THE SLAUGHTERED INFANT."
"","SAR KAAT KE ZAALIM NE JIS WAQT UCHHAALA THA","WHEN THE OPRESSOR TOSSED THE HEAD AFTER BEHEADING"
"","ZAHRA KA KALEJA TO MITTI PE GIRA HOGA,","ZAHRA'S SA LIVER MUST HAVE FALLEN UPON DUST,"
"","NAIZE PE JO BACHCHA THA OR OONT PE MAADAR THI","THE CHILD THAT WAS UPON THE SPEAR AND MOTHER WAS ON THE CAMEL"
"","DIL GOD MAI LENE KO BECHAIN RAHA HOGA,","HEART MUST BE FOND OF CARESSING AND CARRYING HIM."
"","LO QATL KE BAAD ASGHAR AKBAR SE BADAA NIKLA","SEE AFTER MARTYRDOM ASGHAR AS RESULTS GREATER THAN AKBAR AS"
"","CHHOTA SA KALEJA THA NAIZA TO BADAA HOGA","LIVER WAS SMALL BUT THE SPEAR MUST HAVE BEEN BIG."
"","JO JHOOLA JHULAATI THI MUN CHOOMTI JAATI THI","WHO REPEATEDLY KISSED WHILE SWINGING THE CRADLE"
"","EK SAAL SAKINA NE BOSA NA DIYAA HOGA,","MORE THAN A YEAR IT MUST BE FOR SAKINA SA TO HAVE KISSED ASGHAR AS,"
"","KYU QABR KI TAREEKI DHAMKAAYE MURAWWAT KO","WHY WOULD THE DARKNESS OF THE GRAVE THREATEN MURAWWAT"
"","NOHA ALI ASGHAR KA MARQAD MAI PADHAA HOGA,\n(HE)","MUST HAVE RECITED INSIDE THE GRAVE EULOGY OF ALI ASGHAR AS,"
