"line id verse number","arabic text","english translation text"
"","IS BAAT SE MEHSOOS KARO KIA HAI SAKINA (A.S)","REALIZE WHO SAKINA IS WITH THE FACT THAT"
"","ABBAS (A.S) KE HONTON KA QASEEDA HAI SAKINA (A.S)","THE LIPS OF ABBAS IS PRAISING SAKINA"
"","AAINA-E-ZEHRA (A.S) MEIN JO DEKHA TERA BACHPAN","IN THE MIRROR OF ZEHRA WHEN WE SEE YOUR CHILDHOOD"
"","HAR AKS PUKARA KE TU ZEHRA HAI SAKINA(A.S)","EVERY MOMENT SAID THAT YOU ARE ZEHRA, OH SAKINA"
"","JO PYAS KE PARCHAM KI ALAMDAR HAI AB TAK","HE WHO IS STILL THE FLAG BEARER OF THIRST"
"","ABBAS(A.S) KI WOH PYARI SAKINA HAI SAKINA (A.S)","SAKINA IS THE BELOVED OF ABBAS"
"","ABBAS(A.S) KI NAZRON SE KOI PARH KE TAU DEKHAY","LOOK FROM ABBAS'S POINT OF VIEW"
"","EHSAAS KI EK NEHJ-E-BALAGHA HAI SAKINA(A.S)","YOU WILL FEEL THAT SAKINA IS NAHJUL BALAGHA"
"","JO MASHQ MEIN BHAR SAKTA HAI DUNYA KE SAMANDAR","HE WHO CAN FILL THE MASHK WITH THE OCEANS OF THE WORLD"
"","KAUNAIN MEIN BAS WOH TERA SAQQA HAI SAKINA(A.S)","HE IS YOUR WATER CARRIER, OH SAKINA"
"","HAR UMR KE HAIDER NE JHULAYA TERA JHOOLA","EVERY 'HAIDER' ROCKED YOUR CRADLE"
"","YEH AUJ FAQAT TU NE HI PAYA HAI SAKINA (A.S)","ONLY YOU HAVE ATTAINED THIS STATUS, OH SAKINA"
"","ISS BAAT SE MEHSOOS KARO KYA HAI SAKINA.\nABBAS KE HONTON KA QASEEDA HAI SAKINA.\nABU FADHAL ABBAS SA & SAKINA SA","CAN YOU COMPREHEND OR FATHOM WHO IS SAKINA\nABBAS’S LIPS ARE IN PRAISE, FOR SAKINA"
"","AAEENA-E-ZEHRA MEIN JO DEKHA TERA BACHPAN.\nHAR AKS PUKAARA KE TU ZEHRA HAI SAKINA.\nO SAKINA","IN ZAHRA’S MIRROR, IF EVER YOUR CHILDHOOD WAS VIEWED\nEVERY REFLECTION WOULD CALL OUT ‘YOU ARE ZAHRA!’"
"","DARYAAON KE LAB NOKAY QALAM CHOOM RAHAY HAIN.\nMAINE ABHI LIKHA NAHI SOCHA HAI SAKINA.","THE LIPS OF RIVERS ARE KISSING THE NIB OF MY PEN\nALTHOUGH I HAVE NOT WRITTEN ANYTHING YET, JUST ONLY THOUGHT OF SAKINA"
"","REHAAN KE SURAT WOH SAR AFRAAZ RAHEGA.\nJISNE TERI DEHLEEZ KO CHOOMA HAI SAKINA","LIKE REHAN (POET), HE TOO WILL REMAIN EXALTED\nWHOM SO EVER HAS KISSED YOUR MOSELEUM, O SAKINA"
