"line id","urdu transliteration","english translation text"
"[n11:0]","Ay Shiayun Imshab, Shaame Gharibaan Ast
Jisme Hussain Ooryaan, Oon Dar Bayaabaan Ast","O SHIAS, TONIGHT IS SHAM-E-GHARIBAN
THE BLESSED BODY OF HUSSAIN LIES BARE THERE IN THE WILDERNESS"
"[n11:1]","Ay Shiayun Imshab, Shaame Gharibaan Ast","O SHIAS, TONIGHT IS SHAM-E-GHARIBAN"
"[n11:2]","Dar Karbala Imshab, Zaari-O-Afghaan Ast
Jisme Ali Akbar, Oon Dar Bayaabaan Ast","IN KARBALA TONIGHT, THERE IS WEEPING AND LAMENTATION
THE BLESSED BODY OF ALI AKBAR LIES THERE IN THE WILDERNESS"
"[n11:3]","Ay Shiayun Imshab, Shaame Gharibaan Ast","O SHIAS, TONIGHT IS SHAM-E-GHARIBAN"
"[n11:4]","Ba Haalate Mahzoon, Choon Na Sha Har Dar Khoon
Bar Deedane Oonha, Har Chashme Giryaan Ast","IN A STATE OF SORROW, AS EACH ONE LIES IN BLOOD
AT THE SIGHT OF THEM, EVERY EYE IS WEEPING"
"[n11:5]","Ay Shiayun Imshab, Shaame Gharibaan Ast","O SHIAS, TONIGHT IS SHAM-E-GHARIBAN"
"[n11:6]","Choon Zaynabe Mahzoon, Baa Deedan-E-Giryaan
Guft Ay Biraadar Jaan, Maa Beekas Aur Yaareem","WHEN GRIEF-STRICKEN ZAINAB SAW THIS WITH WEEPING EYES
SHE SAID: O DEAR BROTHER, WE ARE HELPLESS AND WITHOUT SUPPORT"
"[n11:7]","Ay Shiayun Imshab, Shaame Gharibaan Ast","O SHIAS, TONIGHT IS SHAM-E-GHARIBAN"
"[n11:8]","Khatme Rasool Aayad, Ba Jumlaae Hamraahan
Az Qatle Farzandash, Girya-O-Naalaan Ast","THE SEAL OF THE PROPHETS ARRIVES, WITH ALL THOSE WITH HIM
OVER THE MARTYRDOM OF HIS BELOVED CHILD, HE WEEPS AND LAMENTS"
"[n11:9]","Ay Shiayun Imshab, Shaame Gharibaan Ast","O SHIAS, TONIGHT IS SHAM-E-GHARIBAN"
"[n11:10]","Zaaki Dar Een Majlis, Siddiqe Qubra Hast
Az Daaghe Farzandash, Ba Qalbe Soozaan Ast","ZAAKI, IN THIS MAJLIS, SIDDIQAH-E-KUBRA IS PRESENT
FROM THE WOUND OF HER SON, HER HEART IS BURNING"
"[n11:11]","Ay Shiayun Imshab, Shaame Gharibaan Ast
Jisme Hussain Ooryaan, Oon Dar Bayabaan Ast
Ay Shiayun Imshab, Shame Gharibaan Ast","O SHIAS, TONIGHT IS SHAM-E-GHARIBAN
THE BLESSED BODY OF HUSSAIN LIES BARE THERE IN THE WILDERNESS
O SHIAS, TONIGHT IS SHAM-E-GHARIBAN"
