"line id verse number","arabic text","english translation text"
"","JUB DAFN KARNE AAYE TAN E PASH PASH KO","WHEN HE CAME TO BURY THE TRAMPLED BODY"
"","AABID (ASWS) PUKARE DEKH KE GHAZI (ASWS) KI LASH KO","IMAM SAJJAD (AS) CRIED OUT LOOKING AT THE BODY OF THE WARRIOR"
"","CHACHA MAI AAP KI TURBAT BANANE AAYA HUN, SAKINA (SAWS) AB BHI HAI PYASI BATANE AAYA HUN","'O UNCLE, I HAVE COME TO MAKE YOUR TOMB, AND TO TELL YOU THAT SAKINA IS STILL THIRSTY'"
"","BATAUN KAISE CHACHA KYA GUZAR GAYI HUM PAR, HAR EK SHEHR MEIN MARE GAYE HUMEIN PATTHAR","HOW SHOULD I TELL YOU O MY UNCLE, WHAT BEFELL ON US?\nWE WERE HIT WITH STONES IN EVERY CITY THAT WE WERE PARADED IN."
"","THI MAAIEN PHUPIYAN MERE SATH AY ALI (ASWS) KE PISAR, YEH SARE ZULM KE KISSE SUNANE AAYA HUN","O SON OF ALI, MY MOTHER AND AUNTS WERE WITH ME, I HAVE COME TO RELAY THE STORIES OF ALL THESE TRAGEDIES"
"","HARAM KO CHOR KE KUFE SE AA RAHA HUN CHACHA, BATA GAYE HAI TUMHARI WASIYATEN BABA","O UNCLE, I HAVE COME FROM KUFA, LEAVING MY FAMILY BEHIND, MY FATHER HAS CONVEYED YOUR FINAL REQUEST (WILL)"
"","WAHIN HO KABR CHIDA THA JAHAN PE MASHKIZA, KIYA THA SHEH (ASWS) SE JO WADA NIBHANE AAYA HUN","THAT YOU BE BURIED WHERE THE WATER BAG WAS PIERCED, I HAVE COME TO FULFILL THE PROMISE I MADE TO MY FATHER"
"","HAI TEEN ROZ SE LASH E PE DHOOP KA SAYA, YEH HAAL DEKH KE ROTA HAI KHOON DIL MERA","YOUR BODY LAY UNDER THE SCORCHING SUN FOR THREE DAYS, MY HEART CRIES OUT WITNESSING YOUR STATE"
"","GHAREEB HUN MAI KAFAN TUMKO DE NAHI SAKTA, TUMHARI LASH KE TUKRE UTHANE AAYA HUN","I AM HELPLESS SUCH THAT I CANNOT EVEN GIVE YOU A SHROUD, I HAVE COME TO PICK UP THE CUT PIECES OF YOUR BODY"
"","LAYEEN (LA) NE BACCHI KE GOHAR KO AAISE CHEENA THA, GIRI ZAMEEN PE SAKINA (SAWS) MAI KHOON ROTA THA","THE ACCURSED SNATCHED THE LITTLE GIRL'S EARRINGS SUCH THAT, SAKINA FELL TO THE GROUND WHILE I CRIED PROFUSELY"
"","WOH JIS ZAMEEN PE KANON SE KHOON TAPKA THA, WOH KHAAK RAKHNE TUMHARE SIRHANE AAYA HUN","THE EARTH WHERE BLOOD DROPPED FROM HER EARS, I HAVE COME TO PLACE THAT VERY DUST BESIDES YOU"
"","BAGAIR INKE TUM UTRE THE ZEEN SE KAISE, HARAM TO LUT GAYE YEH BAZU KAT GAYE JUBSE","HOW DID YOU FALL FROM THE HORSE WITHOUT YOUR ARMS? OUR HOUSEHOLD WAS DEVASTATED THE MOMENT YOUR ARMS WERE CUT OFF"
"","PARE THE DOOR YEH LASHE SE AAP KE KAB SE, KATE YEH BAZU BADAN SE MILANE AAYA HUN","SINCE WHEN WERE YOUR ARMS LYING FAR AWAY FROM YOUR BODY? I HAVE COME TO UNITE YOUR ARMS WITH YOUR BODY"
