line id,urdu transliteration,english translation text
[n01:0],Gham mein dooba hoowa Karbal ka musaafir dekha,I saw the traveller of Karbala drowned in grief
[n01:1],Rotay Shabbir ko Zahra ki lahad par dekha,I saw Shabbir weeping at Zahra’s grave
[n01:2],"Apna sar maar ke deewaar se roya Ghazi
Jub Nabi zaadi ko aatay hooway baahar dekha","Ghazi struck his head against the wall and wept
When he saw the daughter of the Prophet being brought out"
[n01:3],"Noor aankhon ka gaya qaatilon se poochay Hussain
Koi batlaaey kisi ne mera Akbar dekha","The light of my eyes is gone; Hussain asked the killers
Can anyone tell me, has anyone seen my Akbar?"
[n01:4],"Door tak pheli hai Qasim ki javaani runn mein
Der tak dhoondta phir Sibte Payambar dekha","Qasim’s youth lay scattered far across the battlefield
For a long time, the grandson of the Prophet was seen searching for him"
[n01:5],"Ravi likte hai ke Sajjad ko jab hosh aya
Jaltay khaiyam mein Zainab ka khulay sar dekha ","The narrator writes that when Sajjad regained consciousness
In the burning tents, he saw Zainab with her head uncovered"
[n01:6],"Ye Khuda jaanay ke zinda rahi ya mar gaee maa
Shah ke haathon pe hai jub laasha-e-Asghar dekha","Only God knows whether the mother remained alive or died
When she saw the body of Asghar in the hands of the Shah"
[n01:7],"Saath baba ke hi mar gaee hai Sakina logo
Pyaasi gardan pe jo maasooma ne khanjar dekha","O people, Sakina died along with her father
When that innocent child saw the dagger upon his thirsty neck"
[n01:8],"Ye fakat hausla tera hai mere Mola Hussain
Koi dafnaata na betay ko payambar dekha","This was only your courage, my Master Hussain
No prophet had ever been seen burying his own son"
[n01:9],"Qaafla qaidiyon ka aa ke ruka maqtal mein
Be kaffan bhaiyon ne behnon ko khulay sar dekha","The caravan of prisoners came and stopped at the battlefield
The sisters, with uncovered heads, saw their brothers without shrouds"
[n01:10],"Jub Hassan khoon se wuzu kar ke parrhi shah ne namaz
Sajda Shabbir ka Allah ne bhi aa kar dekha","When, O Hasan, the Shah performed prayer after making ablution with blood
Even Allah was witness to the prostration of Shabbir"
