"line id verse number","arabic text","english translation text"
"","(HAAYE ASGHAR, HAAYE ASGHAR)\n(GODI ME AAWO ASGHAR, JULA TERA JULAUN)\nO ASGHAR, O ASGHAR","COME TO ME ASGHAR, I WILL ROCK YOUR CRADLE"
"","RATON KO JAG KAR ME LORI TUMHE SUNAUN","I WILL STAY AWAKE AT NIGHT, AND SING YOU A LULLABY"
"","(GODI ME AAWO ASGHAR, JULA TERA JULAUN)","COME TO ME ASGHAR, I WILL ROCK YOUR CRADLE"
"","BE TEYGH RAN MEI TU AUR, QATIL KA SAAMNA THA\nDIL TUT TA HAI MERA, TU LOT KE NA AAYA","YOU FACED THE ENEMIES ON THE BATTLEFIELD WITHOUT A SWORD\nMY HEART IS BREAKING, YOU NEVER RETURNED BACK."
"","KOI NAHI HUMARA, AB KISKO ME BULAUN\n(GODI ME AAWO ASGHAR, JULA TERA JULAUN)","NO ONE IS HERE FOR US, WHOM SHOULD I CALL..\nCOME TO ME ASGHAR, I WILL ROCK YOUR CRADLE"
"","JULE KO DEKH KAR AB, BETA ME RORAHI HUN\nPYARA SA TERA CHEHRA DIN RAAT DEKHTI HUN","I CRY WHEN I SEE YOUR EMPTY CRADLE\nI SEE YOUR BEAUTIFUL FACE DAY AND NIGHT (ON THE SPEAR)"
"","KYA BEET TI HAI MUJHPAR KAISE TUJHE BATAUN\n(GODI ME AAWO ASGHAR, JULA TERA JULAUN)","I CAN’T EVEN TELL YOU, WHAT GOES THROUGH MY HEART.\nCOME TO ME ASGHAR, I WILL ROCK YOUR CRADLE"
"","DARYA KE PAAS BHI TU, SEHROZ KA THA PYAASA\nPAANI KE BADLE BETA, IK TEER TUNE KHAAYA","WE WERE SO CLOSE TO THE RIVER, YET YOU WERE THIRSTY\nINSTEAD OF WATER, THEY GAVE YOU AN ARROW"
"","PAANI KE SAATH AB MEI, KAISE NAZAR MILAAWU(N)\n(GODI ME AAWO ASGHAR, JULA TERA JULAUN)","NOW HOW DO I EVEN LOOK AT WATER (WITHOUT THINKING OF YOUR THIRST)\nCOME TO ME ASGHAR, I WILL ROCK YOUR CRADLE"
"","KYA BEZUBAAN BACHE, JAATE HAI SUWE MAQTAL\nPATHAR DILO(N) SE SAARA, HAAYE BHARA HAI KARBAL,","DO BABIES GO FIGHT ON THE BATTLEFIELD?\nTHE BATTLEFIELD IS FILLED WITH HEARTLESS ENEMIES"
"","LOT AAWO MERE BETE, KAISE TUJHE MANAAWU(N)\n(MAAN KEHTI THI ASGHAR MERE GHAR LOT KE AANAA)","MOTHER KEEPS ASKING YOU TO COME BACK HOME O ALIASGHAR\nPLEASE COME BACK TO ME MY CHILD, HOW ELSE DO I IMPLORE?"
"","THI AAG KI ZAMI(N) AUR, THI PYAAS KI WO SHIDDAT\nKIS HAAL ME HUWI THI, BETA TERI SHAHADAT,","THE LAND WAS BURNING HOT, THE THIRST UNBEARABLE\nUNDER SUCH UNFORTUNATE CONDITIONS, YOU EXPERIENCED YOUR MARTYDOM"
"","YE BAAT JANTI HU(N), SAYE ME KAISE JAUN\n(GODI ME AAWO ASGHAR, JULA TERA JULAUN)","HOW DO I EVER GO UNDER SHADE, (KNOWING YOU WERE UNDER SCORCHING HEAT?)\nCOME TO ME ASGHAR, I WILL ROCK YOUR CRADLE"
