"line id verse number","arabic text","english translation text"
"","HAAYE ZAINAB","HAAYE ZAINAB"
"","KYA DEKHTI HAI SUGHRA\nZAINAB KE AANSUON ME\nMANZAR HAI KARBALA KA\nZAINAB KE AANSUON ME","WHAT CAN SUGRA SEE IN ZAINAB’S TEARS\nSCENES OF KARBALA ARE EVIDENT IN ZAINAB’S TEARS"
"","BARCHI KA ZAKHM TAZA\nTA ZINDAGI RAHEGA\nAKBAR KA HAI KALEJA\nZAINAB KE AANSUON ME","AKBAR’S HEART IS EMBLAZONED IN ZAINAB’S TEARS\nTHE WOUND OF AKBAR’S CHEST WILL REMAIN FRESH FOREVER"
"","KYA DEKHTI HAI SUGHRA\nZAINAB KE AANSUON ME\nMANZAR HAI KARBALA KA\nZAINAB KE AANSUON ME","WHAT CAN SUGRA SEE IN ZAINAB’S TEARS\nSCENES OF KARBALA ARE EVIDENT IN ZAINAB’S TEARS"
"","SUGHRA NAZAR UTHAAO\nQASIM KA HAAL DEKHO\nBIKHRA HUWA HAI LASHA\nZAINAB KE AANSUON ME","LOOK UP DEAR SUGHRA LOOK AT THE STATE OF QASIM\nHIS BODY IS IN LITTLE PIECES EVIDENT IN ZAINAB’S TEARS"
"","KYA DEKHTI HAI SUGHRA\nZAINAB KE AANSUON ME\nMANZAR HAI KARBALA KA\nZAINAB KE AANSUON ME","WHAT CAN SUGRA SEE IN ZAINAB’S TEARS\nSCENES OF KARBALA ARE EVIDENT IN ZAINAB’S TEARS"
"","AY DEEDAYE TASAWWUR\nTUJHKO DIKHAYI DEGA\nCHHOTA SA EK JHULA\nZAINAB KE AANSUON ME","FROM THE EYE OF IMAGINATION, YOU WILL SEE\nA LITTLE CRADLE OF ASGAR IN ZAINAB’S TEARS"
"","KYA DEKHTI HAI SUGHRA\nZAINAB KE AANSUON ME\nMANZAR HAI KARBALA KA\nZAINAB KE AANSUON ME","WHAT CAN SUGRA SEE IN ZAINAB’S TEARS\nSCENES OF KARBALA ARE EVIDENT IN ZAINAB’S TEARS"
"","ABBAS KE BURRIDAA\nLAASHE KI DAASTAAN HAI\nBEHTA HAI GHAM KA DARIYA ZAINAB KE AANSUON ME","THERE IS A STORY ABOUT THE MUTILATED BODY OF ABBAS\nRIVERS OF TEARS FLOW IN ZAINAB’S TEARS"
"","KYA DEKHTI HAI SUGHRA\nZAINAB KE AANSUON ME\nMANZAR HAI KARBALA KA\nZAINAB KE AANSUON ME","WHAT CAN SUGRA SEE IN ZAINAB’S TEARS\nSCENES OF KARBALA ARE EVIDENT IN ZAINAB’S TEARS"
"","ZINDAANE SHAAM ME HAI\nCHHOTI SI QABR LAIKIN\nMAUJOOD HAI SAKINA\nZAINAB KE AANSUON ME","IN THE PRISON OF SHAAM THERE IS A LITTLE GRAVE\nBUT SAKINA IS ALWAYS PRESENT IN ZAINAB’S TEARS"
"","KYA DEKHTI HAI SUGHRA\nZAINAB KE AANSUON ME\nMANZAR HAI KARBALA KA\nZAINAB KE AANSUON ME","WHAT CAN SUGRA SEE IN ZAINAB’S TEARS\nSCENES OF KARBALA ARE EVIDENT IN ZAINAB’S TEARS"
"","AB AWN AUR MUHAMMAD\nBHI YAAD AA RAHE HAIN\nZAINAB KE AANSUON ME\nHONE LAGA IZAFA","NOW SHE REMEMBERS AUN AND MOHAMMED\nHER GRIEF INCREASES AND ZAINAB’S TEARS FLOW MORE"
"","KYA DEKHTI HAI SUGHRA\nZAINAB KE AANSUON ME\nMANZAR HAI KARBALA KA\nZAINAB KE AANSUON ME","WHAT CAN SUGRA SEE IN ZAINAB’S TEARS\nSCENES OF KARBALA ARE EVIDENT IN ZAINAB’S TEARS"
"","SAB DEKHLEIN MADINA\nZULMO SITAM KA MANZAR\nHAI SHAAM AUR KUFA\nZAINAB KE AANSUON ME","THE SCENE OF OPPRESSION AND CRUELTIES WITNESS O MADINA\nATROCITIES OF SHAAM AND KUFA ARE EVIDENT IN ZAINAB’S TEARS"
"","KYA DEKHTI HAI SUGHRA\nZAINAB KE AANSUON ME\nMANZAR HAI KARBALA KA\nZAINAB KE AANSUON ME","WHAT CAN SUGRA SEE IN ZAINAB’S TEARS\nSCENES OF KARBALA ARE EVIDENT IN ZAINAB’S TEARS"
"","SHABBIR PESHE DAWAR\nJAYENGE SAATH LEKAR\nBHEEGA HUA AMAMA\nZAINAB KE AANSUON ME","SHABBIR WILL PRESENT HIMSELF IN THE COURT OF ALLAH\nWITH HIS OWN TURBAN, DRENCHED IN ZAINAB'S TEARS"
"","BE PARDAGI KA AALAM\nKAISE ADEEL LIKHE\nKHUD DEKHLE ZAMANA\nZAINAB KE AASUON ME","HOW SHALL ADEEL (POET) DEPICT THE SNATCHING OF THE VEILS\nLET THE WORLD WITNESS THE SCENE IN ZAINAB'S TEARS"
"","KYA DEKHTI HAI SUGHRA\nZAINAB KE AANSUON ME\nMANZAR HAI KARBALA KA\nZAINAB KE AANSUON ME","WHAT CAN SUGRA SEE IN ZAINAB’S TEARS\nSCENES OF KARBALA ARE EVIDENT IN ZAINAB’S TEARS"
