"line id verse number","arabic text","english translation text"
"","HAYE CHALLIYAN, CHALLIYAN SHAAM DEY RAAWAN NU, BEHNA DARD SATHAIYAAN","THE DEVASTATED SISTERS ARE ON THEIR WAY TO SHAAM"
"","VEERAN DIYAN LASHAAN TEY, PAA RASIYAN ROVAN KALLIYAN, ZAHRA DHIYAN JAIYAAN","THE DAUGTHERS OF ZAHRA (S.A) ARE CHAINED AS THEY WALK PAST THE BODIES OF THEIR BROTHERS"
"","HAYE CHALLIYAN, CHALLIYAN SHAAM DEY RAAWAN NU, BEHNA DARD SATHAIYAAN","THE DEVASTATED SISTERS ARE ON THEIR WAY TO SHAAM"
"","HAR BIBI NEY ALWADI KEH KAY, LAASH ABBAS TEY AY VAIN KEETA\nMUKH SARAY MAAN GAYE, GHAZI TERAY BAAJO CHADRAN, AA SHIMMR NEY LAIYAAN","EVERY BIBI HAS BID FAREWELL AND WALKED PAST THE BODY OF ABBAS (AS),\nNOW THAT HE HAS GONE, SO HAS THEIR PRIDE AND JOY, SHIMR HAS TAKEN AWAY THEIR VEILS."
"","HAYE CHALLIYAN, CHALLIYAN SHAAM DEY RAAWAN NU, BEHNA DARD SATHAIYAAN","THE DEVASTATED SISTERS ARE ON THEIR WAY TO SHAAM"
"","AY NABI ZAADIYAN NEY PARDEY LAI, MU LUKAYA AY NAAL VAALAN DEY, QISMAT DIYAN PALLIYAN NEY, SIR VAALAN DEY PARDAY LAI, SIR MITTIYAN NEY PAIYAAN","THE PROPHET’S (SAW) DAUGTHERS WHO WERE RAISED IN THE PUREST HOUSEHOLD HAVE COVERED THEIR FACES WITH DUST."
"","HAYE CHALLIYAN, CHALLIYAN SHAAM DEY RAAWAN NU, BEHNA DARD SATHAIYAAN","THE DEVASTATED SISTERS ARE ON THEIR WAY TO SHAAM"
"","AA GAIYAN QAID HOKAY SHAAM DEY WICH, NAAL LEH KAY BEEMAR QAIDI NU, PUTRAAN NU VAAR GAIYAAN, NANAY DEY DEEN TON AINAH, CHADRAAN VI LUTAIYAAN","THEY ENTER SHAAM WITH AN AILING PRISONER,\nCOVERING THEIR CHILDREN AND PROTECTING THEIR GRANDFATHER’S RELIGION."
"","HAYE CHALLIYAN, CHALLIYAN SHAAM DEY RAAWAN NU, BEHNA DARD SATHAIYAAN","THE DEVASTATED SISTERS ARE ON THEIR WAY TO SHAAM"
"","WICH RAWAAN SAKINA ROH ROH KAY, NEEL RUKHSAAR TEY VAHAANDI AY, HAR QADAM QADAM MUR KAY, GHAZI DI SAANG NU TAK KAY, DEYNDI AY DHUHAIYAAN","WITH A BRUISED CHEEK, SAKINA (AS) CONSTANTLY TURNS AROUND TO LOOK AT HAZRAT ABBAS’ (AS) HEAD ON THE SPEAR."
"","HAYE CHALLIYAN, CHALLIYAN SHAAM DEY RAAWAN NU, BEHNA DARD SATHAIYAAN","THE DEVASTATED SISTERS ARE ON THEIR WAY TO SHAAM"
"","AKH DA AY BEEMAR GHASH KAHDAH. KEEWEIN AKHIYAN CHON KHOON RUK JAAVEY, PHUPPIYAN NU TAKEYA AY, DARBAARAN DEY WICH KHARIYAN, HAI NAAL SIPAIYAAN","THE ONE WHO WAS ILL AND WEAK CRIED 'HOW CAN I STOP MY TEARS OF BLOOD, WHEN I CAN SEE MY AUNTS STANDING IN THE COURT OF YAZID"
"","HAYE CHALLIYAN, CHALLIYAN SHAAM DEY RAAWAN NU, BEHNA DARD SATHAIYAAN","THE DEVASTATED SISTERS ARE ON THEIR WAY TO SHAAM"
