"line id verse number","arabic text","english translation text"
"","HAI KARBOBALA KI YE SADA\nHAYE YA HUSSAIN","O’ HUSSAIN!, KARBALA CRIES OUT"
"","ASGHAR KE GALE PE TEER LAGA\nAKBAR KE KALEJE ME NEZA\nABBAS KE BHI BAZU HAIN JUDA\nPAMAAL BADAN QASIM KA HUWA","ASGHER WAS STRUCK WITH AN ARROW\nTHERE IS A DAGGER IN AKBAR’S CHEST\nABBAS’ HANDS WERE SEVERED\nQASIM’S BODY WAS TRAMPLED UPON"
"","HAI KARBOBALA KI YE SADA\nHAYE YA HUSSAIN","O’ HUSSAIN!, KARBALA CRIES OUT"
"","BEHAAL SHAHE WALA KI BAHAN\nBHAYI KO NAHI DE PAAYI KAFAN\nPARDES ME UJRA SAARA CHAMAN\nZAINAB KE LABON PER THA NOHA","THE SISTER OF HUSSAIN IS IN TROUBLE\nSHE COULDN’T ENSHROUD HER BROTHER\nIN UNKNOWN LANDS, THE WHOLE FAMILY WAS DESTROYED\nZAINAB KEPT LAMENTING"
"","HAI KARBOBALA KI YE SADA\nHAYE YA HUSSAIN","O’ HUSSAIN!, KARBALA CRIES OUT"
"","IBNE HAIDER IBNE ZAHRA\nMABAYN E ZAMEEN O ZEEN RAHA\nKHANJAR SE KATA PYAASE KA GALA\nGHORO SE BADAN PAMAAL HUWA","SON OF HAIDER, SON OF ZAHRA\nWAS BETWEEN THE SADDLE AND THE GROUND\nTHE THIRSTY’S NECK WAS SEVERED\nTHE BODY WAS TRAMPLED UPON BY HORSES"
"","HAI KARBOBALA KI YE SADA\nHAYE YA HUSSAIN","O’ HUSSAIN!, KARBALA CRIES OUT"
"","BIKHRE HAI KAHIN TOOTE KUZE\nSEHROZ KE BACHE HAIN PYASE\nSADAAT KE JALTE HAIN KHAIME\nKHAYMON SE UTHA HAI SHORE BUKA","BROKEN FLASKS ARE SCATTERED\nTHE CHILDREN HAVE BEEN THIRSTY FOR THREE DAYS\nTHE TENTS OF THE FAMILY ARE BURNING\nFROM THE TENTS, THERE IS A CRY COMING"
"","HAI KARBOBALA KI YE SADA\nHAYE YA HUSSAIN","O’ HUSSAIN!, KARBALA CRIES OUT"
"","AWAAZ KISE DEGI ZAINAB\nWALLAH QAYAMAT KI HAI YEH SHAB\nIMDAAD KO AAWO SHAHE ARAB\nBHAAYI KA UTHANA HAI LASHA","WHO WILL ZAINAB CALL?\nBY GOD! THIS IS QAYAMAT\nCOME TO OUR AID, O’ KING OF THE ARABS\nI NEED TO LIFT THE BODY OF MY BELOVED BROTHER"
"","HAI KARBOBALA KI YE SADA\nHAYE YA HUSSAIN","O’ HUSSAIN!, KARBALA CRIES OUT"
"","HAI KON YATEEMA MAQTAL ME\nKYA DHOONDH RAHI HAI JUNGAL ME\nRUKHSAAR KA KHOON HAI AANCHAL ME\nJALTA HAI SAKINA KA KURTA","WHO IS THE ORPHAN IN THE BATTLEFIELD\nWHAT IS SHE LOOKING FOR?\nTHE BLOOD FROM HER EARS IS ON HER DRESS\nHER DRESS IS ON FIRE"
"","HAI KARBOBALA KI YE SADA\nHAYE YA HUSSAIN","O’ HUSSAIN!, KARBALA CRIES OUT"
"","SALMAN O KARIM PARHO NOHA\nSHABBIR KA MATAM HO BARPA\nAAYI HAI PAE PURSA ZAHRA\nDENA HAI BAHATAR KA PURSA","THE LAMENTATION OF HUSSAIN SHOULD TAKE PLACE\nZAHRA HAS COME TO RECEIVE YOUR CONDOLENCES\nCONSOLE HER FOR THE LOSS OF THE 72"
"","HAI KARBOBALA KI YE SADA\nHAYE YA HUSSAIN","O’ HUSSAIN!, KARBALA CRIES OUT"
