"line id verse number","arabic text","english translation text"
"","HAI TERI WAFAON KI AJAB GHAZI KAHANI","TALES OF YOUR LOYALTY OH ABBAS ARE INDESCRIBABLE"
"","BACHPAN PEH SAKINA KAY FIDA KAR DI JAWANI","YOU SACRIFICED YOUR YOUTH FOR THE SAKINA’S CHILDHOOD"
"","TU FATIMA ZAHRA KI, DUAON KA SILA HAI\nABBAS TERA NAAM HI, ZAINAB KI RIDA HAI\nAB TAK TERA MAMNOON HAI, ISLAM KA BANI","YOU ARE THE RESULT OF BIBI ZAHRA’S DUA\nJUST YOUR NAME ABBAS, IS THE HIJAB FOR ZAINAB\nTHE RELIGION OF ISLAM IS STILL INDEBTED TO YOUR SACRIFICE"
"","HAI TERI WAFAON KI AJAB GHAZI KAHANI","TALES OF YOUR LOYALTY OH ABBAS ARE INDESCRIBABLE"
"","ZAHRA KI LAHAD KAAMPI, HAIDER NAY NAJAF CHHORA\nRO RO KAY YEH SHAH BOLAY, MERI KAMAR KO BHI TORA\nJAB KHOON MAIN TAR DEKHI, GHAZI KI PAYSHANI","THE GRAVE OF BIBI ZAHRA SHUDDERED AND IMAM ALI LEFT NAJAF\nIMAM HUSSAIN CRIED OUT THAT MY BACKBONE HAS BEEN BROKEN\nWHEN HE SAW ABBAS’ HEAD DROWNED IN BLOOD"
"","HAI TERI WAFAON KI AJAB GHAZI KAHANI","TALES OF YOUR LOYALTY OH ABBAS, ARE INDESCRIBABLE"
"","RONAY KAY LIYE MOLA, KYA BAAT YEH KAM HAI\nKITNA TUJHE MASOOMO KI, HAYE PYAAS KA GHAM HAY\nDARIYA PEH KIYA KABZA, PIYA PHIR BHI NA PAANI","IS THIS REASON NOT ENOUGH TO CRY FOR, OH MOLA ABBAS?\nTHAT YOUR GRIEF IS FOR THE THIRST OF MANY INNOCENT ONES\nYOU TOOK CONTROL OF THE RIVER, YET YOU STILL DID NOT DRINK"
"","HAI TERI WAFAON KI AJAB GHAZI KAHANI","TALES OF YOUR LOYALTY OH ABBAS, ARE INDESCRIBABLE"
"","AB KAUN BACHAYEGA, MERAY SAR KI RIDA GHAZI\nSAR PEET KAY KEHTI THI, YEH ZAHRA-E-SAANI\nKIS TARHA SEH AB JAONGI, MAY SHAAM BATA GHAZI","NOW WHO WILL SAVE MY VEIL OH ABBAS?\nHOW WILL I GO TO SHAAM, YOU TELL ME OH ABBAS?\nZAINAB WAS SAYING THESE WORDS AS SHE BEAT HER HEAD"
"","HAI TERI WAFAON KI AJAB GHAZI KAHANI","TALES OF YOUR LOYALTY OH ABBAS, ARE INDESCRIBABLE"
