"line id verse number","arabic text","english translation text"
"","HASHR MEIN RANG LAYEGA KHUNE SHAHIDA DEKHNA\nAYENGI JAB FATEMA HAAL-E- PARESHAN DEKHNA","THE VALUE OF THE BLOOD OF THE MARTYRS WILL BE SHOWN ON DAY OF JUDGEMENT\nYOU WILL SEE THE STATE OF SADNESS WHEN BIBI FATEMA (A.S) WILL COME"
"","ROO BARU BABA KAY JAB KHATOON JANNAT E AYENGEE\nKHALI JOLI SARWAR-E- KONAIN KO DEKHLAI GEE\nBIL YAKEEN THARRAYEGA\nMEHSHAR KA MAIDAN DEKHNA","WHEN THE LADY OF PARADISE WILL BE FACE-TO-FACE WITH HER FATHER\nSHE WILL HER SHOW EMPTY LAP TO HER FATHER (SAW)\nFOR SURE, THE PLAINS OF JUDGEMENT DAY WILL TREMBLE, YOU SHALL SEE"
"","HASHR MEIN RANG LAYEGA KHUNE SHAHIDA DEKHNA\nAYENGI JAB FATEMA HAAL-E- PARESHAN DEKHNA","THE VALUE OF THE BLOOD OF THE MARTYRS WILL BE SHOWN ON DAY OF JUDGEMENT\nYOU WILL SEE THE STATE OF SADNESS WHEN BIBI FATEMA (A.S) WILL COME"
"","RAKHDIYA BARCHI NE AKBER KA KALEJA CHEER KE,\nRUKH BADAL DALE HAI UMMAT NE TERI TASWEER KE,\nMALIKE KAWSAR ZARAA\nUMMAT KE EHSAN DEKHNA","THE SPEAR LEFT AKBAR'S LIVER IN A PIERCED STATE\nTHE MUSLIM NATION HAS DISFIGURED YOUR RESEMBLANCE\nO MASTER OF THE FOUNTAIN OF KAUSAR\nWITNESS, HOW THE UMMAH HAS REPAID US"
"","HASHR MEIN RANG LAYEGA KHUNE SHAHIDA DEKHNA\nAYENGI JAB FATEMA HAAL-E- PARESHAN DEKHNA","THE VALUE OF THE BLOOD OF THE MARTYRS WILL BE SHOWN ON DAY OF JUDGEMENT\nYOU WILL SEE THE STATE OF SADNESS WHEN BIBI FATEMA (A.S) WILL COME"
"","ASGARE MASOOM KE LAB PAR SAWAALE AAB HAI,\nBOOND PAANI KE LIYE WO KIS KADAR BETAB HAI,\nNEHR SE PAANI NAHI\nDEYTAY MUSALMAN DEKHNA","ON THE LIPS OF THE INNOCENT ASGAR IS A REQUEST FOR WATER\nHOW RESTLESS IS HE FOR A DROP OF WATER\nTHE MUSLIMS DO NOT GIVE WATER FROM THE RIVER, YOU SHALL WITNESS"
"","HASHR MEIN RANG LAYEGA KHUNE SHAHIDA DEKHNA\nAYENGI JAB FATEMA HAAL-E- PARESHAN DEKHNA","THE VALUE OF THE BLOOD OF THE MARTYRS WILL BE SHOWN ON DAY OF JUDGEMENT\nYOU WILL SEE THE STATE OF SADNESS WHEN BIBI FATEMA (A.S) WILL COME"
"","ZAINAB O KULSOOM SAY KEHTA THA SHIMR E BAD GOHAR\nSHAAM MEIN JAWONGE NANGE SAR PHIRONGI DAR BADAR,\nKARBELA KE BAAD AB\nTAREEK ZINDAAN DEKHNA","SHIMR THE WRETCHED USED TO SAY TO ZAINAB AND KULSOOM\nYOU WILL BE PARADED THROUGH THE STREETS OF DAMASCUS, UNVEILED FROM PLACE TO PLACE\nAFTER KARBALA, NOW\nYOU SHALL WITNESS THE DARK PRISON"
"","HASHR MEIN RANG LAYEGA KHUNE SHAHIDA DEKHNA\nAYENGI JAB FATEMA HAAL-E- PARESHAN DEKHNA","THE VALUE OF THE BLOOD OF THE MARTYRS WILL BE SHOWN ON DAY OF JUDGEMENT\nYOU WILL SEE THE STATE OF SADNESS WHEN BIBI FATEMA (A.S) WILL COME"
"","MAARTA HAI AB TAMACHE JO SAKINA KO LAEEN, KAANO SE BACHI KE GOHAR KHENCHA HAI SHIMRE LAEEN, BEH RAHA HAI KHOON SAB KANO SE USKE DEKHNA","THE OPPRESSOR IS SLAPPING SAKINA, SHIMR IS PULLING THE EARINGS FROM HER EARS, LOOK HOW THE BLOOD IS FLOWING FROM THE EARS OF SAKINA"
