"line id verse number","arabic text","english translation text"
"","KEHTI THI YE MAA KHOON BHARI MAIYAT SAY LIPAT KAR\nHAYE HAYE ALI AKBAR, HAYE HAYE ALI AKBAR.","HIS MOTHER KEPT SAYING WHILE ATTACHED TO THE BODY SOAKED IN BLOOD\nO MY ALI AKBAR, O MY ALI AKBAR."
"","ARMAN THA PEHNAWOON GI POSHAK SHAHANI\nAFSOOS KE RAAS AAYI NA TUJH KU YEH JAWANI\nKAISA THA MUQADDAR, HAYE HAYE ALI AKBAR.","I HAD A WISH TO DRESS YOU IN A GRAND MANNER\nBUT SADLY YOUR YOUTH WAS SNATCHED AWAY FROM YOU\nALAS! WHAT A DESTINY, O MY ALI AKBAR"
"","AUR GAISUWOON WALA HAI MERA KHOO(N) MAIN NAHAYA\nKURBAN HO MAADAR, HAYE HAYE ALI AKBAR.","ATHARA BARAS PAAL KAY PARWAN CHARHAYA\nEIGHTEEN YEARS DID I NURTURE AND RAISED YOU\nYET MY YOUNG LAD, WITH HANDSOME LOCKS OF HAIR, IS BATHED IN BLOOD\nMAY YOUR MOTHER BE SACRIFICED FOR YOU, O ALI AKBAR"
"","BAS EK JHALAK SEHRAY KI SUGHRA KO DHIKA LOON\nBAICHAIN THI KHWAHAR, HAYE HAYE ALI AKBAR.\nITNA TO ZARA THEHRO TUMHAI DHULHA BANA LOON","PLEASE WAIT FOR SOMETIME SO THAT I CAN SEE YOU AS A GROOM\nALLOW ME TO SHOW SUGHRA A GLIMPSE OF YOU.\nYOUR SISTER IS WORRIED, O MY ALI AKBAR"
"","MAA TERI JUDAYI MEIN BHALA KAISAY JEEYE GI\nMAR JAAYEGI SUGHRA JO KHABAR TERI SUNAY GI\nAB KYA KAROON DILBER, HAYE HAYE ALI AKBAR.","HOW WILL YOUR MUM SURVIVE WHEN YOU ARE GONE\nSUGHRA WILL DIE WHEN SHE HEARS THIS NEWS\nWHAT I SHOULD DO MY SWEET HEART, O MY ALI AKBAR"
"","TEHRO KAY MEIN ATHARWEEN MANNAT TO BADHA LOON\nPHIR LAY KAY BALAYEIN TUJHAY JEENAY KI DUA DOON\nSADQAY HO AY MAADAR, HAYE HAYE ALI AKBAR","WAIT TILL I FULFILL MY EIGHTEENTH PROMISE\nI SHALL TAKE ALL YOUR TRIBULATIONS AND PRAY FOR YOUR LIFE\nMAY YOUR MOM BE SACRIFICED FOR YOU, O MY ALI AKBAR"
"","PEHLAY TO EK AAWAZ PAY UTH JATAY THAY BETA\nAB ETNI SAADA’OON PAY BHI PEHLOO NAHI BADLA\nKYA HO GAYA DILBER, HAYE HAYE ALI AKBAR.","EARLIER, YOU WOULD WAKE UP AS SOON AS YOU WOULD HEAR ME\nWHEREAS NOW, DESPITE CALLING YOU NUMEROUS TIMES, YOU ARE NOT RESPONDING\nWHAT HAPPENED TO YOU O MY SWEET HEART, O MY ALI AKBAR"
"","TUM HICHKIYAAN LAY LAY KAY JO DAM TAUR RAHAY HO\nMOO MAA SAY HAMAISHA KAY LIYE MOUR RAHAY HO\nKYON ROOTAY HO DILBER, HAYE HAYE ALI AKBAR","WHILST YOU BREATHE YOUR LAST BREATH AND HICCUP (FROM THIRST) AT THE SAME TIME,\nYOU ARE DEPARTING FROM YOUR MOTHER FOREVER,\nWHY DO YOU CRY O MY SWEET HEART, HAYE HAYE ALI AKBAR"
"","AAYE JO HAMEIN LOOTNAY KHAIMAY MEIN SITAMGAR\nMAA DAY GI SADAAYEIN ALI AKBAR, ALI AKBAR\nCHIN JAAYAY GI CHAADAR, HAYE HAYE ALI AKBAR.","WHEN THE ENEMIES COME TO TAKE OUR BELONGINGS FROM THE TENT\nYOUR MOTHER WILL CALL OUT SAYING O MY ALI AKBAR, O MY ALI AKBAR\nMY VEILS WILL BE SNATCHED AWAY, O MY ALI AKBAR"
"","JAB KOI JAWAN LAASH NAZAR AATI HAI MAHSHAR\nEK YAAD SUWAY KARBOBALA JAATI HAI MAHSHAR\nDIL ROTA HAY KEH KAR, HAYE HAYE ALI AKBAR","WHENEVER I SEE ANY YOUNG PERSON’S DEAD BODY\nMY THOUGHTS REACH OUT TO KARBALA\nMY HEART CRIES FOR YOU,O MY ALI AKBAR"
"","KEHTI THI YEH MAA KHOON BHARI MAYYAT SE LIPAT KAR","THE MOTHER OF ALI AKBER (A.S) LAMENTED AT HIS BODY COVERED WITH BLOOD!"
"","ITNA TO ZARA TEHRO TUMHEIN DULHA BANALOON\nBAS EK JHALAK SEHRE KI SUGHRA KO DHIKALOON\nBECHAIN THI QAAHAR HAAY HAAY ALI AKBAR","OH ALI AKBAR! OH ALI AKBAR!\nAT LEAST WAIT SO I CAN DRESS YOU AS A GROOM,\nSO I MAY SHOW YOUR SISTER A GLANCE OF YOU ALL ADORNED,\nYOUR SISTER IS RESTLESS FOR THIS."
"","ATTHARA BARAS PAAL KE PARWAAN CHADAYA\nWO GAYSUWON WALA HAI MERA KHOON MAY NAHAAYA\nYE KYA HUA DILBAR HAAY HAAY ALI AKBAR","OH ALI AKBAR! OH ALI AKBAR!\nI BROUGHT YOU UP FOR 18 YEARS INTO THE PRIME OF YOUTH\nAND NOW YOU ARE BATHED IN BLOOD,\nWHAT IS THE POINT OF MY EXISTENCE FROM NOW ON?"
