"line id verse number","arabic text","english translation text"
"","HAYE ZAINAB LUT RAHI HE, AY AZEEZO TUM KAHA HO","WOE! ZAINAB IS BEING TROUBLED, OH MY BELOVED WHERE ARE YOU"
"","SOOE KUFA JARAHI HE, AY AZEEZO TUM KAHA HO","SHE HEADS TOWARDS KUFA, OH MY BELOVED WHERE ARE YOU"
"","MERE HASHIM KE JAWAANO, ZULM SE HUM KO BACHAYE","OH THE YOUTH OF BANI HASHIM, PROTECT US FROM THESE ATROCITIES"
"","NOK E NEZA SAJ CHUKI HAI BIBIYO KI WO RIDAIN","THE SPEARS HAVE NOW BEEN DECORATED WITH THE WOMENS’ VEILS"
"","HUM PE HAR SHE RORAHI HE, AY AZEEZO TUM KAHA HO","AND NOW THE WHOLE WORLD CRIES FOR US, OH MY BELOVED WHERE ARE YOU"
"","HUM KO DURRON SE BACHAYE, KOI EK TO SUNLE NOHA","PROTECT US FROM THE WHIPS, SOMEONE HEAR OUR CRIES"
"","DASHTE GHURBAT KAR RAHI HE AAJ HAM PER KHUD BHI GIRYA","EVEN OURSADNESS TODAY CRIES ON US"
"","MERI DUNIYA LUT RAHI HAI, AY AZEEZO TUM KAHA HO","MY WORLD HAS BEEN SNATCHED AWAY FROM ME, OH MY BELOVED WHERE ARE YOU"
"","JISKO MEHMIL ME SAJA KAR LAYE THE, ME HU WO ZAINAB","AND WHO WAS BROUGHT WITH SUCH A LOFTY STATUS COVERED, THIS IS ME ZAINAB"
"","APNI NIGRANI ME RAKH KAR LAYE THE, MAI HU WO ZAINAB","AND WHO WAS BROUGHT UNDER WATCHFUL EYES, THIS IS ME ZAINAB"
"","AAJ TANHA HOGAYI HAI, AY AZEEZO TUM KAHA HO","TODAY I HAVE BECOME LONELY, OH MY BELOVED WHERE ARE YOU"
"","MERY BABA, MERE BABA, SHIMR MUJH KO HE DARATA","OH MY FATHER MY FATHER, SHIMR SCARES ME"
"","SOOYE MAQTAL RO KE DETI, HE SADA MERI SAKINA","LOOKING TOWARDS THE BATTLEFIELD, CRIES MY SAKINA"
"","KHAAK PE SO NA SAKI HAI, AY AZEEZO TUM KAHA HO","SHE IS NOT ABLE TO SLEEP O THE SCORCHING EARTH, OH MY BELOVED WHERE ARE YOU"
"","BE KAJAWA UNTUN PE HE, AALE TAHA WA HUSSAINA","ON THE BARE BACKS OF CAMELS IS THE FAMILY OF THE PROPHET AND HUSSAIN"
"","HAATH BANDE QAID HO KER, JAA RAHE HAI WA GHAREEBA","WITH HANDS TIED LIKE PRISONERS THEY ARE TAKEN"
"","AAJ ZAHRA RO RAHI HAI, AY AZEEZO TUM KAHA HO","TODAY EVEN ZAHRA CRIES, OH MY BELOVED WHERE ARE YOU"
"","AALE EHMAD SEH NA PAAYENGE SITAM KI TAZIYANE","FROM THE FAMILY OF THE PROPHET WE WILL NOT RECEIVE COFFINS AMD MOURNERS"
"","PHOOL SE CHEHRUN PE PARHTEY SHIMR KE WO TAMACHE","AND ON SUCH YOUTHFUL FACES, SHIMR HAS SLAPPED THEM"
"","BE BASI AB CHA GAYI HAI, AY AZEEZO TUM KAHA HO","HOPELESSNESS HAS NOW BEFALLEN US, OH MY BELOVED WHERE ARE YOU"
"","JAISE MAQTAL AYA SHAHID, KHUD KO BIBI NE GIRAYA","AND WHEN THEY COME BACK TO THE BATTLEFIELD SHAHID, ZAINAB THROWS HERSELF TO THE GROUND"
"","RO KE MOSHI BINTE ZAHRA, NAY YE MAQTAL ME PUKARA","SHE CRIES MOSHI, THE DAUGHTER OF ZAHRA, WEEPS ON THE BATTLEFIELD"
"","DEKH ZAINAB AGAYI HAI, AY AZEEZO TUM KAHA HO","LOOK ZAINAB HAS NOW COME, OH MY BELOVED WHERE ARE YOU"
