"line id verse number","arabic text","english translation text"
"","IMTEHAAN-E-HUSAYN","INTRODUCTORY NOTE\nTHE POET IMAGINES THE CONVERSATION BETWEEN GOD AND THE ANGEL OF DEATH AT THE TIME OF IMAM HUSAYN'S MARTYRDOM"
"","KHUDA NE JAB MALAKUL MAUT KO YE IZN DIYA\nKE ROOHE HAZRAT-E-SARWAR NIKAAL KAR LE AA","WHEN GOD GAVE THE ANGEL OF DEATH THE ORDER\nTO RETRIEVE THE SOUL OF IMAM HUSAYN (A)"
"","RAHE KHAYAAL KE SHABBIR KO NA HO EEZA\nHUSAYN PEHLE HI ZAKHMO SE CHUR CHUR HUA","HE TOLD THE ANGEL TO BE MINDFUL NOT TO CAUSE SHABBIR ANY MORE PAIN\nHUSAYN IS ALREADY WOUNDED TO THE POINT OF BEING BROKEN INTO FRAGMENTS"
"","MALAK PUKARA YE MUJHSE NA HO SAKEGA KHUDA","THE ANGEL OF DEATH REPLIED\nI CANNOT DO THIS DEED MY GOD"
"","MAIN KIS TARHA SE NIKALOON BADAN SE JAAN-E-HUSAYN\nBOHAT HI SAKHT HE YA RAB YE IMTEHAN-E-HUSAYN","HOW DO I TAKE THE SOUL OF HUSAYN (A) FROM HIS BODY\nMY GOD THIS TRIAL OF HUSAYN IS ALREADY SO DIFFICULT"
"","LAGA HAI ZAKHM TABAR BEH RAHA HAI SAR SE LAHOO\nBHARE HAIN KHOON MEIN JAANE RASOOL KE GESU","HUSAYN HAS BEEN WOUNDED WITH AN AXE\nBLOOD IS GUSHING OUT OF HIS HEAD\nTHE PROPHET'S SON IS DRENCHED IN BLOOD"
"","QAREEB JAAKE RAKHUN DIL PE KIS TARAH QABOO\nKE IS LAHU MEIN TO HAI FATIMA KE DOODH KI BOO","HOW DO I KEEP MY HEART AT EASE WHEN I GO NEAR HUSAYN (A)\nWHEN I CAN SMELL THE FRAGRANCE OF FATIMA (A) IN HIS BLOOD"
"","MAIN PHIR IN ANKHON PE DHAAOON SITAM YE KYA HAI ZAROOR\nBICHAR KE WO ALI AKBAR SE HOGAYI BE-NOOR","HOW CAN I INFLICT PAIN ON HIS EYES\nWHICH HAVING LOST ALI AKBAR HAVE ALSO LOST THEIR SIGHT"
"","RIDA YE AAYI DAHAN SE NIKAAL JAAN-E-HUZOOR\nKAHA DAHAN MEIN TO KAANTE PADHE HAI RABBE GHAFOOR","CAME THE VOICE LIFT THE SOUL FROM THE BLESSED MOUTH\nHE SAID BUT THERE ARE THORNS IN THE MOUTH O MY FORGIVING LORD"
"","NIDA YE AAYI KE GARDAN SE KHAINCH JAAN INKI\nKAHA MEIN KYA KAHU GARDAN PE CHAL RAHI HAI CHURI","ALLAH'S CALL WAS TO TAKE IMAM'S SOUL FROM HIS NECK\nTHE ANGEL REPLIED WHAT CAN I SAY THERE IS A KNIFE SLAUGHTERING HIS NECK"
"","CHURI PAKAD KE YE CHILLATI HAY KOI BIBI\nNA ZIBHA KAR MERE BACCHE KO MAI DUA DOONGI","THERE IS A LADY WHO KEEPS GRABBING THE KNIFE WHILE SCREAMING\nDO NOT SLAUGHTER MY SON I WILL PRAY FOR YOU"
"","NIDA YE AAYI KE SEENE SE QABZ KAR LE JAAN\nKAHA WO TEERON SE CHALNI HAY EY MERE REHMAAN","ALLAH'S CALL WAS TO TAKE IMAM'S SOUL FROM HIS CHEST\nTHE ANGEL REPLIED HIS CHEST IS FILLED WITH ARROWS OH MERCIFUL LORD"
"","ABHI TO MAARKE BARCHI HATA THA EK SHAITAN\nAUR AB TO HAY TANE ZAANU-E-SHIMR YE QURAN","JUST NOW ONE SATAN HAS GOTTEN UP FROM HITTING HUSAYN WITH A SPEAR\nAND NOW THIS QURAN (IMAM HUSAYN) IS UNDER SHIMR'S KNEES"
"","RIDA YE AAYI KE MAZLOOMIYAT KE RUTBA SHANAS\nKAMAR SE KHAINCH LE SHABBIR KI JAAN BE WASWAAS\nKAHA MALAK NE TADAP KAR BADAL DO HASRATO YAAS\nKAMAR TO TOOT GAYI JAB SE MAR GAYE ABBAS","CAME THE VOICE O YOU WHO RECOGNIZES THE STAGES OF OPPRESSION\nFROM THE SPINE SEIZE THE SOUL OF SHABBIR AND DO NOT HESITATE\nCRIED THE SHIVERING ANGEL ALTER YOUR DIVINE WISH\nFOR THE BACK WAS SHATTERED WITH THE DEATH OF ABBAS"
"","FALAK SE TAB HUA ROOHUL AMEEN KA INME NUZOOL\nKAHA PUKAAR KE MOO DHAANP LO BARAAYE BATOOL\nPISAR KI LAASH PE KHOLENGI BAAL BINTE RASOOL\nSADA YE THI MALAKUL MAUT KI BA HUZNO MALOOL","THEN FROM THE SKIES THE TRUSTED SPIRIT DESCENDED TO THE ANGEL\nHE SAID COVER YOUR FACE O ANGEL FOR THE SAKE OF BATOOL\nFOR AT THE CORPSE OF HER SON THE PROPHET'S DAUGHTER WILL GRIEVE\nTHIS IS WHAT THE ANGEL OF DEATH SAID REPLETE WITH GRIEF AND SADNESS"
"","MUTEE-E-HUKM HU PAR FIKR YE HAY AY YAZDAAN\nHAR EK UZR HAY ZAKHMI LAGAUN HAATH KAHAN","GOD I AM BOUND BY YOUR ORDER HOWEVER THIS THOUGHT IMPEDES MY ACTION\nEVERY SINGLE BODY PART OF THE IMAM IS WOUNDED WHERE DO I PLACE MY HAND"
"","KHUDA PUKARA YE MUSHKIL KARENGE HUM ASAAN\nNA TU NIKAAL MERE AASHIQE GHAREEB KI JAAN","GOD REPLIED I WILL EASE THIS DIFFICULT TRIAL\nO ANGEL DO NOT TAKE THE SOUL OF MY POOR OPPRESSED BELOVED SERVANT HUSAYN (A)"
"","MAI KHUD NIKAAL RAHA HOON BADAN SE JAAN-E-HUSAYN\nKE KHATM HONE KO AB HAY YEH IMTEHAN-E-HUSAYN","I ALLAH MYSELF WILL EXTRACT THE SOUL FROM HUSAYN (A)'S BODY\nSO THAT THIS TRIAL OF HUSAYN (A) CAN COME TO AN END"
"","LAGA HAI ZAQME TABAR BEH RAHA HAI SAR SE LAHOO,\nBHARE HAI KHOON MAY JAANE RASOOL KE GAYSOO\nKHAREEB JAKE RAKHUN DIL PE KIS TARHA KHABOO,\nKE IS LAHOO MAY TO HAI FATEMA KE DOODH KI BOO","HE (A.S) IS SEVERELY INJURED AND BLOOD IS FLOWING FROM HIS HEAD,\nTHE HAIR OF THE BELOVED OF THE PROPHET IS COVERED IN BLOOD,\nHOW SHOULD I CONTROL MY EMOTIONS,\nWHEN I CAN SMELL THE FRAGRANCE OF FATIMA FROM HIM"
