"line id verse number","arabic text","english translation text"
"","KAISI YEH SHAAM AYEE AULAADE SAYYADA PAR","WHAT KIND OF NIGHT HAS COME UPON THE CHILDREN OF LADY ZAHRA?"
"","SAJJAD RO RAHE HAIN, ZAINAB SE MOON CHUPA KAR","SAJJAD WEEPS, HIDING HIS FACE FROM ZAINAB."
"","EK SAMT BE KAFAN HAI BHAI KA USKE LAASHA","ON ONE SIDE LIES HER BROTHER’S SHROUDED-LESS BODY,"
"","ABBAS KI BEHEN KA BAAQI RAHA NA PARDA","THE SISTER OF ABBAS HAS NO VEIL LEFT."
"","AB SOCHTI HAI ZAINAB MANGE KAFAN YA CHADAR","NOW ZAINAB WONDERS — SHOULD SHE ASK FOR A SHROUD OR A VEIL?"
"","BAAZU KAHAN PAREY HAIN LAASHA KAHAN PARA HAI","WHERE ARE THE ARMS LYING, WHERE DOES THE BODY LIE?"
"","ZAINAB KI BEBASI PAR GHAZI TARAP RAHA HAI","AT ZAINAB’S HELPLESSNESS, GHAZI IS RESTLESS."
"","ROTI HAI BEKASI BHI FARSH-E-AZA BICHA KAR","EVEN HELPLESSNESS ITSELF WEEPS, SPREADING A MAT OF MOURNING."
"","JO GHAR MEIN DO QADAM BHI PAIDAL NAHI CHALI HAI","SHE, WHO HAD NEVER TAKEN TWO STEPS OUTSIDE HER HOME,"
"","EK DIN MEIN WO HI ZAINAB ABBAS BAN GAYI HAI","IN ONE DAY, THAT VERY ZAINAB HAS BECOME ABBAS."
"","PEHRE PE AAGAYI HAI TANHA ALAM UTHA KAR","SHE HAS COME TO STAND GUARD, RAISING THE STANDARD ALONE."
"","SAJJAD SE LIPAT KAR KEHTI RAHI SAKINA","SAKINA CLUNG TO SAJJAD, SAYING AGAIN AND AGAIN,"
"","EHSAAS HO RAHA HAI ME HOGAI YATEEMA","'I FEEL AS THOUGH I HAVE BECOME AN ORPHAN.'"
"","ZALIM DARA RAHA HAI NAIZA DIKHA DIKHA KAR","THE TYRANT FRIGHTENS ME, WAVING HIS SPEAR."
"","LAASHON KE DARMIYAN WO BABA KO DHONDHTI HAI","AMONG THE CORPSES, SHE SEARCHES FOR HER FATHER,"
"","MOON APNA PEET KAR YE FARYAD KAR RAHI HAI","BEATING HER FACE, SHE CRIES OUT:"
"","QADMON MEIN HI SULA DO BABA MUJHE BULAKAR","'LAY ME TO SLEEP AT YOUR FEET, O BABA, CALL ME TO YOU.'"
"","JAB AGAYE NAJAF SE BATI KO MILNE BABA","WHEN BABA CAME FROM NAJAF TO MEET HIS DAUGHTER,"
"","ZAANO PAY RAKH KAY SAR YE KEHNE LAGI WO DUKHIYA","SHE PLACED HER HEAD ON HIS LAP AND SAID, SORROWFULLY:"
"","ZAINAB UJAR GAI HAI KARBOBALA BASA KAR","'ZAINAB HAS BEEN RUINED WHILE KARBALA WAS DEVASTATED.'"
"","KHAIMON KE SAATH JHULA BISTAR BHI JAL GAYA HAI","ALONG WITH THE TENTS, THE CRADLES AND BEDDING TOO WERE BURNT,"
"","NAMOOS-E-MUSTAFA KO BAGHI KAHA GAYA HAI","THE CHILDREN OF MUSTAFA HAVE BEEN CALLED REBELS."
"","LE JAYENGE SUBHA KO QAIDI HUME BANA KAR","BY MORNING, THEY WILL TAKE US AWAY AS PRISONERS."
"","GUZREGI KAISI YAWAR MAQTAL SE SHAHZAADI","HOW WILL THE PRINCESS PASS THROUGH THE BATTLEFIELD, O YAWAR?"
"","ABID NE RAAT MOMIN YE SOCH KAR GUZARI","ABID SPENT THE WHOLE NIGHT THINKING THIS."
"","ZAINAB KA NAAM LEGA ZALIM TO MUSKURAKAR","WHEN THE TYRANT WILL CALL ZAINAB’S NAME, HE WILL DO SO WITH A SMILE."
