"line id verse number","arabic text","english translation text"
"","KATLE SHABIR HUWE CHIN GAYI ZAINAB KI RIDA\nLUT GAYE AALE ABAA","SHABBIR HAS BEEN MURDERED, ZAINAB’S HIJAB HAS BEEN SNATCHED\nAHL-E-BAIT HAVE BEEN LOOTED,"
"","AAJ ATHARA BANI FATEMA KA KHUNN BAHA\nLUT GAYE AALE ABAA.","THE BLOOD OF EIGHTEEN SONS OF FATEMA FLOWED TODAY\nAHL-E-BAIT HAVE BEEN LOOTED,"
"","NEHR PAR BAZUE SAKAAYE HARAM KAATE GAYE","DUKH BARE NANA SAHE\nTHE ARMS OF THE ONE WHO QUENCHES THE AHL-E-BAIT’S THIRST HAVE BEEN SEVERED\nOUR GRANDFATHER BEARS IMMENSE PAIN"
"","BAAZUE SIBTE NABI SHEHRE DILAAWAR NA RAHA","THE ARMS OF THE FRIEND AND BRAVE LION OF THE PROPHET HAVE GONE"
"","LUT GAYE AALE ABAA","AHL-UL-BAIT HAVE BEEN LOOTED"
"","LUT GAYI HAZRATE ZAINAB KI KAMAI RANME\nGUL HUWE AADAME MAI\nDAAG SAIDANIYOKO AKBARE NAUSHAA KAMILA","LADY ZAINAB’S LIFE’S EFFORTS\nWERE LOOTED,\nLOST WAS THE FLOWER (SHE RAISED)\nTHE PAIN OF AKBAR WAS INFLICTED ON THE LADIES OF AHLE-BAIT"
"","LASHE ASGHAR KOLIYE DEWRIPE BAHALE TABAA\nSHAANE DI YE SAADA\nNANE MASUM KI GARDAN PE LAGA TEER JAFA","IN A STATE OF DISTRESS, CARRYING\nTHE BODY OF ASGHAR,\nIMAM CRIED OUT\nMY INNOCENT INFANT’S NECK HAS\nBEEN PIERCED BY A TYRANT’S ARROW"
"","SAR KHULE UNTHOPE SAIDAANIYA SAB SATH GAYI\nRAAHIYE SHAAM HUWI\nKOI PURSA NA MADAD GHAAR NA UNKA HII RAHA","WITH BARE HEADS ALL LADIES OF\nAHL-E-BAIT ARE BEING TAKEN ON\nCAMELS ON THEIR WAY TO SHAM,\nTHERE IS NO ONE LEFT TO CONSOLE\nOR HELP THEM"
"","DAAG LE KAR MAI BAHAT-TAR KA SUUE SHAAM GAYI\nTHI AJAB DARBADARI\nBERIYA PEHNE HUWE AABIDE BIMAR CHALAA\nLUT GAYE AALE ABAA.","ABID-E-BIMAR WALKED BOUND IN CHAINS\nGOING TOWARDS SHAM CARRYING THE PAIN OF SEVENTY TWO (MARTYRS)\nMY DISPLACEMENT FELT VERY STRANGE"
"","HIND NE AAKE YE SAJJAD SE ZINNDA MAI KAHA\nDIJIYE TAABIR BATA\nKHOON ME DUBA HUWA MAINE JO QURAN DEKHA","HIND ASKED SAJJAD IN THE DUNGEON\nEXPLAIN TO ME THE MEANING\nOF SEEING THE QUR’AN\nDRENCHED IN BLOOD"
