"line id verse number","arabic text","english translation text"
"","KIYA RAHA KHAIMON MAIN SHEH KAI AIK UDAASI REH GAYI","WHAT IS LEFT IN THE TENTS OF THE AHLULBAYTM (A.S.) APART FROM GRIEF"
"","SIRF RONAI KO MUHAMMAD KI NAWASI REH GAYI","BIBI ZAINAB WAS LEFT TO CRY FOR ALL THE MARTYRS OF KARBALA"
"","CHEENTA THE SHIMR CHADAR AUR ZAINAB BAAR BAAR\nAPNI CHADAR KAI MUHAFIZ KO BULATI REH GAYI","SHIMR SNATCHED THE VEIL OF ZAINAB (S.A)),\nAND ZAINAB (S.A.) KEPT CALLING OUT TO PROTECTOR OF HER VEIL"
"","KHOON DIL ABBAS KA SAB BEH GAYA RAN MAIN MAGAR\nDIL MAIN BAS AIK BAAT ZAINAB KI RIDA KI RAH GAYI","EVEN WHILE HAZRAT ABBAS (A.S.) LOST ALL HIS BLOOD ON THE BATTLEFIELD,\nHE KEPT THINKING ABOUT PROTECTING THE VEIL OF ZAINAB (S.A.)"
"","AI MUSALMANON TUMHARAI GHAIRATAIN KYA HO GAYI\nTUM TAMASHAEE THAI ZAINAB MUN CHUPATI REH GAYI","O MUSLIMS! WHAT HAPPENED TO YOUR HONOUR & DIGNITY,\nYOU KEPT WATCHING WHILE ZAINAB (S.A) WAS HIDING HER FACE"
"","QAID MAIN BAALI SAKINA KO MILA BABA KA SAR\nMUN PAI MUN RAKH KER JO SAOEE MAA JAGATI REH GAYI","IN THE PRISON WHEN SAKINA GOT THE HEAD OF HER FATHER,\nHER MOTHER KEPT TRYING TO WAKE HER UP WHILE SHE SLEPT WITH HER CHEEKS ON THE HEAD ON HER FATHER"
"","MADAR-E-ASGHER NA BAITHI SAAYAI MAIN ASGHER KAI BAAD\nSAAYAI MAIN AAYE TO ZINDA LAASH BAAQI REH GAYI","THE MOTHER OF ALI ASGHER DID NOT SIT IN THE SHADE AFTER HE WAS MARTYRED,\nONLY AFTER SHE PASSED AWAY WAS HER BODY BROUGHT INTO THE SHADE"
"","NEEL RUKHSAON KAI GHAZI KO DIKHATI REH GAYI","HAR TAMACHAI PER SAKINA MUN PER RAKH KAI NANAI HAATH\nEVERY TIME SAKINA WAS SLAPPED SHE PUT HER SMALL HANDS ON HER CHEEKS,\nSHE WANTED TO SHOW THE BRUISES TO HER UNCLE ABBAS (A.S.)"
"","KYA RAHA KHAIMON MEIN SHEH KE, EK UDASI REHGAYI\nSIRF RONE KO MOHAMMAD KI NAWAASI REHGAYI","NOTHING IS LEFT IN THE TENTS OF HUSSAIN EXCEPT SORROW\nALL THAT IS LEFT IS THE GRAND DAUGHTER OF THE PROPHET"
"","AY MUSLAMNAO TUMHARI GHAIRTAIN KYA HOGAYI\nTUM TAMASHAI THAY ZAINAB, MUN CHUPATI REHGAYI","OH MUSLIMS WHERE IS YOUR HONOR?\nYOU ARE SPECTATORS WHILE ZAINAB IS HIDING HER FACE"
"","NEEL RUKHSAARON KAY GHAZI KO DIKHATI REHGAYI\nHAR TAMACHE PAR SAKINA MUN PE RAKH KAR NANE HAATH","WITH EVERY STRIKE SAKINA, PUT HER LITTLE HANDS ON HER FACE\nSHE WAS LEFT SHOWING THE BRUISES TO HER UNCLE ABBAS AS"
