"line id verse number","arabic text","english translation text"
"","LA ILAHA ILLALLAH MUHAMMADIN RASOOL ALLAH KI LAAZAWAL DARSGAAH HUSSAIN HAI","THE NEVER DECLINING UNIVERSITY OF ‘LA ILAHA ILLALLAH MUHAMMADIN RASOOL ALLAH’ IS HUSSAIN"
"","NA JISKI KOI MISAAL HAI NA JISKI KOI NAZEER HAI, WOH BEMISAAL SHEHANSHA HUSSAIN HAI","THE ONE WHO DOESN’T HAVE ANYONE LIKE HIM, THAT UNIQUE EMPEROR IS HUSSAIN"
"","HUSSAIN LA ILAH KI ZINDAGI, HUSSAIN AMBIYA KI BANDAGI","HUSSAIN IS THE LIFE OF ISLAM;\nHUSSAIN IS THE LIFE OF ALL THE PROPHETS."
"","LA ILAH SE POOCH LO KE SAARI KAAINAAT MEIN SIRF BINA-E-LA ILAH HUSSAIN HAI","ASK ALLAH, IN THE ENTIRE UNIVERSE, THE SAVIOR OF ISLAM IS HUSSAIN."
"","HUSSAIN DEEN KA SHABAB HAI, HUSSAIN DARD KI KITAAB HAI,","HUSSAIN IS THE YOUTH OF RELIGION, HUSSAIN IS THE BOOK OF SUFFERING"
"","KAFAN KE BANND KHOL KAR BULAYA JISKO MAAN NE KHUD, WO FATIMA KA LADLA HUSSAIN HAI","DESPITE BEING SHROUDED, BIBI FATEMA, CALLED OUT TO HIM, THAT BELOVED OF FATIMA IS HUSSAIN"
"","TARAP CHUKI SHABEEH-E-MUSTAFA, MAGAR HUSSAIN HE DATTA HUA,","HAZRAT ALI AKBER TREMBLED BUT HUSSAIN WAS STEADFAST"
"","PISAR JAWAN KI LAASH PE HAI MUTMAIN KHARA RAHA YE WO KHALIL-E-KARBALA HUSSAIN HAI","STANDING CONTENT AT THE BODY OF HIS SON, THAT IBRAHIM OF KARBALA IS HUSSAIN"
"","APNE KHOON KA GHUSAL MILA, KAFAN HAI JISKA KHAAK-E-KARBALA","HIS GHUSL WAS DONE IN HIS OWN BLOOD, HIS KAFAN WAS THE SAND OF KARBALA"
"","DAFAN BEHAN NA KAR SAKI HAI DHOOP MEIN PARA RAHA YE WO GHAREEB-E-KARBALA HUSSAIN HAI,","BIBI ZAYNAB COULD NOT BURY HIM, HIS BODY LAY UNDER THE SUN, THAT LONELY MAN OF KARBALA IS HUSSAIN"
"","HARAM MEIN HASHR KA SAMA HUA, PHUPHI SE JAB SAKINA NE YE KAHA,","IT WAS LIKE THE DAY OF JUDGEMENT WHEN BIBI SAKINA TOLD HER AUNT"
"","MUJHE NA NEEND AATI HAI MAIN SOUN KISKE SEENE PAR KAHAN CHALA GAYA MERA HUSSAIN HAI,","I CANNOT SLEEP, ON WHOSE CHEST SHOULD I SLEEP ON, WHERE IS MY HUSSAIN?"
"","LA ILAHA ILLAH MUHAMMADUR RASOOL ALLAH,\nKI LAAZAWAL DARSGAH HUSSAIN HAI","THE NEVER DECLINING UNIVERSITY OF ‘LA ILAHA ILLALLAH MUHAMMADIN RASOOL ALLAH’ IS HUSSAIN"
