"line id verse number","arabic text","english translation text"
"","GHURBAT MAIN QATL HO GAYA MAZLOOM BAY WATAN","IMAM HUSSAIN (AS) HAS BEEN MASSACRED HEARTLESSLY, AWAY FROM HOME"
"","MAIN BHAI BHAI KEHTI THI THI LASHA BEHAN BEHAN","I WOULD SAY 'BROTHER,' AND THE BODY WOULD SAY 'SISTER.'"
"","TEERON PAY THA RAKHA HUA, LASHA HUSSAIN KA\nDOOBA HUA LAHOO MAIN, THA KURTA HUSSAIN KA","THE BODY OF HUSSAIN LAY ON A BED OF ARROWS. THE SHIRT OF HUSSAIN WAS DRENCHED IN HIS BLOOD"
"","AWAAZ THI HUSSAIN KI BEHNA KAFAN KAFAN\nMAIN BHAI BHAI KEHTI THI THI LASHA BEHAN BEHAN","THE BODY WAS CRYING, 'SHROUD ME, SHROUD, ME'. I KEPT CRYING 'O MY BROTHER, O MY BROTHER', WHILE THE BODY CRIED 'O MY SISTER, O MY SISTER'"
"","AAYI NA RAAS DOO GARDHI, PARDES KI FIZA\nKUNBA SHAHEED HO GAYA, MERA GHAR UJJARGAYA","THE STRANGE ENVIRONMENT DID NOT SUIT EVEN FOR A MOMENT. MY FAMILY WAS KILLED, WE WERE DESTROYED"
"","PARDES, DES GHAIR KA, APNA WATAN WATAN\nMAIN BHAI BHAI KEHTI THI THI LASHA BEHAN BEHAN","OTHER’S LAND IS STRANGE, OUR HOME IS HOME\nI KEPT CRYING 'O MY BROTHER, O MY BROTHER', WHILE THE BODY CRIED 'O MY SISTER, O MY SISTER'"
"","IK DIN KAY DAGH MAINAY, BAHATTAR UTHA LIYE\nKUCH DAGH MAINAY QALB KAY, ANDHAR CHUPA LIYE","IN JUST ONE DAY, I WITNESSED 72 LOSSES\nI HAVE CONCEALED SOME OF THE SORROWS INSIDE MY HEART"
"","CHUPTAY NAHIN, CHUPA NAY SAY DAGH-E-RASAN RASAN\nMAIN BHAI BHAI KEHTI THI THI LASHA BEHAN BEHAN","HOWEVER, I AM UNABLE TO HIDE THE MARKS OF ROPES ON MY BODY. I KEPT CRYING 'O MY BROTHER, O MY BROTHER', WHILE THE BODY CRIED 'O MY SISTER, O MY SISTER'"
"","DEKHA HAY BABA MAINAY, JO MANZAR BATAOUN KIYA\nNAIZON PAY THA RAKHA HUA, SAR HAR SHAHEED KA","O BABA, HOW CAN I RELAY TO YOU WHAT ALL I HAVE SEEN? THE HEAD OF ALL MARTYRS WERE RAISED ON SPEARS"
"","GHORON KAY DAWR NAY SAY THA TUKRAY BADAN BADAN\nMAIN BHAI BHAI KEHTI THI THI LASHA BEHAN","WITH THE TRAMPLING OF THE HOUSES, THE BODIES ARE IN PIECES. I KEPT CRYING 'O MY BROTHER, O MY BROTHER', WHILE THE BODY CRIED\n'O MY SISTER'"
"","QASIM KI LASH LAYE, THAY DAMAN MAIN SHAH-E-DEEN MAIN BHAI BHAI KEHTI THI LASHA BEHAN BEHAN","QASIM’S BODY HUSAYN CARRIED IN HIS LAP. I WOULD SAY 'BROTHER,' AND THE BODY WOULD SAY 'SISTER.'"
"","BABA HASSAN SAY TAABA HUSSAIN-E-SHAHEED TAK\nBABA AMEER-E-SHAAM SAY, DAUR-E-YAZEED TAK","O FATHER, FROM HASAN TO HUSAIN’S TIME\nO FATHER, FROM MU‘AWIYA TO YAZID’S TIME"
"","MAIN BHAI BHAI KEHTI THI LASHA BEHAN BEHAN\nLOOTA HAY AHL-E-SHAAM NAY BABA CHAMAN CHAMAN","O FATHER, THE SYRIANS HAVE DESTROYED OUR ‘GARDEN’. I WOULD SAY 'BROTHER,' AND THE BODY WOULD SAY 'SISTER.'"
"","BARCHI KALAYJA-E-ALI AKBAR MAIN JAB LAGI\nBABA KO DI SADA KABHI AWAAZ MUJHKO DI","WHEN THE SPEARHEAD PENETRATED AKBAR’S CHEST. HE CALLED HIS FATHER, & SOMETIMES CALLED ME"
"","KEHTA THA SEENA THAM KAY AMMA CHUBHAN CHUBHAN\nMAIN BHAI BHAI KEHTI THI LASHA BEHAN BEHAN","HAND ON THE CHEST, HE CRIED: MOTHER, ITS HURTING. I WOULD SAY 'BROTHER,' AND THE BODY WOULD SAY 'SISTER.'"
"","GHAZI KAY BAAD AUR QAYAMAT GUZARGAYI\nPYSAASON KI AAS TOOT KAY BAN MAIN BIKHARGAYI","AFTER ABBAS’ DEATH, THE SKY FALL THROUGH\nSHATTERING THE HOPE OF THIRSTY ONES IN THE FIELDS"
"","IK SHAUR AL-ATASH KA BAPA THA DEHAN DEHAN, MAIN BHAI BHAI KEHTI THI THI LASHA BEHAN BEHAN","EVERY MOUTH WAS SHOUTING AL-‘ATASH, O THIRST! O THIRST! I WOULD SAY 'BROTHER,' AND THE BODY WOULD SAY 'SISTER.'"
