"line id verse number","arabic text","english translation text"
"","MUJHKO TANHA NA KABHI CHORKE JAANA BABA","FATHER! LEAVE ME NOT ALONE"
"","MUJHKO MEHMIL ME BHALE TUM NA BITHAANA BABA","YOU DO NOT NEED TO SEAT ME UNDER THE SHADED CANOPY"
"","GAR KHATAA MUJHSE HUWI HAI TO KHATAA MAAF KARO","IF IT IS SUCH THAT I HAVE ERRED, THEN PARDON MY ERROR"
"","MAARDAALE NA MUJHE AAPKA JAANA BABA","FOR IT COULD BE THAT (THE GRIEF OF) YOUR LEAVING WILL CAUSE ME TO DIE"
"","DEKH TAYYAAR SAKINA HAI ALI AKBER BHI","LOOK, SAKINA AND ALI AKBER ARE READY TO GO WITH YOU"
"","HUN AGAR GHAIR TO TUM ITNA BATAANA BABA","IF I AM A STRANGER TO YOU, THEN PLEASE LET ME KNOW"
"","TUM SE SHIKWA NA KARUNGI APNI BIMAARI KA","NEVER AGAIN SHALL I COMPLAIN TO YOU OF MY ILLNESS"
"","KHUD HI LE LUNGI DAWA TUM NA PILAANA BABA","I SHALL HAVE MY MEDICINE BY MYSELF, YOU DON'T NEED TO MAKE ME TAKE IT"
"","SAATH ASGHER KO LIYE JAANE KA MAQSAD KYA HAI","WHAT'S THE REASON OF TAKING ASHGER WITH YOU"
"","APNI BIMAAR SE TUM YE NA CHUPAANA BABA","DON'T HIDE THE REASON FROM YOUR UNWELL DAUGHTER"
"","BABA PARDES MEIN AKBER KI KARO JAB SHAADI","FATHER! WHEN AKBER WEDS IN A FARAWAY LAND"
"","US GHARI SUGHRA (A.S.) KO TUM BHOOL NA JAANA BABA","THEN AT THAT JOYOUS MOMENT, DO NOT FORGET YOUR SUGHRA"
"","PHIR AGAR MIL NA SAKI ITNI GUZAARISH HAI MERI","IF WE DON'T MEET AGAIN THEN I HAVE ONE REQUEST"
"","MERI TURBAT PE DIYA AAKE JALAANA BABA","PLEASE LIGHT CANDLES ON MY GRAVE"
"","KAARWAAN JAB YE CHALA KARBOBALA AY 'YAAWAR'","FINALLY WHEN THE CARAVAN WAS LEAVING FOR KARBOBALA"
"","SUGHRA KEHTI THI YEHI LOT KE AANA BABA","SUGHRA KEPT SAYING, PLEASE DO RETURN OH MY FATHER"
