"line id verse number","arabic text","english translation text"
"","NA AB HUSSAIN NA LASHKAR HUSSAIN KA HOGA\nSITAM UTHAANE KO BIMAAR E KARBALA HOGA","NO LONGER WILL HUSSAIN AND HIS ARMY BE THERE (TO PROTECT WOMEN AND CHILDREN)\nALONE WILL BE SAJJAD (BEMAAR-E- KARBALA) TO BEAR ALL THE PAIN"
"","PATAKTI HONGI SAR APNA FURAT KI MAUJE\nDHUAN JALE HUWE KHAIMON SE UTHH RAHA HOGA","WAVES OF RIVER FURAT MUST BE REPENTANT NOW (TO HAVE NOT AIDED THE HOLY FAMILY)\nCAMPS MUST BE ON FIRE NOW, SPREADING SMOKE ALL AROUND"
"","NA AB HUSSAIN NA LASHKAR HUSSAIN KA HOGA","NO LONGER WILL HUSSAIN AND HIS ARMY BE THERE (TO PROTECT WOMEN AND CHILDREN)"
"","ZAMINE GARM PE TASHNA DAHAN PADE HONGE\nSARON PE AB KOI SAAYAA NA REH GAYA HOGA","THIRST STRICKEN HOLY FAMILY (OF AHLULBAYT) NOW LAYS ON HOTTEST OF GROUNDS\nNO SHELTER (NO SUPPORT), NOTHING OF COMFORT CAN BE FOUND ANYMORE"
"","KISI NE BAALIYAAN KAANON KI CHHINLI HONGI\nKOI TAMAACHE SAKINA KO MAARTA HOGA","SAKINA BLEEDS NOW WITH HER EARRINGS SNATCHED (BY THE ENEMY)\nAND SHE BEARS THE PAIN OF GETTING SMACKED (BY THE ENEMY)"
"","ASIR HOKE NABI ZAADIYAAN CHALI HONGI\nTO DIL KA HAAL KHUDA JAANE KYA HUWA HOGA","DISTRESSED AND DETAINED, DAUGHTERS OF PROPHET (S.A.W) TRAVELLED (TO SHAAM)\nONLY GOD KNOWS HOW THEY SURVIVED (THE UTTER PAIN)"
"","LAHU SHAHIDON KA DEKHA JO HOGA ZAINAB NE\nTO DIL SE PYAAS KA EHSAS MIT GAYA HOGA","WATCHING THE BLOODSHED OF MARTYRS ALL AROUND\nZAINAB WOULD HAVE FORGOTTEN HER THIRST"
"","PADE HAI LAASH KE TUKDE KATE HAI BAAZU BHI\nMAGAR SAKINANE PEHCHAAN TO LIYA HOGA","THE BODY HAS BEEN SCATTERED & SLASHED AND ARMS HAVE BEEN SEVERED\nBUT SAKINA WOULD HAVE SURELY RECOGNIZED (HER UNCLE ABBAS)"
"","ABHI NASIB MEN DURRE HAI AUR TAMAACHEN HAI\nABHI SAKINA KO PAANI KAHAAN MILAA HOGA","BEATING AND WHIPPING IS ALL THAT IS LEFT IN (SAKINA’S) FATE\nHER THIRST HAS YET TO BE QUENCHED"
"","TUMHAARI PYAAS TO NAAWAKSE BUJGAYI ASGHAR\nDILE RABAB MAGAR GHAM SE HUK RAHA HOGA","A SHARP ARROW HAS PUT AN END TO YOUR THIRST, O ASGHAR!\nRUBAB’S HEART (ASGHAR’S MOTHER) MUST BE SINKING, GOD KNOWS BETTER!"
"","ABHI SUKUN MUNAWWAR KAHAAN YATIMON KO\nABHI TO QAIDE MUSIBAT KA SAAMNA HOGA","IT’S NOT AN END TO THE PAIN OF THE MASOOMS JUST YET\nAS MORE DISTRESS AND CAPTIVITY AWAITS THEM"
