"line id verse number","arabic text","english translation text"
"[s13:2]","PYAARI NABI KI, PYAARI NAWAASI\nSHAAM KO QAIDI BAN KE CHALI HAI","THE BELOVED OF THE PROPHET (SAW), HIS CHERISHED GRANDDAUGHTER\nLEAVES FOR SHAAM AS A PRISONER"
"[s13:4]","SABR KI MALKA, ZEHRA KI PYAARI\nSHAAM KO QAIDI BAN KE CHALI HAI","THE QUEEN OF PATIENCE, THE BELOVED OF ZEHRA (AS)\nLEAVES FOR SHAAM AS A PRISONER"
"[s13:6]","PYAARI NABI KI, PYAARI NAWAASI\nSHAAM KO QAIDI BAN KE CHALI HAI","THE BELOVED OF THE PROPHET (SAW), HIS CHERISHED GRANDDAUGHTER\nLEAVES FOR SHAAM AS A PRISONER"
"[s13:7]","DEKH RAHI HAI KOI TO AAYE, SHAANA PAKAR KAR KAASH BITHAAYE\nNA HAI SAWAARI NA HAI AMAARI, SHAAM KO QAIDI BAN KE CHALI HAI","SHE LOOKS ON — WOULD THAT SOMEONE MIGHT COME, TAKE HER BY THE SHOULDER AND SEAT HER\nNO MOUNT, NO CANOPIED LITTER — SHE LEAVES FOR SHAAM AS A PRISONER"
"[s13:8]","PYAARI NABI KI, PYAARI NAWAASI\nSHAAM KO QAIDI BAN KE CHALI HAI","THE BELOVED OF THE PROPHET (SAW), HIS CHERISHED GRANDDAUGHTER\nLEAVES FOR SHAAM AS A PRISONER"
"[s13:9]","BHAAI BHATEEJE BHAANJE BETE, SAATH WATAN SE AAYI THI LEKAR\nHAAYE MUQADDAR AAJ AKELI, SHAAM KO QAIDI BAN KE CHALI HAI","BROTHERS, NEPHEWS AND SONS — SHE HAD BROUGHT THEM ALL WITH HER FROM THE HOMELAND\nALAS, WHAT FATE — TODAY, ALL ALONE, SHE LEAVES FOR SHAAM AS A PRISONER"
"[s13:10]","PYAARI NABI KI, PYAARI NAWAASI\nSHAAM KO QAIDI BAN KE CHALI HAI","THE BELOVED OF THE PROPHET (SAW), HIS CHERISHED GRANDDAUGHTER\nLEAVES FOR SHAAM AS A PRISONER"
"[s13:11]","BETON KO SADQA BHAAI PE KARKE, JISNE KIYE THE SHUKR KE SAJDE\nCHHOR KE TANHA LAASH KO USKI, SHAAM KO QAIDI BAN KE CHALI HAI","SHE WHO OFFERED HER OWN SONS IN SACRIFICE FOR HER BROTHER, AND PROSTRATED IN GRATITUDE\nLEAVING HIS BLESSED BODY ALL ALONE, SHE LEAVES FOR SHAAM AS A PRISONER"
"[s13:12]","PYAARI NABI KI, PYAARI NAWAASI\nSHAAM KO QAIDI BAN KE CHALI HAI","THE BELOVED OF THE PROPHET (SAW), HIS CHERISHED GRANDDAUGHTER\nLEAVES FOR SHAAM AS A PRISONER"
"[s13:13]","JISKI KANEEZEIN NIKLE NA BAAHAR, BALWE MEIN LAAYE USKO SITAMGAR\nHAAYE YE GHURBAT BINTE ALI KI, SHAAM KO QAIDI BAN KE CHALI HAI","SHE WHOSE MAIDSERVANTS NEVER STEPPED OUTSIDE — THE OPPRESSORS DRAGGED HER INTO THE MOB\nALAS, THE DESTITUTION OF THE DAUGHTER OF ALI (AS) — SHE LEAVES FOR SHAAM AS A PRISONER"
"[s13:14]","PYAARI NABI KI, PYAARI NAWAASI\nSHAAM KO QAIDI BAN KE CHALI HAI","THE BELOVED OF THE PROPHET (SAW), HIS CHERISHED GRANDDAUGHTER\nLEAVES FOR SHAAM AS A PRISONER"
"[s13:15]","KITNE HI QAIDI JISNE CHURAYE, AAJ WOH BIBI SAR KO JHUKAAYE\nEIK RIDA KI BAN KE SAWAALI, SHAAM KO QAIDI BAN KE CHALI HAI","SHE WHO SET SO MANY PRISONERS FREE — TODAY THAT LADY BOWS HER HEAD\nBEGGING FOR JUST ONE VEIL, SHE LEAVES FOR SHAAM AS A PRISONER"
"[s13:16]","PYAARI NABI KI, PYAARI NAWAASI\nSHAAM KO QAIDI BAN KE CHALI HAI","THE BELOVED OF THE PROPHET (SAW), HIS CHERISHED GRANDDAUGHTER\nLEAVES FOR SHAAM AS A PRISONER"
"[s13:17]","SOCHO WOH MANZAR 'SARWAR-O-REHAN', BHAAI HO JISKA WAARIS-E-QURAN\nKAISE WOH BIBI ASHK BAHAATI, SHAAM KO QAIDI BAN KE CHALI HAI","PONDER THAT SCENE, 'SARWAR-O-REHAN' — SHE WHOSE BROTHER IS THE HEIR OF THE QURAN\nHOW THAT LADY SHEDS HER TEARS — SHE LEAVES FOR SHAAM AS A PRISONER"
"[s13:18]","PYAARI NABI KI, PYAARI NAWAASI\nSHAAM KO QAIDI BAN KE CHALI HAI","THE BELOVED OF THE PROPHET (SAW), HIS CHERISHED GRANDDAUGHTER\nLEAVES FOR SHAAM AS A PRISONER"
