"line id verse number","arabic text","english translation text"
"","ROZAY PE MUSTAFA(SAWA) KE\nUDAASI SI CHAAYI HAI","SADNESS PREVAILS IN THE SHRINE OF PROPHET MUHAMMAD (SAW)"
"","ROZAY PE MUSTAFA(SAWA) KE\nUDAASI SI CHAAYI HAI\nKUNBE KO KHOOKE ZAINAB(ASWS) E NASHAAAD AAYI HAI","SADNESS PREVAILS IN THE SHRINE OF PROPHET MUHAMMAD (SAW)\nZAINAB HAS ARRIVED AFTER LOSING HER FAMILY"
"","AREY ROKAR PUKAARI NANA MAI....FARYAAD LAAYI HU\nMAI CHODKAR HUSSAIN(ASWS) KO JUNGLE MAI AAYI HU","SHE CRIES OUT\nO GRANDFATHER;\nI HAVE COME HERE WITH A PLEA\nI HAVE LEFT HUSSAIN (A.S.) IN THE DESERT OF KARBALA"
"","NANA AJEEB SAANAYE HUM PAR GUZAR GAYE\nRANJO ALAM NE GHER LIYA HUM JIDHAR GAYE..\nNANA KHUDA KE GHAR MAI NA HUMKO AAMA MILI\nBHAAI NE SHEHER CHODKE JUNGLE KI RAAH LI..","O GRANDFATHER\nWE FACED STRANGE CALAMITIES\nGRIEF AND ANGUISH SURROUNDED US WHEREVER WE WENT\nWE WERE DENIED REFUGE IN THE HOUSE OF ALLAH\nMY BROTHER LEFT THE CITY AND MADE HIS WAY TO THE DESERT"
"","NANA HAMAARE GHAR KA SAB ASBAAB LUT GAYA...\nNANA HAMAARE SAR PE NA BAAKI RAHI RIDAA\nNANA HAZAAR TARHA JAFA KI LAEENO NE..\nKHAIMO MAI HAAYE AAG LAGA DI LAEENO NE","O GRANDFATHER\nWE WERE LOOTED OF OUR BELONGINGS\nGRANDFATHER\nOUR VEILS WERE SNATCHED\nGRANDFATHER\nTHE CURSED PEOPLE TORMENTED US IN A HUNDRED WAYS\nOUR CAMPS WERE SET ABLAZE"
"","NANA SHAHEED HO GAYE BHAAI KE JAA NISAAR...\nEK EK KARKE MAR GAYE ASHAAB E ZEE WIQAR\nNANA BALA KE BAN MAI QAYAMAT KA RAN PADAA\nBHAAI SE BHAAI BAAP SE BETA BICHAD GAYAA","O GRANDFATHER\nALL THE COMPANIONS OF MY BROTHER WERE MARTYRED ONE BY ONE\nGRANDFATHER\nIT WAS LIKE THE DAY OF JUDGEMENT IN KARBALA\nBROTHERS LOST BROTHERS\nAND FATHERS LOST THEIR SONS"
"","NANA ZAMEEN KARBOBALA LAAL HO GAYI...\nQASIM(ASWS) KI LAASH GHODO SE PAAMAL HO GAI...\nNANA KATAKE SHAANO KO ABBAS(ASWS) MAR GAYE....\nGURBAT MAI BHAAIJAAN KO BE AAS KAR GAYE..","O GRANDFATHER\nTHE SOIL OF KARBALA TURNED RED\nTHE BODY OF QASIM WAS MUTILATED BY HORSES HOOVES\nGRANDFATHER\nABBAS WAS MARTYRED AFTER HIS HANDS WERE AMPUTATED\nAND HE LEFT MY BROTHER IN DISMAY"
"","NANA ASEER BAARA THE AUR EK THI RASAN..\nBAANDHE GAYE THE MISL E GUNAAH GAAR KHAS TATAN...\nNANA HAM APNE HAAL PE\nNANA HAMAARE HAAL PE HASTE THE BAD SHEYAAR.","ROTE THE BAAR BAAR..\nO GRANDFATHER\nTHERE WERE TWELVE PRISONERS AND ONLY ONE ROPE TO TIE THEM\nWE WERE TIED TOGETHER AS IF WE WERE SINNERS\nWE USED TO WEEP AT OUR STATE\nBUT THE SCOUNDRELS USED TO LAUGH AT US"
"","NANA TABAA HOKE HUM AAYE HAI SHAAM SE...\nBALI SAKINA(ASWS) KHO KE HUM AAYE HAI SHAAM SE...\nAB TAK HAI NEEL RASSI KE SHAANO KO DEKHLO..\nNANA HAMAARE TAN PE NISHAANO KO DEKHLO","O GRANDFATHER\nWE HAVE RETURNED FROM SHAAM\nUTTERLY DEVASTATED\nAND WE HAVE LOST SAKINA AS WELL\nYOU CAN STILL SEE THE BRUISES OF ROPES ON OUR SHOULDERS\nSEE THE SCARS ON OUR BODY\nO GRANDFATHER"
"","ZAINAB(ASWS) JO ROKE KARTI THI QABR E NABI(SAWW) PE BEN...\nTHARRA RAHA THA ROZA E SULTAN E MASHRAKAIN (SAWW)...\nBAS KHATM KAR NISAAR YE GHAM NAAK DASTAN\nROYE HAI IS ALAM MAI ZAMEE AUR AASMAAAA","ZAINAB MOURNED AT THE GRAVE OF THE PROPHET (SAW)\nTHE SHRINE OF THE KING OF THE WORLD WAS SHAKEN\nO POET PLEASE STOP NARRATING THIS DEVASTATING STORY\nEVEN THE SKY AND EARTH ARE CRYING OVER THIS TRAGEDY"
"","HAS HASKE TAAZIYANE SITAM JHELTE RAHE\nITNE MAI EK SHAAMI NE NANA GAZAB KIYA...\nSAIDAANI KO KANEEZI MAI USNE TALAB KIYA..\nHOTI THI LAAKH ZILLATE HUM DEKHTE RAHE...",""
